control,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
class_conditional_logistic,preference_auroc,40,0.6803475654894037,0.6284235972475071,0.7322715337313003,0.6808327174180833,0.5621811224489797,0.8217164376321353,0.39037433155080214,0.9333333333333333
class_conditional_logistic,negative_transfer_prevention,40,0.7147067866799861,0.6278573122846931,0.8015562610752791,0.7638888888888888,0.6118881118881119,0.9379734848484849,0.0,1.0
class_conditional_logistic,recovery_retention,40,0.4838536800480492,0.3930662918138603,0.574641068282238,0.5160714285714285,0.24918166939443534,0.673469387755102,0.0,0.96875
class_conditional_logistic,utility_per_10000,40,84.95821727019498,57.895979810850235,112.02045472953972,69.63788300835654,20.891364902506965,134.05292479108635,-6.963788300835654,424.7910863509749
class_conditional_logistic,macro_auroc,40,0.8146706611330812,0.8084261336513487,0.8209151886148136,0.8142515447912586,0.799920469903334,0.832369867977919,0.7701176098933747,0.8459585842366845
logit_margin_difference,preference_auroc,40,0.5460206611223538,0.5195595127345436,0.572481809510164,0.5396358543417367,0.4712859367693862,0.6068929110105581,0.42857142857142855,0.7
logit_margin_difference,negative_transfer_prevention,40,0.19174536860198624,0.07643443947174133,0.30705629773223114,0.0,0.0,0.07777777777777778,0.0,1.0
logit_margin_difference,recovery_retention,40,0.802900341445169,0.6836140039061637,0.9221866789841743,1.0,0.9220383275261325,1.0,0.0,1.0
logit_margin_difference,utility_per_10000,40,118.38440111420614,85.08998549454026,151.67881673387203,135.79387186629526,40.041782729805014,160.16713091922006,-34.81894150417827,487.46518105849583
logit_margin_difference,macro_auroc,40,0.8160548051202039,0.8104067538573213,0.8217028563830865,0.8169780176737851,0.8051796637503038,0.8322031984906244,0.7815488501227269,0.843996726708475
rank_normalized_logistic,preference_auroc,40,0.5553279547834906,0.5047396062367876,0.6059163033301936,0.5466624149659863,0.4359375,0.6602466977466978,0.25133689839572193,0.9333333333333333
rank_normalized_logistic,negative_transfer_prevention,40,0.9428211507085911,0.9088488597426783,0.9767934416745039,1.0,0.9364583333333334,1.0,0.5,1.0
rank_normalized_logistic,recovery_retention,40,0.0798059654501508,0.03732521906323988,0.12228671183706172,0.024695121951219513,0.0,0.10965250965250965,0.0,0.6
rank_normalized_logistic,utility_per_10000,40,10.44568245125348,3.908623152988423,16.98274174951854,0.0,0.0,13.927576601671309,-20.891364902506965,97.49303621169916
rank_normalized_logistic,macro_auroc,40,0.8150276518277495,0.8087809063176722,0.8212743973378268,0.8133239331596169,0.8003886039927512,0.8334331734721263,0.7702004700333389,0.8454957642714813
