method,n_fitted_pairs,accuracy_mean,accuracy_sd,macro_auroc_mean,macro_auroc_sd,macro_auprc_mean,nll_mean,brier_mean,ece_mean
Lite-CF-6,10,0.48852715877437325,0.012846739854600558,0.8150818014117908,0.0116319626191529,0.5597744443156566,2.6774520911023947,0.8128739570427355,0.34081340285150247
PDRF,10,0.4869428969359332,0.012863911750078335,0.8114969624061764,0.011464268720069972,0.5533588640867623,2.823869348096357,0.8285882132653078,0.3491793687217398
RO-PDRF-Lite,10,0.5001566852367688,0.008850318493331854,0.8175216074371573,0.010496201544357464,0.5643016365759511,2.6022730289198472,0.7987519566530192,0.3302422205597338
