method,n_fitted_pairs,macro_auroc_mean,macro_auroc_sd,macro_auprc_mean,macro_auprc_sd,nll_mean,nll_sd,brier_mean,brier_sd,ece15_equal_width_mean,ece15_equal_width_sd
Lite-CF-6,10,0.8150818014117908,0.011631962619152886,0.5597744443156566,0.019368045084338065,2.6774520911023947,0.47243065720685573,0.8128739570427355,0.053707113735064475,0.3408134028515024,0.041094502931098426
PDRF,10,0.8114969624061764,0.011464268720069993,0.5533588640867622,0.01889196818322334,2.8238693480963573,0.4743135257426367,0.8285882132653078,0.048988888453389924,0.3491793687217398,0.04082922858369983
RO-PDRF-Lite,10,0.8175216074371573,0.010496201544357446,0.5643016365759512,0.01725379816236832,2.6022730289198472,0.4254947620107369,0.7987519566530192,0.04778410628022524,0.3302422205597338,0.042419344444237825
