seed,threshold,accuracy,negative_transfer_rate,negative_transfer_prevention,recovery_retention,full_selection_rate
101,0.5,0.667779632721202,0.18072289156626506,0.8192771084337349,0.7553191489361702,0.7595993322203672
101,0.525,0.667779632721202,0.18072289156626506,0.8192771084337349,0.7553191489361702,0.7468002225932109
101,0.55,0.6688925987757374,0.14457831325301204,0.8554216867469879,0.7446808510638298,0.7284362826933779
101,0.575,0.6683361157484696,0.14457831325301204,0.8554216867469879,0.7340425531914894,0.7100723427935448
101,0.6,0.667779632721202,0.14457831325301204,0.8554216867469879,0.723404255319149,0.6928213689482471
101,0.625,0.6688925987757374,0.10843373493975904,0.891566265060241,0.7127659574468085,0.6705620478575404
101,0.65,0.669449081803005,0.07228915662650602,0.927710843373494,0.6914893617021277,0.6499721758486366
101,0.675,0.6700055648302726,0.060240963855421686,0.9397590361445783,0.6914893617021277,0.6032276015581525
101,0.7,0.6688925987757374,0.060240963855421686,0.9397590361445783,0.6702127659574468,0.562047857540345
101,0.725,0.6666666666666666,0.060240963855421686,0.9397590361445783,0.6276595744680851,0.531997774067891
101,0.75,0.6666666666666666,0.03614457831325301,0.963855421686747,0.6063829787234043,0.46633277685030605
101,0.775,0.6649972175848636,0.03614457831325301,0.963855421686747,0.574468085106383,0.4218141346688926
101,0.8,0.6655537006121314,0.024096385542168676,0.9759036144578314,0.574468085106383,0.3989983305509182
101,0.825,0.664440734557596,0.024096385542168676,0.9759036144578314,0.5531914893617021,0.37117417918753476
101,0.8500000000000001,0.6622148024485254,0.024096385542168676,0.9759036144578314,0.5106382978723404,0.3361157484696717
101,0.875,0.6566499721758486,0.024096385542168676,0.9759036144578314,0.40425531914893614,0.2854757929883139
101,0.9,0.654424040066778,0.024096385542168676,0.9759036144578314,0.3617021276595745,0.25097384529771843
102,0.5,0.7336956521739131,0.12244897959183673,0.8775510204081632,0.825,0.7891304347826087
102,0.525,0.7331521739130434,0.12244897959183673,0.8775510204081632,0.8,0.7777173913043478
102,0.55,0.7331521739130434,0.12244897959183673,0.8775510204081632,0.8,0.7679347826086956
102,0.575,0.7336956521739131,0.10204081632653061,0.8979591836734694,0.8,0.7548913043478261
102,0.6,0.7326086956521739,0.10204081632653061,0.8979591836734694,0.75,0.7391304347826086
102,0.625,0.7309782608695652,0.10204081632653061,0.8979591836734694,0.675,0.7239130434782609
102,0.65,0.7309782608695652,0.10204081632653061,0.8979591836734694,0.675,0.7135869565217391
102,0.675,0.7293478260869565,0.08163265306122448,0.9183673469387755,0.575,0.6989130434782609
102,0.7,0.7293478260869565,0.08163265306122448,0.9183673469387755,0.575,0.6869565217391305
102,0.725,0.7293478260869565,0.08163265306122448,0.9183673469387755,0.575,0.675
102,0.75,0.7293478260869565,0.08163265306122448,0.9183673469387755,0.575,0.6635869565217392
102,0.775,0.7282608695652174,0.08163265306122448,0.9183673469387755,0.525,0.6543478260869565
102,0.8,0.7277173913043479,0.061224489795918366,0.9387755102040817,0.475,0.6385869565217391
102,0.825,0.7282608695652174,0.04081632653061224,0.9591836734693877,0.475,0.625
102,0.8500000000000001,0.7282608695652174,0.04081632653061224,0.9591836734693877,0.475,0.6135869565217391
102,0.875,0.7277173913043479,0.02040816326530612,0.9795918367346939,0.425,0.5956521739130435
102,0.9,0.7277173913043479,0.02040816326530612,0.9795918367346939,0.425,0.5755434782608696
103,0.5,0.639247311827957,0.24390243902439024,0.7560975609756098,0.7959183673469388,0.9075268817204301
103,0.525,0.6387096774193548,0.21951219512195122,0.7804878048780488,0.7551020408163265,0.9016129032258065
103,0.55,0.6381720430107527,0.21951219512195122,0.7804878048780488,0.7346938775510204,0.8978494623655914
103,0.575,0.6381720430107527,0.21951219512195122,0.7804878048780488,0.7346938775510204,0.8946236559139785
103,0.6,0.6381720430107527,0.21951219512195122,0.7804878048780488,0.7346938775510204,0.889247311827957
103,0.625,0.6387096774193548,0.1951219512195122,0.8048780487804879,0.7346938775510204,0.8817204301075269
103,0.65,0.6376344086021506,0.17073170731707318,0.8292682926829268,0.673469387755102,0.8720430107526882
103,0.675,0.6381720430107527,0.14634146341463414,0.8536585365853658,0.673469387755102,0.8672043010752688
103,0.7,0.6376344086021506,0.14634146341463414,0.8536585365853658,0.6530612244897959,0.8596774193548387
103,0.725,0.6349462365591397,0.12195121951219512,0.8780487804878049,0.5306122448979592,0.8505376344086022
103,0.75,0.636021505376344,0.07317073170731707,0.926829268292683,0.5306122448979592,0.8424731182795699
103,0.775,0.635483870967742,0.07317073170731707,0.926829268292683,0.5102040816326531,0.8365591397849462
103,0.8,0.6349462365591397,0.07317073170731707,0.926829268292683,0.4897959183673469,0.8301075268817204
103,0.825,0.6338709677419355,0.04878048780487805,0.9512195121951219,0.42857142857142855,0.8172043010752689
103,0.8500000000000001,0.6333333333333333,0.04878048780487805,0.9512195121951219,0.40816326530612246,0.8059139784946237
103,0.875,0.6317204301075269,0.04878048780487805,0.9512195121951219,0.3469387755102041,0.7833333333333333
103,0.9,0.6311827956989248,0.04878048780487805,0.9512195121951219,0.32653061224489793,0.7618279569892473
104,0.5,0.80406852248394,0.18181818181818182,0.8181818181818181,0.8805970149253731,0.9427194860813705
104,0.525,0.80406852248394,0.18181818181818182,0.8181818181818181,0.8805970149253731,0.9379014989293362
104,0.55,0.80406852248394,0.18181818181818182,0.8181818181818181,0.8805970149253731,0.9336188436830836
104,0.575,0.8035331905781584,0.13636363636363635,0.8636363636363636,0.8507462686567164,0.9309421841541756
104,0.6,0.8029978586723768,0.13636363636363635,0.8636363636363636,0.835820895522388,0.9261241970021413
104,0.625,0.8029978586723768,0.13636363636363635,0.8636363636363636,0.835820895522388,0.9229122055674518
104,0.65,0.8029978586723768,0.13636363636363635,0.8636363636363636,0.835820895522388,0.917558886509636
104,0.675,0.8019271948608137,0.13636363636363635,0.8636363636363636,0.8059701492537313,0.9132762312633833
104,0.7,0.8029978586723768,0.045454545454545456,0.9545454545454546,0.8059701492537313,0.9095289079229122
104,0.725,0.8024625267665952,0.045454545454545456,0.9545454545454546,0.7910447761194029,0.9036402569593148
104,0.75,0.8024625267665952,0.045454545454545456,0.9545454545454546,0.7910447761194029,0.8977516059957173
104,0.775,0.8024625267665952,0.045454545454545456,0.9545454545454546,0.7910447761194029,0.8907922912205567
104,0.8,0.8008565310492506,0.045454545454545456,0.9545454545454546,0.746268656716418,0.8832976445396146
104,0.825,0.7997858672376874,0.045454545454545456,0.9545454545454546,0.7164179104477612,0.8709850107066381
104,0.8500000000000001,0.7997858672376874,0.045454545454545456,0.9545454545454546,0.7164179104477612,0.8613490364025695
104,0.875,0.7981798715203426,0.0,1.0,0.6567164179104478,0.8442184154175589
104,0.9,0.7955032119914347,0.0,1.0,0.582089552238806,0.8254817987152034
105,0.5,0.6243301178992497,0.16666666666666666,0.8333333333333334,0.8032786885245902,0.8429796355841372
105,0.525,0.6259378349410504,0.125,0.875,0.8032786885245902,0.8317256162915327
105,0.55,0.6254019292604501,0.125,0.875,0.7950819672131147,0.8236870310825295
105,0.575,0.6254019292604501,0.1111111111111111,0.8888888888888888,0.7868852459016393,0.815112540192926
