seed,fault_type,lite_minus_pdrf_auroc,lite_cf_minus_pdrf_auroc,lite_cf_minus_lite_auroc
101,drift,-0.002772142932088495,-0.0005921567146555118,0.002179986217432983
101,gaussian,0.011930319423395286,0.007451103160949879,-0.004479216262445407
101,offset,0.0011904272334616328,0.004049528435815186,0.0028591012023535534
101,stuck_at,0.006465941956199872,0.008402563150214704,0.0019366211940148315
102,drift,0.006505498357223138,0.006682082183204319,0.00017658382598118028
102,gaussian,0.014369590067766058,0.009327157514498974,-0.005042432553267084
102,offset,0.0065195706537218845,0.006299307976306401,-0.00022026267741548367
102,stuck_at,0.00684130010293893,0.004004812898743326,-0.0028364872041956035
103,drift,0.0047232944442096025,0.005929313853494045,0.0012060194092844423
103,gaussian,0.012302301748935984,0.0048306984224884,-0.0074716033264475845
103,offset,0.00893018265402501,0.010539558360156742,0.0016093757061317326
103,stuck_at,0.009668477270009634,0.008504567475969504,-0.00116390979404013
104,drift,-0.0019260980685129603,0.0002311233179763672,0.0021572213864893275
104,gaussian,0.014687351518171021,0.009610574578819975,-0.0050767769393510465
104,offset,-0.0017087403225973796,-0.001042556393817895,0.0006661839287794846
104,stuck_at,0.001873365457711551,0.0015909964731388726,-0.00028236898457267845
105,drift,-0.00021160353955429478,0.0015720878031717511,0.001783691342726046
105,gaussian,0.008973982994360252,0.005700097402332682,-0.00327388559202757
105,offset,0.0003631417527275582,0.0019265788616614765,0.0015634371089339183
105,stuck_at,0.003721679348841489,0.0034022313495176704,-0.0003194479993238186
106,drift,-0.001694251657528456,-0.0005062059896056015,0.0011880456679228546
106,gaussian,0.008298772996930714,0.007435965007173806,-0.0008628079897569085
106,offset,-0.0016933675069529253,-0.0006271219652687066,0.0010662455416842187
106,stuck_at,-0.0014103734031817305,-0.0006256492039444783,0.0007847241992372522
107,drift,0.004262720905660711,0.003995060297541042,-0.00026766060811966863
107,gaussian,0.01663372737997071,0.013178420690775017,-0.003455306689195692
107,offset,0.006534456786887688,0.006965859394350127,0.00043140260746243886
107,stuck_at,0.014025940520432822,0.009577078231019387,-0.0044488622894134355
108,drift,0.0030398038939064564,5.868062978620081e-05,-0.0029811232641202556
108,gaussian,0.007865955919986956,-1.9236764569496856e-05,-0.007885192684556452
108,offset,0.003439241833674833,-5.3918786081075254e-05,-0.0034931606197559084
108,stuck_at,0.007051473980292933,0.0,-0.007051473980292933
109,drift,0.005361966754114267,0.0,-0.005361966754114267
109,gaussian,0.014208444838402334,0.0,-0.014208444838402334
109,offset,0.005991973370839898,0.0,-0.005991973370839898
109,stuck_at,0.009122163903482416,0.0,-0.009122163903482416
110,drift,0.0022474087018524713,0.0002728196463700483,-0.001974589055482423
110,gaussian,0.014636276301943418,0.00599426037028894,-0.008642015931654479
110,offset,0.0039711073516339734,8.848593123778059e-05,-0.003882621420396193
110,stuck_at,0.006644518245936815,-0.0007606073744866881,-0.007405125620423503
