method,test_group,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
All-row multinomial,1,negative_transfer_prevention,40,0.9719557512774954,0.9547767170216591,0.9891347855333318,1.0,0.9573863636363636,1.0,0.7837837837837838,1.0
All-row multinomial,1,recovery_retention,40,0.07309125703898758,0.02821923538778777,0.1179632786901874,0.0,0.0,0.06377551020408163,0.0,0.6
All-row multinomial,1,utility_per_10000,40,9.575208913649025,4.719659615707706,14.430758211590344,0.0,0.0,20.891364902506965,-6.963788300835654,62.674094707520894
All-row multinomial,1,macro_auroc,40,0.8117898260358786,0.8050932253642556,0.8184864267075015,0.8113277329331796,0.798568484345678,0.8271036112559754,0.7692645718394697,0.8441991225697406
All-row multinomial,2,negative_transfer_prevention,40,0.9129216071864512,0.8712037065106877,0.9546395078622147,1.0,0.8733552631578947,1.0,0.5,1.0
All-row multinomial,2,recovery_retention,40,0.07511536160306592,0.023320935943743744,0.1269097872623881,0.0,0.0,0.07516339869281045,0.0,0.7428571428571429
All-row multinomial,2,utility_per_10000,40,3.937007874015748,-10.578425264978332,18.452441013009828,0.0,-7.158196134574087,7.158196134574087,-93.05654974946313,178.9549033643522
All-row multinomial,2,macro_auroc,40,0.7924874516231911,0.7872350655586906,0.7977398376876916,0.7969523726725012,0.7806101381271243,0.802589795225298,0.7566107891003515,0.8187279510977441
All-row multinomial,3,negative_transfer_prevention,40,0.9552005139110402,0.9243332012041299,0.9860678266179506,1.0,0.9861111111111112,1.0,0.6,1.0
All-row multinomial,3,recovery_retention,40,0.06938881024658558,0.025979254477313744,0.11279836601585741,0.0,0.0,0.06600877192982456,0.0,0.5333333333333333
All-row multinomial,3,utility_per_10000,40,17.130620985010705,3.7219084659954493,30.53933350402596,0.0,0.0,14.275517487508923,-35.6887937187723,171.30620985010705
All-row multinomial,3,macro_auroc,40,0.8039801222143579,0.796854614274795,0.8111056301539208,0.8016089694860944,0.7916217789224926,0.8181052807656215,0.7574240046516673,0.8531172787069563
All-row multinomial,4,negative_transfer_prevention,40,0.914472197488502,0.8680369988178902,0.9609073961591137,1.0,0.875,1.0,0.5,1.0
All-row multinomial,4,recovery_retention,40,0.06542653890158771,0.028276164232206608,0.10257691357096882,0.0,0.0,0.08222222222222222,0.0,0.4117647058823529
All-row multinomial,4,utility_per_10000,40,3.589375448671931,-1.5575057627951763,8.736256660139038,0.0,0.0,7.178750897343862,-35.89375448671931,50.25125628140704
All-row multinomial,4,macro_auroc,40,0.7863090865229578,0.7755632416254782,0.7970549314204375,0.7900665546839627,0.7615285894639546,0.8116461956148296,0.7152134587170537,0.8381459312498313
Conditional Lite-CF,1,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
Conditional Lite-CF,1,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
Conditional Lite-CF,1,utility_per_10000,40,15.842618384401112,6.300128354212237,25.385108414589986,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
Conditional Lite-CF,1,macro_auroc,40,0.8150818153332093,0.8088426943476212,0.8213209363187974,0.8135582123181238,0.8000966465294841,0.8336243067253997,0.774255659737897,0.8457712103729124
Conditional Lite-CF,2,negative_transfer_prevention,40,0.8076298179178988,0.7436040096967069,0.8716556261390906,0.8452380952380953,0.6666666666666667,1.0,0.3846153846153846,1.0
Conditional Lite-CF,2,recovery_retention,40,0.17821689764978302,0.12351298132708399,0.23292081397248204,0.16025641025641024,0.0,0.3177083333333333,0.0,0.5789473684210527
Conditional Lite-CF,2,utility_per_10000,40,6.084466714387975,-16.277319453336418,28.44625288211237,0.0,0.0,28.63278453829635,-214.74588403722262,136.00572655690766
Conditional Lite-CF,2,macro_auroc,40,0.7958201958084631,0.7912525861393344,0.8003878054775918,0.7991286518417899,0.7861415377423824,0.8046088248252061,0.7656510877268813,0.8179733584953658
Conditional Lite-CF,3,negative_transfer_prevention,40,0.9303300940259145,0.8908175635744962,0.9698426244773328,1.0,0.8833333333333333,1.0,0.43999999999999995,1.0
Conditional Lite-CF,3,recovery_retention,40,0.21119795954451495,0.12547347493401909,0.2969224441550108,0.03592943201376936,0.0,0.39073426573426573,0.0,0.8076923076923077
Conditional Lite-CF,3,utility_per_10000,40,60.314061384725186,20.944895536374275,99.6832272330761,7.137758743754461,0.0,48.17987152034261,-42.82655246252676,549.6074232690935
Conditional Lite-CF,3,macro_auroc,40,0.8089648966076401,0.8025497762951733,0.815380016920107,0.8101774252134065,0.7971836184961476,0.8197861207571695,0.7555170387007989,0.8514877030402479
Conditional Lite-CF,4,negative_transfer_prevention,40,0.9021840599014512,0.8541398743712506,0.9502282454316519,1.0,0.8071428571428572,1.0,0.5,1.0
Conditional Lite-CF,4,recovery_retention,40,0.17207401244938395,0.0967993282936606,0.24734869660510728,0.08,0.0,0.27454545454545454,0.0,1.0
Conditional Lite-CF,4,utility_per_10000,40,31.048097631012205,6.709772013284148,55.38642324874026,0.0,0.0,35.89375448671931,-64.60875807609476,315.8650394831299
Conditional Lite-CF,4,macro_auroc,40,0.7915138489458461,0.7813464388720648,0.8016812590196274,0.7973722946798674,0.7645325257699089,0.8124847766393034,0.7217118897183429,0.8383237446364474
