seed,method,harm_to_correction_ratio,n,correction_opportunities,corrections_retained,harm_opportunities,harms_realized,recovery_selection_rate,negative_transfer_prevention,recovery_retention,test_utility_per_10000,calibration_utility_per_10000,test_minus_calibration_utility
104,Conditional Lite-CF,5.0,5744,149.0,0.0,104.0,3.0,0.5179317548746518,0.9711538461538461,0.0,-26.114206128133706,5.353319057815845,-31.46752518594955
104,All-row multinomial,5.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,Two-stage,5.0,5744,149.0,23.0,104.0,22.0,0.055884401114206096,0.7884615384615384,0.15436241610738255,-151.4623955431755,10.70663811563169,-162.16903365880717
104,Frozen Lite-CF (ungated),5.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-34.81894150417827,,
104,Prospective gate Lite-CF,5.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-34.81894150417827,,
104,All-row multinomial (safety),5.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,,
104,Always PDRF,5.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,,
104,Always RO-PDRF-Lite,5.0,5744,149.0,149.0,104.0,104.0,1.0,0.0,1.0,-645.891364902507,,
104,Conditional Lite-CF,10.0,5744,149.0,0.0,104.0,3.0,0.5179317548746518,0.9711538461538461,0.0,-52.22841225626741,5.353319057815845,-57.58173131408326
104,All-row multinomial,10.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
104,Two-stage,10.0,5744,149.0,1.0,104.0,0.0,0.000174094707520875,1.0,0.006711409395973154,1.7409470752089136,0.0,1.7409470752089136
104,Frozen Lite-CF (ungated),10.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-69.63788300835654,,
104,Prospective gate Lite-CF,10.0,5744,149.0,0.0,104.0,4.0,0.5332520891364902,0.9615384615384616,0.0,-69.63788300835654,,
104,All-row multinomial (safety),10.0,5744,149.0,0.0,104.0,0.0,0.0,1.0,0.0,0.0,,
