seed,fault_type,fault_prevalence,stream,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000
101,gaussian,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,87,3,0.034482758620689655,76,16,0.7894736842105263,0.7543538038496792,0.5740146654445463,-29.789184234647113
101,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234
101,gaussian,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,116,11,0.09482758620689655,85,15,0.8235294117647058,0.7639780018331805,0.5517873510540788,-9.165902841429881
101,gaussian,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,130,18,0.13846153846153847,103,17,0.8349514563106796,0.7781851512373968,0.5302474793767186,2.2914757103574703
101,offset,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,77,2,0.025974025974025976,78,23,0.7051282051282051,0.7605407882676444,0.5744729605866178,-48.120989917506876
101,offset,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.8015320334261838,0.47980501392757663,-41.78272980501393
101,offset,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,93,9,0.0967741935483871,90,27,0.7,0.7797891842346472,0.5510999083409716,-41.24656278643447
101,offset,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,102,14,0.13725490196078433,91,25,0.7252747252747253,0.803391384051329,0.5279560036663611,-25.20623281393217
101,drift,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,78,3,0.038461538461538464,76,18,0.7631578947368421,0.7593950504124656,0.5763061411549038,-34.37213565536205
101,drift,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617
101,drift,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,86,2,0.023255813953488372,82,18,0.7804878048780488,0.7777268560953254,0.5595783684692942,-36.663611365719525
101,drift,0.7,full_mixed_70pct,Lite-CF-6,2.0,4364,92,5,0.05434782608695652,80,15,0.8125,0.8004124656278644,0.5405591200733272,-22.9147571035747
101,stuck_at,0.1,full_mixed_10pct,Lite-CF-6,2.0,4364,81,2,0.024691358024691357,75,17,0.7733333333333333,0.7571035747021082,0.5747021081576535,-34.37213565536205
101,stuck_at,0.4,strict_fault_applied_available,Lite-CF-6,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7597493036211699,0.47701949860724235,27.855153203342617
101,stuck_at,0.4,full_mixed_stream,Lite-CF-6,2.0,4364,96,8,0.08333333333333333,84,16,0.8095238095238095,0.7660403299725023,0.5501833180568286,-18.331805682859763
