seed,fault_type,prevalence,stream,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
101,drift,0.4,strict_fault_applied_available,Tree-6,5.0,2.0,0.0,34.81894150417827,2.0,-176.09470752089135,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Tree-6,10.0,0.0,0.0,34.81894150417827,2.0,-348.1894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Tree-6,10.0,0.5,0.0,34.81894150417827,2.0,-348.6894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Tree-6,10.0,2.0,0.0,34.81894150417827,2.0,-350.1894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,1.0,0.0,0.0,6.963788300835654,2.0,-6.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,1.0,0.5,0.0,6.963788300835654,2.0,-7.463788300835654,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,1.0,2.0,0.0,6.963788300835654,2.0,-8.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,2.0,0.0,0.0,6.963788300835654,2.0,-13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,2.0,0.5,0.0,6.963788300835654,2.0,-14.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,2.0,2.0,0.0,6.963788300835654,2.0,-15.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,5.0,0.0,0.0,6.963788300835654,2.0,-34.81894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,5.0,0.5,0.0,6.963788300835654,2.0,-35.31894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,5.0,2.0,0.0,6.963788300835654,2.0,-36.81894150417827,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,10.0,0.0,0.0,6.963788300835654,2.0,-69.63788300835654,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,10.0,0.5,0.0,6.963788300835654,2.0,-70.13788300835654,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Three-outcome-6,10.0,2.0,0.0,6.963788300835654,2.0,-71.63788300835654,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,1.0,0.0,0.0,20.891364902506965,2.8245125348189415,-20.891364902506965,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,1.0,0.5,0.0,20.891364902506965,2.8245125348189415,-21.803621169916436,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,1.0,2.0,0.0,20.891364902506965,2.8245125348189415,-24.540389972144848,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,2.0,0.0,0.0,20.891364902506965,2.8245125348189415,-41.78272980501393,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,2.0,0.5,0.0,20.891364902506965,2.8245125348189415,-42.6949860724234,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,2.0,2.0,0.0,20.891364902506965,2.8245125348189415,-45.431754874651816,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,5.0,0.0,0.0,20.891364902506965,2.8245125348189415,-104.45682451253482,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.4,strict_fault_applied_available,Cascade-25,5.0,0.5,0.0,20.891364902506965,2.8245125348189415,-105.3690807799443,forward-pass/FLOP penalty proxy; energy was not measured
