seed,base_better,equivalent,recovery_better,oof_accuracy,oof_nll,oof_brier
101,69,1608,120,0.7328881469115192,0.7049226198514935,0.36147459010274274
102,48,1766,26,0.816304347826087,0.5510860545866539,0.274235387362998
103,21,1789,50,0.8424731182795699,0.4945903126924074,0.22087210865029364
104,36,1798,34,0.8693790149892934,0.41848140232796893,0.18951210819478698
105,10,1830,26,0.819935691318328,0.45782516395886086,0.23061835149895904
106,34,1787,48,0.7913322632423756,0.5509141658817235,0.27323442757217414
107,18,1745,66,0.8157463094587206,0.4547704554639473,0.2415324061875377
108,76,1749,28,0.8148947652455477,0.5298855487131767,0.26368817602009037
109,18,1773,89,0.7877659574468086,0.5677486465373384,0.2789955175648286
110,31,1867,49,0.7986646122239343,0.4946527161975342,0.26239670328581943
