threshold_strategy,method,harm_to_correction_ratio,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
fixed_safety_or_endpoint,Always PDRF,10.0,macro_auroc,40,0.8114969624061764,0.8047707453435362,0.8182231794688166,0.8111561076059219,0.7975294425349528,0.8269089946108265,0.7683560459117124,0.8441991225697406
fixed_safety_or_endpoint,Always RO-PDRF-Lite,1.0,negative_transfer_prevention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,1.0,recovery_retention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,1.0,utility_per_10000,40,132.13788300835654,101.43288641356548,162.8428796031476,142.7576601671309,55.710306406685234,163.6490250696379,-34.81894150417827,487.46518105849583
fixed_safety_or_endpoint,Always RO-PDRF-Lite,1.0,macro_auroc,40,0.8175216074371573,0.8120544796258774,0.8229887352484372,0.8184317480794601,0.8072365334198097,0.8322031984906244,0.7817272630643446,0.8439875190301863
fixed_safety_or_endpoint,Always RO-PDRF-Lite,2.0,negative_transfer_prevention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,2.0,recovery_retention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,2.0,utility_per_10000,40,15.494428969359328,-23.410448984729,54.399306923447654,31.337047353760443,-62.674094707520894,73.11977715877437,-215.8774373259053,376.04456824512533
fixed_safety_or_endpoint,Always RO-PDRF-Lite,2.0,macro_auroc,40,0.8175216074371573,0.8120544796258774,0.8229887352484372,0.8184317480794601,0.8072365334198097,0.8322031984906244,0.7817272630643446,0.8439875190301863
fixed_safety_or_endpoint,Always RO-PDRF-Lite,5.0,negative_transfer_prevention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,5.0,recovery_retention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,5.0,utility_per_10000,40,-334.4359331476323,-425.14444885533425,-243.72741743993032,-295.96100278551535,-482.2423398328691,-151.4623955431755,-967.966573816156,188.02228412256267
fixed_safety_or_endpoint,Always RO-PDRF-Lite,5.0,macro_auroc,40,0.8175216074371573,0.8120544796258774,0.8229887352484372,0.8184317480794601,0.8072365334198097,0.8322031984906244,0.7817272630643446,0.8439875190301863
fixed_safety_or_endpoint,Always RO-PDRF-Lite,10.0,negative_transfer_prevention,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,10.0,recovery_retention,40,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fixed_safety_or_endpoint,Always RO-PDRF-Lite,10.0,utility_per_10000,40,-917.6532033426186,-1107.633029010741,-727.6733776744961,-842.6183844011142,-1248.259052924791,-536.2116991643454,-2249.3036211699164,83.56545961002786
fixed_safety_or_endpoint,Always RO-PDRF-Lite,10.0,macro_auroc,40,0.8175216074371573,0.8120544796258774,0.8229887352484372,0.8184317480794601,0.8072365334198097,0.8322031984906244,0.7817272630643446,0.8439875190301863
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),1.0,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),1.0,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),1.0,utility_per_10000,40,15.842618384401112,6.300128354212237,25.385108414589986,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),1.0,macro_auroc,40,0.8150818014117907,0.8088426827109081,0.8213209201126732,0.8135582123181238,0.8000966465294841,0.8336243067253997,0.774255659737897,0.8457712103729124
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),2.0,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),2.0,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),2.0,utility_per_10000,40,7.486072423398329,-4.474325068752379,19.446469915549038,0.0,0.0,22.63231197771588,-146.23955431754874,97.49303621169916
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),2.0,macro_auroc,40,0.8150818014117907,0.8088426827109081,0.8213209201126732,0.8135582123181238,0.8000966465294841,0.8336243067253997,0.774255659737897,0.8457712103729124
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),5.0,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),5.0,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),5.0,utility_per_10000,40,-17.58356545961003,-44.545928133012964,9.378797213792907,0.0,-20.891364902506965,8.704735376044567,-459.6100278551532,97.49303621169916
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),5.0,macro_auroc,40,0.8150818014117907,0.8088426827109081,0.8213209201126732,0.8135582123181238,0.8000966465294841,0.8336243067253997,0.774255659737897,0.8457712103729124
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),10.0,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),10.0,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),10.0,utility_per_10000,40,-59.36629526462396,-115.2826483538727,-3.44994217537522,0.0,-59.192200557103064,6.963788300835654,-981.8941504178273,97.49303621169916
fixed_safety_or_endpoint,Frozen Lite-CF (ungated),10.0,macro_auroc,40,0.8150818014117907,0.8088426827109081,0.8213209201126732,0.8135582123181238,0.8000966465294841,0.8336243067253997,0.774255659737897,0.8457712103729124
fixed_safety_or_endpoint,Prospective gate Lite-CF,1.0,negative_transfer_prevention,40,0.9623448197538383,0.9356623296466059,0.9890273098610708,1.0,0.9848484848484849,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Prospective gate Lite-CF,1.0,recovery_retention,40,0.06631152735777143,0.030649446525969744,0.10197360818957313,0.0,0.0,0.0953125,0.0,0.4
fixed_safety_or_endpoint,Prospective gate Lite-CF,1.0,utility_per_10000,40,7.486072423398329,0.015846727055460086,14.956298119741199,0.0,0.0,8.704735376044567,-41.78272980501393,97.49303621169916
fixed_safety_or_endpoint,Prospective gate Lite-CF,1.0,macro_auroc,40,0.8131791244812504,0.8066464217614358,0.8197118272010651,0.8119516058424914,0.7984257182629885,0.8318301863892099,0.7694249613154086,0.8441991225697406
fixed_safety_or_endpoint,Prospective gate Lite-CF,2.0,negative_transfer_prevention,40,0.9623448197538383,0.9356623296466059,0.9890273098610708,1.0,0.9848484848484849,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Prospective gate Lite-CF,2.0,recovery_retention,40,0.06631152735777143,0.030649446525969744,0.10197360818957313,0.0,0.0,0.0953125,0.0,0.4
fixed_safety_or_endpoint,Prospective gate Lite-CF,2.0,utility_per_10000,40,0.6963788300835653,-9.84431256562134,11.237070225788472,0.0,0.0,6.963788300835654,-146.23955431754874,97.49303621169916
fixed_safety_or_endpoint,Prospective gate Lite-CF,2.0,macro_auroc,40,0.8131791244812504,0.8066464217614358,0.8197118272010651,0.8119516058424914,0.7984257182629885,0.8318301863892099,0.7694249613154086,0.8441991225697406
fixed_safety_or_endpoint,Prospective gate Lite-CF,5.0,negative_transfer_prevention,40,0.9623448197538383,0.9356623296466059,0.9890273098610708,1.0,0.9848484848484849,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Prospective gate Lite-CF,5.0,recovery_retention,40,0.06631152735777143,0.030649446525969744,0.10197360818957313,0.0,0.0,0.0953125,0.0,0.4
fixed_safety_or_endpoint,Prospective gate Lite-CF,5.0,utility_per_10000,40,-19.672701949860723,-46.06728953922864,6.721885639507189,0.0,0.0,0.0,-459.6100278551532,97.49303621169916
fixed_safety_or_endpoint,Prospective gate Lite-CF,5.0,macro_auroc,40,0.8131791244812504,0.8066464217614358,0.8197118272010651,0.8119516058424914,0.7984257182629885,0.8318301863892099,0.7694249613154086,0.8441991225697406
fixed_safety_or_endpoint,Prospective gate Lite-CF,10.0,negative_transfer_prevention,40,0.9623448197538383,0.9356623296466059,0.9890273098610708,1.0,0.9848484848484849,1.0,0.5945945945945945,1.0
fixed_safety_or_endpoint,Prospective gate Lite-CF,10.0,recovery_retention,40,0.06631152735777143,0.030649446525969744,0.10197360818957313,0.0,0.0,0.0953125,0.0,0.4
fixed_safety_or_endpoint,Prospective gate Lite-CF,10.0,utility_per_10000,40,-53.62116991643454,-109.04224548455744,1.7999056516883627,0.0,-5.222841225626741,0.0,-981.8941504178273,97.49303621169916
fixed_safety_or_endpoint,Prospective gate Lite-CF,10.0,macro_auroc,40,0.8131791244812504,0.8066464217614358,0.8197118272010651,0.8119516058424914,0.7984257182629885,0.8318301863892099,0.7694249613154086,0.8441991225697406
utility_optimized_on_calibration,All-row multinomial,1.0,negative_transfer_prevention,40,0.37467353519876134,0.28056942918038275,0.46877764121713994,0.33333333333333337,0.1356060606060606,0.5083333333333333,0.0,1.0
utility_optimized_on_calibration,All-row multinomial,1.0,recovery_retention,40,0.7027836389273453,0.6298719157493332,0.7756953621053574,0.7182539682539683,0.5691964285714286,0.9014105642256902,0.14285714285714285,1.0
utility_optimized_on_calibration,All-row multinomial,1.0,utility_per_10000,40,107.93871866295265,76.75485430853857,139.12258301736674,97.49303621169916,27.855153203342617,153.2033426183844,-6.963788300835654,487.46518105849583
utility_optimized_on_calibration,All-row multinomial,1.0,macro_auroc,40,0.8160043565039142,0.8101523070450056,0.8218564059628228,0.8175527079928591,0.8051863595970142,0.8331187776274905,0.7772950196816361,0.8440237184864907
utility_optimized_on_calibration,All-row multinomial,2.0,negative_transfer_prevention,40,0.5666940160795363,0.47655124401666016,0.6568367881424124,0.5092592592592593,0.33333333333333337,0.7800480769230769,0.13636363636363635,1.0
utility_optimized_on_calibration,All-row multinomial,2.0,recovery_retention,40,0.5493595099628417,0.4604833277402242,0.6382356921854592,0.5714285714285714,0.4083806818181818,0.7933333333333333,0.0,0.9523809523809523
utility_optimized_on_calibration,All-row multinomial,2.0,utility_per_10000,40,30.81476323119777,4.676803011399624,56.95272345099592,27.855153203342617,-1.7409470752089136,67.89693593314763,-181.058495821727,250.69637883008357
utility_optimized_on_calibration,All-row multinomial,2.0,macro_auroc,40,0.8157647435575134,0.8098551193743394,0.8216743677406874,0.8162066900169556,0.8051910168489362,0.8334268858911213,0.7772950196816361,0.8440005047754174
utility_optimized_on_calibration,All-row multinomial,5.0,negative_transfer_prevention,40,0.8583058748111421,0.7999753382095227,0.9166364114127614,1.0,0.7410714285714286,1.0,0.33333333333333337,1.0
utility_optimized_on_calibration,All-row multinomial,5.0,recovery_retention,40,0.2692188905756986,0.18655503187201478,0.3518827492793824,0.23863636363636365,0.0,0.44047619047619047,0.0,0.8809523809523809
utility_optimized_on_calibration,All-row multinomial,5.0,utility_per_10000,40,-20.02089136490251,-53.72604099706579,13.684258267260766,0.0,-34.81894150417827,22.63231197771588,-376.04456824512533,188.02228412256267
utility_optimized_on_calibration,All-row multinomial,5.0,macro_auroc,40,0.8133288280876261,0.8070010060052571,0.819656650169995,0.813302892459592,0.8011128459820037,0.8286047419822874,0.7713695708840476,0.8441991225697406
utility_optimized_on_calibration,All-row multinomial,10.0,negative_transfer_prevention,40,0.9069956572509245,0.8594215555462772,0.9545697589555717,1.0,0.8167613636363635,1.0,0.5294117647058824,1.0
utility_optimized_on_calibration,All-row multinomial,10.0,recovery_retention,40,0.1793564611077874,0.11707636392819024,0.2416365582873846,0.12974296205630353,0.0,0.30357142857142855,0.0,0.6
utility_optimized_on_calibration,All-row multinomial,10.0,utility_per_10000,40,-95.92618384401115,-166.63976535288728,-25.212602335135017,0.0,-146.23955431754874,6.963788300835654,-933.1476323119778,62.674094707520894
utility_optimized_on_calibration,All-row multinomial,10.0,macro_auroc,40,0.8120639923890896,0.8054925559326576,0.8186354288455215,0.8119965560304991,0.7989159376517119,0.8282229034007952,0.7700634870076403,0.8441991225697406
utility_optimized_on_calibration,Conditional Lite-CF,1.0,negative_transfer_prevention,40,0.40530960210430456,0.29842826306769543,0.5121909411409137,0.4,0.0,0.6666666666666667,0.0,1.0
utility_optimized_on_calibration,Conditional Lite-CF,1.0,recovery_retention,40,0.6628912515965346,0.5525808716303904,0.7732016315626788,0.77,0.4329268292682927,1.0,0.0,1.0
utility_optimized_on_calibration,Conditional Lite-CF,1.0,utility_per_10000,40,106.37186629526461,73.24984108579982,139.4938915047294,83.56545961002786,26.114206128133702,154.9442896935933,-27.855153203342617,487.46518105849583
utility_optimized_on_calibration,Conditional Lite-CF,1.0,macro_auroc,40,0.8164947453334473,0.8106144565884821,0.8223750340784126,0.8167252759353044,0.8019647923632156,0.8333173576608573,0.7767547998641352,0.8439875190301863
utility_optimized_on_calibration,Conditional Lite-CF,2.0,negative_transfer_prevention,40,0.6642777612593749,0.5870031673365302,0.7415523551822195,0.6770833333333334,0.48292042042042044,0.8333333333333334,0.15000000000000002,1.0
