feature,n,median,q1,q3,positive_fraction,dominant_sign_fraction
base_confidence,500,0.16181371466317684,0.06811873963232046,0.28942681313087243,0.888,0.888
base_entropy,500,-0.1802290614043669,-0.2642207424321156,0.05680420605109983,0.37,0.63
confidence_delta,500,0.06127607275641839,0.015017362163464405,0.10996323118791196,0.83,0.83
entropy_delta,500,0.15468622369474164,-0.04282290727340689,0.23069308829514068,0.672,0.672
recovery_confidence,500,0.1780361643196302,0.12353465749101963,0.32076230482459817,0.94,0.94
recovery_entropy,500,-0.11667250868445117,-0.1812008396658149,0.08743856673574392,0.388,0.612
