seed,fault_type,control,threshold,preference_auroc,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,drift,rank_normalized_logistic,0.725,0.45344827586206893,rank_normalized_logistic,2.0,1436,40,1,0.025,29,4,0.8620689655172413,0.7360724233983287,0.5062674094707521,-20.891364902506965,1.0,-20.891364902506965,0.5062674094707521,0.8387166840278955,0.5943165705580727,2.3763341700885543,0.7811331825088755,0.32419458095456966,0.32411339358268854,0.12418864579517257
101,drift,class_conditional_logistic,0.55,0.4043103448275862,class_conditional_logistic,2.0,1436,40,8,0.2,29,9,0.6896551724137931,0.8544568245125348,0.5076601671309192,-6.963788300835654,1.0,-6.963788300835654,0.5076601671309192,0.8375095116503691,0.5921200518677417,2.383973173663899,0.7855563187704484,0.32686466241999856,0.3268646624199985,0.12452097964506087
101,drift,logit_margin_difference,-0.9768399321474136,0.4482758620689655,logit_margin_difference,2.0,1436,40,40,1.0,29,29,0.0,1.0,0.516016713091922,76.6016713091922,1.0,76.6016713091922,0.516016713091922,0.8364753465640612,0.5916758501514707,2.3788300204808963,0.780933690241796,0.31798692852649346,0.3179869285264934,0.12446636628143053
101,gaussian,rank_normalized_logistic,0.725,0.5491071428571428,rank_normalized_logistic,2.0,1436,70,8,0.11428571428571428,32,2,0.9375,0.7075208913649025,0.4805013927576602,41.78272980501393,1.0,41.78272980501393,0.4805013927576602,0.8050051073385642,0.5078106056514871,2.4960940352774226,0.7941186670251562,0.3258085614386546,0.3258085614386546,0.11812116286066972
101,gaussian,class_conditional_logistic,0.55,0.6022321428571429,class_conditional_logistic,2.0,1436,70,36,0.5142857142857142,32,11,0.65625,0.8704735376044568,0.4937325905292479,174.09470752089138,1.0,174.09470752089138,0.4937325905292479,0.8080415650790539,0.5128631252623697,2.421795568663512,0.7805790127603762,0.3111011282770651,0.31001943477351995,0.1153609682684852
101,gaussian,logit_margin_difference,-0.9768399321474136,0.47946428571428573,logit_margin_difference,2.0,1436,70,70,1.0,32,32,0.0,1.0,0.5027855153203342,264.6239554317549,1.0,264.6239554317549,0.5027855153203342,0.8104259409049986,0.517072993121191,2.3941522060597564,0.7749873965601131,0.30701602886118534,0.30521058817038343,0.11283454111116564
101,offset,rank_normalized_logistic,0.725,0.4870615296147211,rank_normalized_logistic,2.0,1436,47,7,0.14893617021276595,37,9,0.7567567567567568,0.7416434540389972,0.48259052924791085,-13.927576601671309,1.0,-13.927576601671309,0.48259052924791085,0.8382010095261059,0.5897464322610352,2.4752326117804615,0.7971009575367406,0.3349764909189693,0.33449615623373985,0.12792274823447994
101,offset,class_conditional_logistic,0.55,0.491661874640598,class_conditional_logistic,2.0,1436,47,12,0.2553191489361702,37,11,0.7027027027027026,0.8467966573816156,0.48467966573816157,6.963788300835654,1.0,6.963788300835654,0.48467966573816157,0.8356670633741369,0.5858414693203057,2.500647297683695,0.8103065708512027,0.34072650020096373,0.34022487905692017,0.13040459701423976
101,offset,logit_margin_difference,-0.9768399321474136,0.460034502587694,logit_margin_difference,2.0,1436,47,47,1.0,37,37,0.0,1.0,0.4909470752089137,69.63788300835654,1.0,69.63788300835654,0.4909470752089137,0.8353086428343727,0.5851776610604037,2.4859724163238406,0.8034434291266296,0.3350643859735506,0.3349501571390548,0.12875905410340757
101,stuck_at,rank_normalized_logistic,0.725,0.5806451612903225,rank_normalized_logistic,2.0,1436,50,7,0.14,31,3,0.9032258064516129,0.7214484679665738,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8335672986916443,0.5923415585522404,2.3710746188108054,0.7866066957597688,0.3217838345811224,0.3217838345811224,0.12845890309147853
101,stuck_at,class_conditional_logistic,0.55,0.6961290322580646,class_conditional_logistic,2.0,1436,50,29,0.58,31,10,0.6774193548387097,0.8440111420612814,0.48746518105849584,132.31197771587745,1.0,132.31197771587745,0.48746518105849584,0.8317141220298568,0.5924849248774274,2.3736915756858403,0.7835280402207724,0.3117518266253575,0.31175182662535755,0.1266749078339413
101,stuck_at,logit_margin_difference,-0.9768399321474136,0.6277419354838709,logit_margin_difference,2.0,1436,50,50,1.0,31,31,0.0,1.0,0.48746518105849584,132.31197771587745,1.0,132.31197771587745,0.48746518105849584,0.8318964980002871,0.5933339724159508,2.3557621930071515,0.778545736582217,0.31229745739593023,0.31229745739593023,0.12547769666569203
102,drift,rank_normalized_logistic,0.7,0.9333333333333333,rank_normalized_logistic,2.0,1436,5,3,0.6,6,1,0.8333333333333334,0.8579387186629527,0.5383008356545961,13.927576601671309,1.0,13.927576601671309,0.5383008356545961,0.8414837479092557,0.6098933857866964,2.0559899526561622,0.740231554053723,0.30318587909605443,0.29784542831109,0.12020169660431794
102,drift,class_conditional_logistic,0.675,0.8666666666666667,class_conditional_logistic,2.0,1436,5,1,0.2,6,0,1.0,0.8050139275766016,0.5376044568245125,6.963788300835654,1.0,6.963788300835654,0.5376044568245125,0.8412542846383326,0.6094876320856286,2.0694322154393654,0.743884975475127,0.30543567016655643,0.30012143129408525,0.12118267447050689
102,drift,logit_margin_difference,0.1846849119663234,0.7,logit_margin_difference,2.0,1436,5,1,0.2,6,1,0.8333333333333334,0.013231197771587743,0.536908077994429,0.0,1.0,0.0,0.536908077994429,0.8348941464162598,0.6033466411116698,2.267498819077284,0.7681329852658166,0.31886644560709787,0.3143860756360105,0.1268134384844373
102,gaussian,rank_normalized_logistic,0.7,0.38851351351351354,rank_normalized_logistic,2.0,1436,37,4,0.10810810810810811,16,2,0.875,0.7486072423398329,0.47284122562674097,13.927576601671309,1.0,13.927576601671309,0.47284122562674097,0.7957609589887235,0.516492719798187,2.606934578583813,0.8076137428487582,0.33638961422604735,0.33536360390504194,0.12110195611149384
102,gaussian,class_conditional_logistic,0.675,0.652027027027027,class_conditional_logistic,2.0,1436,37,12,0.32432432432432434,16,2,0.875,0.7409470752089137,0.47841225626740946,69.63788300835654,1.0,69.63788300835654,0.47841225626740946,0.7954618075386781,0.5164487429453907,2.611122142884498,0.8068975758312654,0.33148261120608713,0.3304566008850818,0.12109088376450887
102,gaussian,logit_margin_difference,0.1846849119663234,0.4341216216216216,logit_margin_difference,2.0,1436,37,5,0.13513513513513514,16,4,0.75,0.054317548746518104,0.47214484679665736,6.963788300835654,1.0,6.963788300835654,0.47214484679665736,0.7868436572727119,0.5042377190010948,2.957419205320282,0.8313164338466341,0.34986761084528595,0.3488416005242805,0.12611095399408132
102,offset,rank_normalized_logistic,0.7,0.5,rank_normalized_logistic,2.0,1436,10,2,0.2,3,1,0.6666666666666667,0.8788300835654597,0.5118384401114207,6.963788300835654,1.0,6.963788300835654,0.5118384401114207,0.8312625612548242,0.5912435347819973,2.2063332141440792,0.7861207687300357,0.3309444344631347,0.33094443446313476,0.12861572325210055
102,offset,class_conditional_logistic,0.675,0.9333333333333333,class_conditional_logistic,2.0,1436,10,4,0.4,3,0,1.0,0.8286908077994429,0.5139275766016713,27.855153203342617,1.0,27.855153203342617,0.5139275766016713,0.8313169738404462,0.5914095657649662,2.2142908684316103,0.7880806050384074,0.3305710662159413,0.3305710662159413,0.12881270653365048
102,offset,logit_margin_difference,0.1846849119663234,0.43333333333333335,logit_margin_difference,2.0,1436,10,0,0.0,3,1,0.6666666666666667,0.006963788300835654,0.5104456824512534,-6.963788300835654,1.0,-6.963788300835654,0.5104456824512534,0.8248954515108157,0.5841448901945198,2.429317836287768,0.8117431124566548,0.34515411542325714,0.3451541154232571,0.13492077004034028
102,stuck_at,rank_normalized_logistic,0.7,0.4375,rank_normalized_logistic,2.0,1436,16,7,0.4375,2,1,0.5,0.7715877437325905,0.5181058495821727,41.78272980501393,1.0,41.78272980501393,0.5181058495821727,0.8271342177584601,0.5880772840809293,1.9479730413466716,0.7156150641431335,0.26506204103014797,0.2614043170434002,0.10897702013604725
102,stuck_at,class_conditional_logistic,0.675,0.5625,class_conditional_logistic,2.0,1436,16,3,0.1875,2,0,1.0,0.6817548746518106,0.516016713091922,20.891364902506965,1.0,20.891364902506965,0.516016713091922,0.8265851167805763,0.5877363600923049,1.9610770620069864,0.7171923229691138,0.26723373652813476,0.26357601254138696,0.10979702458317457
102,stuck_at,logit_margin_difference,0.1846849119663234,0.6875,logit_margin_difference,2.0,1436,16,1,0.0625,2,0,1.0,0.002785515320334262,0.5146239554317549,6.963788300835654,1.0,6.963788300835654,0.5146239554317549,0.8227275312477706,0.5843955511634924,2.0522164746963485,0.7263097221221353,0.27134145574901464,0.26768373176226684,0.11177875089187721
103,drift,rank_normalized_logistic,0.8500000000000001,0.7785714285714286,rank_normalized_logistic,2.0,1436,28,0,0.0,5,0,1.0,0.7270194986072424,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.812421018790933,0.5695086462038478,3.1737938664643193,0.8931389786291326,0.4086406270184241,0.40751325112716597,0.14965037941229864
103,drift,class_conditional_logistic,0.9,0.9142857142857144,class_conditional_logistic,2.0,1436,28,0,0.0,5,0,1.0,0.1107242339832869,0.49512534818941506,0.0,1.0,0.0,0.49512534818941506,0.8059889632664103,0.5568290517563164,3.462133143391115,0.9047470219369348,0.41364632214872615,0.4125189462574678,0.15186658207304693
