seed,fault_type,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,drift,Always PDRF,1.0,1436,40,0,0.0,29,0,1.0,0.0,0.5083565459610028,0.0,1.0,0.0,0.5083565459610028,0.8392474894961497,0.5937191038968891,2.488933646682378,0.7814062882580509,0.33116171698799224,0.3310805296161112,0.1254303454198686
101,drift,Always RO-PDRF-Lite,1.0,1436,40,40,1.0,29,29,0.0,1.0,0.516016713091922,76.6016713091922,1.0,76.6016713091922,0.516016713091922,0.8364753465640612,0.5916758501514707,2.3788300220903045,0.7809336907419884,0.31798692826420033,0.31798692826420033,0.12446636639379327
101,drift,Frozen Lite-CF (ungated),2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386553327814942,0.5936382403913666,2.3775839598549418,0.7848355530636746,0.3296248596924474,0.3295436723205663,0.1240308070263317
101,drift,Prospective gate Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386553327814942,0.5936382403913666,2.3775839598549418,0.7848355530636746,0.3296248596924474,0.3295436723205663,0.1240308070263317
101,drift,All-row multinomial (safety),2.0,1436,40,5,0.125,29,2,0.9310344827586207,0.08495821727019498,0.5104456824512534,20.891364902506965,1.0,20.891364902506965,0.5104456824512534,0.8396451509642971,0.5940134794783111,2.4768637117919052,0.7824561858443293,0.33291593677890235,0.33283474940702124,0.12506619352690365
101,drift,All-row multinomial (utility 1:1),2.0,1436,40,37,0.925,29,21,0.27586206896551724,0.9589136490250696,0.5194986072423399,111.42061281337047,1.0,111.42061281337047,0.5194986072423399,0.8374540451695385,0.5922729297438387,2.369687959073714,0.7786882547197609,0.31574241897530947,0.31566123160342835,0.12291724835001461
101,gaussian,Always PDRF,1.0,1436,70,0,0.0,32,0,1.0,0.0,0.4763231197771588,0.0,1.0,0.0,0.4763231197771588,0.7984956214816034,0.49619426471846734,2.839227025997693,0.829637482367375,0.35051705154478335,0.3505170515447834,0.1258970507597408
101,gaussian,Always RO-PDRF-Lite,1.0,1436,70,70,1.0,32,32,0.0,1.0,0.5027855153203342,264.6239554317549,1.0,264.6239554317549,0.5027855153203342,0.8104259409049986,0.517072993121191,2.3941522058517126,0.7749873969150223,0.3070160287388991,0.3052105880480971,0.1128345411089729
101,gaussian,Frozen Lite-CF (ungated),2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418283711834,0.7930963536845391,0.3270967410883623,0.32709674108836223,0.11738334076050905
101,gaussian,Prospective gate Lite-CF,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418283711834,0.7930963536845391,0.3270967410883623,0.32709674108836223,0.11738334076050905
