replicate,negative_transfer_prevention,recovery_retention,full_selection_rate,safe_minus_pdrf_auroc,safe_minus_full_auroc
1,0.900225056264066,0.15468660149511212,0.39026810584958216,0.004582399464537867,-0.0027317766509625807
2,0.9228723404255319,0.0905823148813803,0.40786908077994427,0.0047636242381897675,0.0011301317361903651
3,0.8993369499698614,0.081875,0.39190459610027856,0.003304629403525272,0.0010286077680232708
4,0.9107479572595851,0.14586624539231174,0.46404944289693595,0.005042523624235962,-0.003479218230230452
5,0.916463909164639,0.13189113747383113,0.42198816155988855,0.0037927157390741373,-0.0010685381638381175
6,0.9104665825977302,0.14896988906497624,0.4169394150417827,0.005587519991293144,-0.0025589276754808266
7,0.8378024852844996,0.24796942188246537,0.5133704735376045,0.0072230396310193345,-0.0046180992318508585
8,0.9465437788018434,0.1102803738317757,0.3602541782729805,0.0036129922025313066,-0.003794008062281695
9,0.9061810154525386,0.16483516483516483,0.41237813370473536,0.005272784428530852,-0.0008024438786548016
10,0.9021671826625387,0.15404586758978797,0.35581476323119776,0.005023187408451979,-0.005803932172554038
11,0.9116963594113091,0.11460055096418732,0.41897632311977717,0.005163525553744219,-0.0032341040345983396
12,0.9395973154362416,0.0946335833814195,0.38899721448467967,0.0034106312663679805,-0.0037427731220511795
13,0.9176694110196326,0.15711462450592886,0.3968140668523677,0.005547810341084425,-0.004171508560885773
14,0.9215686274509804,0.07027027027027027,0.4072597493036212,0.003250646610367558,0.000306975686554134
15,0.9024390243902439,0.210436755530346,0.39409818941504177,0.004592330022206048,-0.00405089971600503
16,0.9250814332247557,0.10051546391752578,0.4727541782729805,0.0033386263694072937,-0.0005006496952052464
17,0.9078138718173837,0.165834719911259,0.4278899721448468,0.005003923080756478,-0.00392632124597847
18,0.898353614889048,0.13964950711938665,0.4674965181058496,0.005540037264459841,-0.0035202748283319485
19,0.88,0.15120051914341337,0.44770194986072426,0.004567904472059348,-0.0023116285840260042
20,0.8742378048780488,0.19114349775784753,0.4604456824512535,0.004521820510433372,-0.0017515074588076995
21,0.8777056277056277,0.17479925880172947,0.5123259052924791,0.004814209327089092,-0.003754730264350914
22,0.9069192751235585,0.13337250293772032,0.4676532033426184,0.005819737964803395,-0.0022156913365374287
23,0.921302578018996,0.0984732824427481,0.35134052924791087,0.0032176668247004825,0.0009151806095293313
24,0.9231894659839064,0.06986899563318777,0.31758356545961003,0.0033939089969052816,-0.0009858344137253505
25,0.915987460815047,0.13782219884271435,0.45311629526462394,0.005180607543761151,-0.0010174410831527148
26,0.9092592592592592,0.14971209213051823,0.4337047353760446,0.005290249985972051,-0.0003057559083233796
