seed,repeat,auroc,auprc,brier,threshold,threshold_tie_count
101,1,0.8438405797101449,0.9196660599634648,0.16896918248137618,0.675,1
101,2,0.8388888888888889,0.9176410307380024,0.1715812394315485,0.675,1
101,3,0.83768115942029,0.9165268516361782,0.1711436539256757,0.675,1
101,4,0.8427536231884057,0.9193363613352212,0.16938949275961548,0.675,1
101,5,0.8427536231884057,0.9186371918653693,0.16917839495024778,0.675,1
101,6,0.8429951690821256,0.9190387518726582,0.1696743418707005,0.675,1
101,7,0.8443236714975846,0.9200805666773026,0.1688684557124127,0.675,1
101,8,0.8392512077294685,0.9165493050318836,0.17028828854636793,0.7,1
101,9,0.8446859903381643,0.9197546031047384,0.1681215398614072,0.675,1
101,10,0.8370772946859903,0.9135379422753381,0.17155118841177275,0.7,1
102,1,0.9407051282051282,0.9022144792110856,0.11439019921511873,0.8,1
102,2,0.9455128205128205,0.9064658120688218,0.11133803871236474,0.775,1
102,3,0.9423076923076923,0.90098031767447,0.11404602226962808,0.8,1
102,4,0.9423076923076923,0.9067570686702109,0.1131675829532988,0.775,1
102,5,0.9471153846153847,0.911649349088659,0.11168715879432689,0.775,1
102,6,0.9479166666666666,0.9128488436079918,0.11224789726971521,0.75,1
102,7,0.9495192307692308,0.9147631117919137,0.11342684036969358,0.8,1
102,8,0.9439102564102564,0.909191436294208,0.11270683835246909,0.75,1
102,9,0.9535256410256411,0.9242070076870417,0.11081706162236726,0.725,1
102,10,0.9495192307692308,0.9091556708534786,0.11207536272387772,0.775,1
103,1,0.7047619047619047,0.792797200740675,0.22315151178892734,0.9,2
103,2,0.7314285714285713,0.8257277370253862,0.21606583002015617,0.8500000000000001,1
103,3,0.7257142857142858,0.8081792688662665,0.2137076182625657,0.9,3
103,4,0.7142857142857142,0.8066300760007579,0.21669132722677856,0.9,4
103,5,0.7352380952380952,0.8275552799601721,0.21293127600073516,0.8,1
103,6,0.7285714285714285,0.8365421597825548,0.21737858693852705,0.825,1
103,7,0.7238095238095239,0.8076731777560239,0.21735646170627484,0.9,3
103,8,0.7304761904761904,0.8229509548700645,0.21821621377091413,0.875,2
103,9,0.7247619047619047,0.7986813633915749,0.21541700654941331,0.9,3
103,10,0.7209523809523809,0.8041892337384688,0.21622814957863645,0.9,4
104,1,0.7802287581699346,0.7536662751081057,0.20526401800360167,0.8500000000000001,3
104,2,0.7745098039215685,0.763828492615343,0.20818122169457906,0.875,4
104,3,0.7467320261437909,0.7076250163853274,0.21379878071288833,0.9,4
104,4,0.7663398692810457,0.7521554063493058,0.20837332831832164,0.875,4
104,5,0.7230392156862745,0.6754512535748776,0.22297920046591768,0.9,1
104,6,0.7205882352941176,0.6749125595413742,0.22147923082074,0.9,3
104,7,0.7777777777777777,0.7697520571203483,0.2062058502749486,0.8500000000000001,2
104,8,0.7467320261437908,0.7071177788362308,0.21509916599002404,0.8500000000000001,3
104,9,0.7753267973856208,0.7527444421853224,0.2058883789041072,0.9,2
104,10,0.7696078431372548,0.7338248887945626,0.20495788908179793,0.9,2
105,1,0.5807692307692308,0.8488686321665114,0.24298458363598943,0.55,1
105,2,0.5346153846153847,0.8229827292176173,0.24957933802563007,0.55,1
105,3,0.5538461538461539,0.8329816173057243,0.24441951405050202,0.55,1
105,4,0.523076923076923,0.8220579050342072,0.24278008652852667,0.55,1
105,5,0.5884615384615385,0.8486848677025612,0.23687701076048961,0.55,1
105,6,0.5307692307692308,0.8326597904712854,0.24867440972139818,0.55,1
105,7,0.5115384615384615,0.820368670073187,0.24229079304184375,0.55,1
105,8,0.5346153846153846,0.8295916872969068,0.25100678762705136,0.575,1
105,9,0.5884615384615384,0.8504602384238648,0.2509933892080934,0.55,1
