seed,fault_type,stream,fault_prevalence,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_retained_per_10000,harms_realized_per_10000,net_utility_per_10000
101,offset,full_mixed_70pct,0.7,1.0,2.0,32.080659945004584,57.28689275893676,-27.206232813932175
101,offset,full_mixed_70pct,0.7,2.0,0.0,32.080659945004584,57.28689275893676,-82.49312557286893
101,offset,full_mixed_70pct,0.7,2.0,0.5,32.080659945004584,57.28689275893676,-82.99312557286893
101,offset,full_mixed_70pct,0.7,2.0,2.0,32.080659945004584,57.28689275893676,-84.49312557286893
101,offset,full_mixed_70pct,0.7,5.0,0.0,32.080659945004584,57.28689275893676,-254.3538038496792
101,offset,full_mixed_70pct,0.7,5.0,0.5,32.080659945004584,57.28689275893676,-254.8538038496792
101,offset,full_mixed_70pct,0.7,5.0,2.0,32.080659945004584,57.28689275893676,-256.3538038496792
101,drift,full_mixed_10pct,0.1,1.0,0.0,6.8744271310724105,41.24656278643447,-34.37213565536206
101,drift,full_mixed_10pct,0.1,1.0,0.5,6.8744271310724105,41.24656278643447,-34.87213565536206
101,drift,full_mixed_10pct,0.1,1.0,2.0,6.8744271310724105,41.24656278643447,-36.37213565536206
101,drift,full_mixed_10pct,0.1,2.0,0.0,6.8744271310724105,41.24656278643447,-75.61869844179652
101,drift,full_mixed_10pct,0.1,2.0,0.5,6.8744271310724105,41.24656278643447,-76.11869844179652
101,drift,full_mixed_10pct,0.1,2.0,2.0,6.8744271310724105,41.24656278643447,-77.61869844179652
101,drift,full_mixed_10pct,0.1,5.0,0.0,6.8744271310724105,41.24656278643447,-199.35838680109993
101,drift,full_mixed_10pct,0.1,5.0,0.5,6.8744271310724105,41.24656278643447,-199.85838680109993
101,drift,full_mixed_10pct,0.1,5.0,2.0,6.8744271310724105,41.24656278643447,-201.35838680109993
101,drift,full_mixed_stream,0.4,1.0,0.0,4.582951420714941,41.24656278643447,-36.663611365719525
101,drift,full_mixed_stream,0.4,1.0,0.5,4.582951420714941,41.24656278643447,-37.163611365719525
101,drift,full_mixed_stream,0.4,1.0,2.0,4.582951420714941,41.24656278643447,-38.663611365719525
101,drift,full_mixed_stream,0.4,2.0,0.0,4.582951420714941,41.24656278643447,-77.910174152154
101,drift,full_mixed_stream,0.4,2.0,0.5,4.582951420714941,41.24656278643447,-78.410174152154
101,drift,full_mixed_stream,0.4,2.0,2.0,4.582951420714941,41.24656278643447,-79.910174152154
101,drift,full_mixed_stream,0.4,5.0,0.0,4.582951420714941,41.24656278643447,-201.6498625114574
101,drift,full_mixed_stream,0.4,5.0,0.5,4.582951420714941,41.24656278643447,-202.1498625114574
101,drift,full_mixed_stream,0.4,5.0,2.0,4.582951420714941,41.24656278643447,-203.6498625114574
101,drift,full_mixed_70pct,0.7,1.0,0.0,11.45737855178735,34.37213565536205,-22.9147571035747
101,drift,full_mixed_70pct,0.7,1.0,0.5,11.45737855178735,34.37213565536205,-23.4147571035747
101,drift,full_mixed_70pct,0.7,1.0,2.0,11.45737855178735,34.37213565536205,-24.9147571035747
101,drift,full_mixed_70pct,0.7,2.0,0.0,11.45737855178735,34.37213565536205,-57.28689275893675
101,drift,full_mixed_70pct,0.7,2.0,0.5,11.45737855178735,34.37213565536205,-57.78689275893675
101,drift,full_mixed_70pct,0.7,2.0,2.0,11.45737855178735,34.37213565536205,-59.28689275893675
101,drift,full_mixed_70pct,0.7,5.0,0.0,11.45737855178735,34.37213565536205,-160.40329972502292
101,drift,full_mixed_70pct,0.7,5.0,0.5,11.45737855178735,34.37213565536205,-160.90329972502292
101,drift,full_mixed_70pct,0.7,5.0,2.0,11.45737855178735,34.37213565536205,-162.40329972502292
101,stuck_at,full_mixed_10pct,0.1,1.0,0.0,4.582951420714941,38.95508707607699,-34.37213565536205
101,stuck_at,full_mixed_10pct,0.1,1.0,0.5,4.582951420714941,38.95508707607699,-34.87213565536205
101,stuck_at,full_mixed_10pct,0.1,1.0,2.0,4.582951420714941,38.95508707607699,-36.37213565536205
101,stuck_at,full_mixed_10pct,0.1,2.0,0.0,4.582951420714941,38.95508707607699,-73.32722273143905
