seed,fault_type,score_calibration,threshold,preference_n,preference_auroc,preference_nll,preference_brier,preference_ece10,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,drift,raw_logistic,0.7,69,0.45948275862068966,0.7266425958015067,0.25996823939374,0.29410983505548505,Conditional Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386553327814942,0.5936382403913666,2.377583958038889,0.7848355521132004,0.32962485960511145,0.32954367223323033,0.12403080695050794
101,drift,platt,0.8425548488150146,69,0.45948275862068966,0.786215197489854,0.2648860076830186,0.2046096631121217,Conditional Lite-CF,2.0,1436,40,2,0.05,29,6,0.7931034482758621,0.7952646239554317,0.5055710306406686,-27.855153203342617,1.0,-27.855153203342617,0.5055710306406686,0.8386553327814942,0.5936382403913666,2.377583958038889,0.7848355521132004,0.32962485960511145,0.32954367223323033,0.12403080695050794
101,drift,isotonic,0.999999,69,0.4387931034482758,2.1580012679198486,0.30348328253097356,0.24521247730865892,Conditional Lite-CF,2.0,1436,40,3,0.075,29,8,0.7241379310344828,0.8098885793871866,0.504874651810585,-34.81894150417827,1.0,-34.81894150417827,0.504874651810585,0.8386679176678147,0.5935169841229967,2.3763474001676705,0.7850069974749895,0.33018594018576686,0.33010475281388574,0.12410650356378523
101,gaussian,raw_logistic,0.7,102,0.553125,0.8023078624585951,0.2883966477327167,0.2333782447773172,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418294663305,0.7930963542150123,0.32709674120120186,0.32709674120120186,0.11738334082266906
101,gaussian,platt,0.8425548488150146,102,0.553125,0.7728056973782227,0.26805144292893773,0.19763699944429733,Conditional Lite-CF,2.0,1436,70,11,0.15714285714285714,32,3,0.90625,0.7534818941504178,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418294663305,0.7930963542150123,0.32709674120120186,0.32709674120120186,0.11738334082266906
101,gaussian,isotonic,0.999999,102,0.5421874999999999,1.3351214687292803,0.2845060978927703,0.24273124042049257,Conditional Lite-CF,2.0,1436,70,13,0.18571428571428572,32,5,0.84375,0.7653203342618384,0.4818941504178273,55.710306406685234,1.0,55.710306406685234,0.4818941504178273,0.8061295129449539,0.5090833740654429,2.4737220255190286,0.7927037230888963,0.3274258030864412,0.32742580308644126,0.11706797803952929
101,offset,raw_logistic,0.7,84,0.491661874640598,0.7137881320360604,0.2565487048465648,0.2052415520432566,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.8015320334261838,0.47980501392757663,-41.78272980501393,1.0,-41.78272980501393,0.47980501392757663,0.8381677440367262,0.589004270138828,2.4784076527874643,0.8043031107270576,0.3456627644465228,0.3451824297612933,0.12844326652749744
101,offset,platt,0.8425548488150146,84,0.491661874640598,0.8127161006012626,0.28022535895438594,0.24449925584920812,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,15,0.5945945945945945,0.8015320334261838,0.47980501392757663,-41.78272980501393,1.0,-41.78272980501393,0.47980501392757663,0.8381677440367262,0.589004270138828,2.4784076527874643,0.8043031107270576,0.3456627644465228,0.3451824297612933,0.12844326652749744
101,offset,isotonic,0.999999,84,0.4637722829212191,2.8871781692385503,0.32299627380250645,0.2844499570693143,Conditional Lite-CF,2.0,1436,47,11,0.23404255319148937,37,15,0.5945945945945945,0.8168523676880223,0.48119777158774374,-27.855153203342617,1.0,-27.855153203342617,0.48119777158774374,0.8382692076719916,0.5890418001825813,2.4764693263338806,0.803902576539169,0.3442515245622098,0.34377118987698035,0.128516850042911
101,stuck_at,raw_logistic,0.7,81,0.5832258064516129,0.7173768164462354,0.2576329722748998,0.13641348045934507,Conditional Lite-CF,2.0,1436,50,8,0.16,31,4,0.8709677419354839,0.7597493036211699,0.47701949860724235,27.855153203342617,1.0,27.855153203342617,0.47701949860724235,0.8338331191943019,0.5934616696081315,2.3686784781508146,0.7885336025043365,0.3260579305927724,0.32605793059277255,0.1283048430856598
