calibration_regime,heldout_or_test_mechanism,seed,method,mean_forward_passes,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
leave_one_mechanism_out,gaussian,101,Conditional Lite-CF,2.0,1436,70,10,0.14285714285714285,32,4,0.875,0.754874651810585,0.4805013927576602,41.78272980501393,1.0,41.78272980501393,0.4805013927576602,0.8055228100344873,0.508862464389667,2.491266221096664,0.7971623195760722,0.3331090506077289,0.33310905060772883,0.11835742740305129
leave_one_mechanism_out,gaussian,101,All-row multinomial,2.0,1436,70,14,0.2,32,5,0.84375,0.27158774373259054,0.48259052924791085,62.674094707520894,1.0,62.674094707520894,0.48259052924791085,0.8015716613658298,0.5019222797006633,2.730969702221875,0.8094651691841044,0.3423868859329611,0.3423868859329611,0.12123884360001458
leave_one_mechanism_out,offset,101,Conditional Lite-CF,2.0,1436,47,16,0.3404255319148936,37,13,0.6486486486486487,0.8161559888579387,0.4860724233983287,20.891364902506965,1.0,20.891364902506965,0.4860724233983287,0.838129184179884,0.5887394485733252,2.4715695071654484,0.7974679686476758,0.3316182340395208,0.3311378993542913,0.12830216726307417
leave_one_mechanism_out,offset,101,All-row multinomial,2.0,1436,47,12,0.2553191489361702,37,6,0.8378378378378378,0.0988857938718663,0.4881615598885794,41.78272980501393,1.0,41.78272980501393,0.4881615598885794,0.8358385450095897,0.5824419348433493,2.5969107491019185,0.7962868925775674,0.33020808667016377,0.3301680592799081,0.13059484643551778
leave_one_mechanism_out,drift,101,Conditional Lite-CF,2.0,1436,40,3,0.075,29,9,0.6896551724137931,0.8098885793871866,0.5041782729805014,-41.78272980501393,1.0,-41.78272980501393,0.5041782729805014,0.838724558959321,0.593619412611651,2.376043468825461,0.7854040691826125,0.33165858786117947,0.3315774004892984,0.12397176322239484
leave_one_mechanism_out,drift,101,All-row multinomial,2.0,1436,40,8,0.2,29,9,0.6896551724137931,0.12604456824512536,0.5076601671309192,-6.963788300835654,1.0,-6.963788300835654,0.5076601671309192,0.8391569814110631,0.5937132171867837,2.470567084021421,0.7843838771062137,0.3371913280404741,0.337110140668593,0.12520365335870054
leave_one_mechanism_out,stuck_at,101,Conditional Lite-CF,2.0,1436,50,7,0.14,31,4,0.8709677419354839,0.7667130919220055,0.4763231197771588,20.891364902506965,1.0,20.891364902506965,0.4763231197771588,0.8335080116511956,0.5927342613084875,2.3726447397369004,0.7917236393868142,0.33059766215434405,0.330597662154344,0.12858906533090117
leave_one_mechanism_out,stuck_at,101,All-row multinomial,2.0,1436,50,22,0.44,31,4,0.8709677419354839,0.19428969359331477,0.48676880222841223,125.34818941504179,1.0,125.34818941504179,0.48676880222841223,0.8266540014347569,0.5862431889106448,2.5809604625299145,0.8108778207827629,0.3356408489382323,0.3356408489382322,0.1324280053422808
gaussian_only,gaussian,101,Conditional Lite-CF,2.0,1436,70,9,0.12857142857142856,32,4,0.875,0.6949860724233984,0.47980501392757663,34.81894150417827,1.0,34.81894150417827,0.47980501392757663,0.8049897597319435,0.5080567984394989,2.484372252781735,0.7873258829998756,0.31797206211946716,0.3179720621194672,0.11622618316497946
gaussian_only,offset,101,Conditional Lite-CF,2.0,1436,47,9,0.19148936170212766,37,6,0.8378378378378378,0.7110027855153204,0.4860724233983287,20.891364902506965,1.0,20.891364902506965,0.4860724233983287,0.8378573283177501,0.5889960714830164,2.4785972604591957,0.7895654084290745,0.32070590204742183,0.320665874657166,0.12813646934178338
gaussian_only,drift,101,Conditional Lite-CF,2.0,1436,40,2,0.05,29,5,0.8275862068965517,0.6998607242339833,0.5062674094707521,-20.891364902506965,1.0,-20.891364902506965,0.5062674094707521,0.8393406962967713,0.5942861071420305,2.3728395896876524,0.7738033253585616,0.3176431312094701,0.317561943837589,0.1239857710840716
gaussian_only,stuck_at,101,Conditional Lite-CF,2.0,1436,50,4,0.08,31,4,0.8709677419354839,0.7040389972144847,0.4742339832869081,0.0,1.0,0.0,0.4742339832869081,0.8322416576735395,0.5921677700815884,2.366371294481076,0.7772930930635377,0.3121100490980192,0.3121100490980193,0.12728197025214116
gaussian_only,gaussian,101,All-row multinomial,2.0,1436,70,14,0.2,32,3,0.90625,0.10724233983286909,0.483983286908078,76.6016713091922,1.0,76.6016713091922,0.483983286908078,0.8011673711666759,0.5016633203246762,2.7289264289201034,0.7970365315660223,0.3215544024272278,0.3215544024272278,0.11860962111818087
gaussian_only,offset,101,All-row multinomial,2.0,1436,47,12,0.2553191489361702,37,3,0.9189189189189189,0.09818941504178273,0.49025069637883006,62.674094707520894,1.0,62.674094707520894,0.49025069637883006,0.8356751300648261,0.58194379881453,2.59071411091441,0.79049792508154,0.32139345066970687,0.321353423279451,0.1301795451891755
gaussian_only,drift,101,All-row multinomial,2.0,1436,40,2,0.05,29,3,0.896551724137931,0.05083565459610028,0.5076601671309192,-6.963788300835654,1.0,-6.963788300835654,0.5076601671309192,0.8389262094349524,0.5937803244218963,2.474041665148419,0.7745926903818652,0.3205967784985816,0.32051559112670047,0.12537913566950526
