method,seed,view,metric,value
All-row multinomial (utility 1:1),105,observation_weighted_overall,utility_per_10000,109.67966573816156
All-row multinomial (utility 1:1),105,equal_weight_batches,utility_per_10000,191.24825268893065
All-row multinomial (utility 1:1),105,worst_batch,utility_per_10000,69.91525423728814
All-row multinomial (utility 1:1),105,B8-9_pooled,utility_per_10000,292.96875
All-row multinomial (utility 1:1),105,B10,utility_per_10000,69.91525423728814
All-row multinomial (utility 1:1),106,observation_weighted_overall,accuracy,0.5055710306406686
All-row multinomial (utility 1:1),106,equal_weight_batches,accuracy,0.5474788629449646
All-row multinomial (utility 1:1),106,worst_batch,accuracy,0.4917372881355932
All-row multinomial (utility 1:1),106,B8-9_pooled,accuracy,0.5693359375
All-row multinomial (utility 1:1),106,B10,accuracy,0.49173728813559325
All-row multinomial (utility 1:1),106,observation_weighted_overall,macro_auroc,0.82418788413551
All-row multinomial (utility 1:1),106,equal_weight_batches,macro_auroc,0.8540341186969052
All-row multinomial (utility 1:1),106,worst_batch,macro_auroc,0.8137726524253905
All-row multinomial (utility 1:1),106,B8-9_pooled,macro_auroc,0.8646214048918324
All-row multinomial (utility 1:1),106,B10,macro_auroc,0.8137726524253905
All-row multinomial (utility 1:1),106,observation_weighted_overall,utility_per_10000,50.48746518105849
All-row multinomial (utility 1:1),106,equal_weight_batches,utility_per_10000,80.58843228334753
All-row multinomial (utility 1:1),106,worst_batch,utility_per_10000,38.13559322033898
All-row multinomial (utility 1:1),106,B8-9_pooled,utility_per_10000,107.421875
All-row multinomial (utility 1:1),106,B10,utility_per_10000,38.13559322033898
All-row multinomial (utility 1:1),107,observation_weighted_overall,accuracy,0.4937325905292479
All-row multinomial (utility 1:1),107,equal_weight_batches,accuracy,0.5024261755193958
All-row multinomial (utility 1:1),107,worst_batch,accuracy,0.47802197802197804
All-row multinomial (utility 1:1),107,B8-9_pooled,accuracy,0.5185546875
All-row multinomial (utility 1:1),107,B10,accuracy,0.4883474576271186
All-row multinomial (utility 1:1),107,observation_weighted_overall,macro_auroc,0.8224307556843802
All-row multinomial (utility 1:1),107,equal_weight_batches,macro_auroc,0.8543849937802089
All-row multinomial (utility 1:1),107,worst_batch,macro_auroc,0.810815040128314
All-row multinomial (utility 1:1),107,B8-9_pooled,macro_auroc,0.8654126796026814
All-row multinomial (utility 1:1),107,B10,macro_auroc,0.810815040128314
All-row multinomial (utility 1:1),107,observation_weighted_overall,utility_per_10000,268.1058495821727
All-row multinomial (utility 1:1),107,equal_weight_batches,utility_per_10000,450.84270719863935
All-row multinomial (utility 1:1),107,worst_batch,utility_per_10000,205.50847457627117
All-row multinomial (utility 1:1),107,B8-9_pooled,utility_per_10000,556.640625
All-row multinomial (utility 1:1),107,B10,utility_per_10000,205.50847457627117
All-row multinomial (utility 1:1),108,observation_weighted_overall,accuracy,0.4827646239554318
All-row multinomial (utility 1:1),108,equal_weight_batches,accuracy,0.5337572032487287
All-row multinomial (utility 1:1),108,worst_batch,accuracy,0.4635593220338983
All-row multinomial (utility 1:1),108,B8-9_pooled,accuracy,0.5712890625
All-row multinomial (utility 1:1),108,B10,accuracy,0.4635593220338983
All-row multinomial (utility 1:1),108,observation_weighted_overall,macro_auroc,0.8056163006557483
All-row multinomial (utility 1:1),108,equal_weight_batches,macro_auroc,0.863131283028256
All-row multinomial (utility 1:1),108,worst_batch,macro_auroc,0.7922002870260181
All-row multinomial (utility 1:1),108,B8-9_pooled,macro_auroc,0.8878348295701772
All-row multinomial (utility 1:1),108,B10,macro_auroc,0.792200287026018
All-row multinomial (utility 1:1),108,observation_weighted_overall,utility_per_10000,19.15041782729805
All-row multinomial (utility 1:1),108,equal_weight_batches,utility_per_10000,85.25372932152594
All-row multinomial (utility 1:1),108,worst_batch,utility_per_10000,-8.474576271186441
All-row multinomial (utility 1:1),108,B8-9_pooled,utility_per_10000,146.484375
All-row multinomial (utility 1:1),108,B10,utility_per_10000,-8.474576271186441
All-row multinomial (utility 1:1),109,observation_weighted_overall,accuracy,0.4963440111420612
All-row multinomial (utility 1:1),109,equal_weight_batches,accuracy,0.5264700929955167
All-row multinomial (utility 1:1),109,worst_batch,accuracy,0.4843220338983051
All-row multinomial (utility 1:1),109,B8-9_pooled,accuracy,0.5517578125
All-row multinomial (utility 1:1),109,B10,accuracy,0.484322033898305
All-row multinomial (utility 1:1),109,observation_weighted_overall,macro_auroc,0.8247147432191578
All-row multinomial (utility 1:1),109,equal_weight_batches,macro_auroc,0.8605985138256625
All-row multinomial (utility 1:1),109,worst_batch,macro_auroc,0.8137302743112867
All-row multinomial (utility 1:1),109,B8-9_pooled,macro_auroc,0.8718019019306557
All-row multinomial (utility 1:1),109,B10,macro_auroc,0.8137302743112867
All-row multinomial (utility 1:1),109,observation_weighted_overall,utility_per_10000,134.05292479108635
All-row multinomial (utility 1:1),109,equal_weight_batches,utility_per_10000,234.46586370315185
All-row multinomial (utility 1:1),109,worst_batch,utility_per_10000,95.33898305084746
All-row multinomial (utility 1:1),109,B8-9_pooled,utility_per_10000,312.5
All-row multinomial (utility 1:1),109,B10,utility_per_10000,95.33898305084746
All-row multinomial (utility 1:1),110,observation_weighted_overall,accuracy,0.5067896935933147
All-row multinomial (utility 1:1),110,equal_weight_batches,accuracy,0.559166139886479
All-row multinomial (utility 1:1),110,worst_batch,accuracy,0.4849576271186441
All-row multinomial (utility 1:1),110,B8-9_pooled,accuracy,0.607421875
All-row multinomial (utility 1:1),110,B10,accuracy,0.4849576271186441
All-row multinomial (utility 1:1),110,observation_weighted_overall,macro_auroc,0.8025733990980721
All-row multinomial (utility 1:1),110,equal_weight_batches,macro_auroc,0.867839046223132
All-row multinomial (utility 1:1),110,worst_batch,macro_auroc,0.7838996517611359
