seed,method,macro_auroc,macro_auprc,nll,brier,ece15_equal_width
101,Lite-CF-6,0.8291507301637688,0.5712415515741885,2.425627980470938,0.7926921552005155,0.3321105740068566
101,PDRF,0.8243229706556878,0.5635592830453023,2.6515023312911032,0.8154189395319917,0.34549074745848585
101,RO-PDRF-Lite,0.8285266070759298,0.571815119187254,2.4036792095103166,0.7844775635081301,0.31809120018619974
102,Lite-CF-6,0.8237227770666732,0.5761391504295554,2.2097615114461178,0.7628897725966064,0.30894029709533743
102,PDRF,0.8171444369234849,0.5682689306408532,2.4321974661453876,0.785057933495056,0.3187464814048428
102,RO-PDRF-Lite,0.8257034267188974,0.5784085704198876,2.1498253000996552,0.7485248408973353,0.29325147403232305
103,Lite-CF-6,0.7995026517423804,0.5384790664131387,3.3425976592188125,0.9153064691936116,0.41774808440460554
103,PDRF,0.7920516172143532,0.5282176815862204,3.635830113068794,0.9208536361821897,0.4200284756310203
103,RO-PDRF-Lite,0.8009576812436483,0.5420317482571331,3.152995863909686,0.8687698022950503,0.38533479956895533
104,Lite-CF-6,0.8092271375725835,0.5425681990472445,2.8913486690318817,0.8406844593275783,0.358277233122084
104,PDRF,0.8066296030785541,0.5379942785748884,3.0727363047388154,0.8501541606397776,0.3640918608061391
104,RO-PDRF-Lite,0.8098610727247473,0.5449079102059001,2.8360806908147715,0.8321964675195986,0.356949665507297
105,Lite-CF-6,0.8247254711318701,0.5818461766565958,1.9306533674677544,0.73220396753978,0.2680593082977264
105,PDRF,0.8215752222776992,0.5776554139256789,1.9949200631432067,0.7415484461898416,0.26470516989813664
105,RO-PDRF-Lite,0.8247870224167929,0.5832766523355166,1.893034466045725,0.7192338271824883,0.24771538537456092
106,Lite-CF-6,0.8257920470973302,0.5841278464592599,2.646123187014358,0.7826940720825261,0.33276475179435705
106,PDRF,0.8243728001352415,0.5779651416809704,2.8294167220456163,0.807924821038037,0.35018556292837244
106,RO-PDRF-Lite,0.8252479952425584,0.584330247839521,2.6389198538833787,0.7819327881987099,0.32981676830630524
107,Lite-CF-6,0.8205342084457291,0.5690300559780482,2.1887515923547713,0.7734886530017547,0.30606436852529945
107,PDRF,0.8121051037923077,0.5505121235310702,2.394362518754478,0.8128389698309605,0.3261597248072914
107,RO-PDRF-Lite,0.8224693151905457,0.573420865915542,2.163288239657734,0.7618367120974767,0.29413055642971975
108,Lite-CF-6,0.8045919444291003,0.5387905729514366,2.914624275561324,0.8417031171573082,0.36701984754981576
108,PDRF,0.8045955631593164,0.5388718665052115,2.9153185181129486,0.8417838204353691,0.36732960334506753
108,RO-PDRF-Lite,0.8099446820662817,0.5429964532405329,2.9286891890298663,0.8381081560029556,0.3695523230758623
109,Lite-CF-6,0.8163511582439315,0.5606519103715427,3.0574443300654073,0.8362206192691959,0.3588129934338089
109,PDRF,0.8163511582439315,0.5606519103715427,3.0574443300654073,0.8362206192691959,0.3588129934338089
109,RO-PDRF-Lite,0.8250222954606412,0.5716499704326881,2.85278704832556,0.8065256131588161,0.34481864065196144
110,Lite-CF-6,0.79721988822454,0.5348699132755561,3.167588338392579,0.8508562850584777,0.3583365702851332
110,PDRF,0.7958211485811875,0.5298920110058848,3.254965113597812,0.87408078604066,0.37624306750423353
110,RO-PDRF-Lite,0.8026959762315291,0.5501788279255357,3.00343042792178,0.8459137956696317,0.3627613924641532
