quantity,bootstrap_mean,ci_2.5,ci_97.5,replicates
negative_transfer_prevention,0.9057544891218252,0.85957372627149,0.9404319899185111,1000
recovery_retention,0.1399839281312684,0.0619164737654321,0.24503339007905067,1000
full_selection_rate,0.4378948119777159,0.3544942548746518,0.5183765668523677,1000
safe_minus_pdrf_auroc,0.0048763760292979495,0.0028717024487812325,0.0069587239100474705,1000
safe_minus_full_auroc,-0.0021695781394197315,-0.0067105390338544485,0.002173491515460956,1000
