fold,feature_set,n_features,fit_rows,fit_recovery_positive,fit_negative_transfer,validation_rows,validation_groups,validation_informative,validation_recovery_positive,validation_negative_transfer,one_class_fit,n_iter,convergence_warning,converged,seed
3,disagreement_5,5,97,41,56,353,136,25,13,12,False,11,False,True,108
4,disagreement_5,5,97,43,54,387,139,25,11,14,False,10,False,True,108
5,disagreement_5,5,104,48,56,363,138,18,6,12,False,11,False,True,108
1,all_12,12,94,40,54,364,140,28,14,14,False,14,False,True,108
2,all_12,12,96,44,52,386,143,26,10,16,False,13,False,True,108
3,all_12,12,97,41,56,353,136,25,13,12,False,13,False,True,108
4,all_12,12,97,43,54,387,139,25,11,14,False,13,False,True,108
5,all_12,12,104,48,56,363,138,18,6,12,False,14,False,True,108
1,confidence_entropy_6,6,104,91,13,390,140,18,17,1,False,8,False,True,109
2,confidence_entropy_6,6,97,87,10,389,140,25,21,4,False,9,False,True,109
3,confidence_entropy_6,6,98,87,11,350,134,24,21,3,False,8,False,True,109
4,confidence_entropy_6,6,92,82,10,380,136,30,26,4,False,8,False,True,109
5,confidence_entropy_6,6,97,85,12,371,135,25,23,2,False,9,False,True,109
1,disagreement_5,5,104,91,13,390,140,18,17,1,False,11,False,True,109
2,disagreement_5,5,97,87,10,389,140,25,21,4,False,12,False,True,109
3,disagreement_5,5,98,87,11,350,134,24,21,3,False,12,False,True,109
4,disagreement_5,5,92,82,10,380,136,30,26,4,False,12,False,True,109
5,disagreement_5,5,97,85,12,371,135,25,23,2,False,11,False,True,109
1,all_12,12,104,91,13,390,140,18,17,1,False,13,False,True,109
2,all_12,12,97,87,10,389,140,25,21,4,False,15,False,True,109
3,all_12,12,98,87,11,350,134,24,21,3,False,16,False,True,109
4,all_12,12,92,82,10,380,136,30,26,4,False,13,False,True,109
5,all_12,12,97,85,12,371,135,25,23,2,False,15,False,True,109
1,confidence_entropy_6,6,78,43,35,407,140,21,13,8,False,10,False,True,110
2,confidence_entropy_6,6,79,45,34,376,136,20,11,9,False,9,False,True,110
3,confidence_entropy_6,6,74,44,30,418,138,25,12,13,False,10,False,True,110
4,confidence_entropy_6,6,77,43,34,366,140,22,13,9,False,9,False,True,110
5,confidence_entropy_6,6,88,49,39,380,140,11,7,4,False,9,False,True,110
1,disagreement_5,5,78,43,35,407,140,21,13,8,False,9,False,True,110
2,disagreement_5,5,79,45,34,376,136,20,11,9,False,10,False,True,110
3,disagreement_5,5,74,44,30,418,138,25,12,13,False,9,False,True,110
4,disagreement_5,5,77,43,34,366,140,22,13,9,False,8,False,True,110
5,disagreement_5,5,88,49,39,380,140,11,7,4,False,9,False,True,110
1,all_12,12,78,43,35,407,140,21,13,8,False,13,False,True,110
2,all_12,12,79,45,34,376,136,20,11,9,False,13,False,True,110
3,all_12,12,74,44,30,418,138,25,12,13,False,11,False,True,110
4,all_12,12,77,43,34,366,140,22,13,9,False,13,False,True,110
5,all_12,12,88,49,39,380,140,11,7,4,False,13,False,True,110
