method,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,negative_transfer_prevention,recovery_retention,recovery_selection_rate,net_correct_change_per_10000,mean_forward_passes
Lite-CF-6,0.48852715877437325,0.8150818014117908,0.5597744443156566,2.6774520911023947,0.8128739570427355,0.34081340285150247,0.9467198197538383,0.09674689941050928,0.5217618384401115,15.842618384401115,2.0
PDRF,0.4869428969359332,0.8114969624061764,0.5533588640867623,2.823869348096357,0.8285882132653078,0.3491793687217398,,,,,
RO-PDRF-Lite,0.5001566852367688,0.8175216074371573,0.5643016365759511,2.6022730289198472,0.7987519566530192,0.3302422205597338,,,,,
