seed,fraction,repeat,calibration_groups,calibration_rows,informative_rows,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,0.25,1,170,450,51,0.8,5744,136,1,0.007352941176470588,110,2,0.9818181818181818,0.6286559888579387,0.485550139275766,-1.7409470752089136,0.485550139275766,0.8195918958927063,0.5363474585630746,2.452029832353695,0.8055809224792871,0.3340877525953544,0.33408775259535434,0.1233703179159974
101,0.25,2,170,462,42,0.7,5744,136,2,0.014705882352941176,110,3,0.9727272727272728,0.6591225626740947,0.485550139275766,-1.7409470752089136,0.485550139275766,0.8196910254461033,0.5363526929359458,2.442301266054021,0.8038751919115521,0.3326321784392904,0.3326321784392903,0.12264697710867555
101,0.25,3,170,453,43,0.825,5744,136,0,0.0,110,0,1.0,0.5520543175487466,0.4857242339832869,0.0,0.4857242339832869,0.819877865127341,0.5379946322795225,2.469071828721492,0.8064004935187484,0.3354244237746987,0.3354244237746988,0.12393262522390103
101,0.25,4,170,467,46,0.7,5744,136,4,0.029411764705882353,110,10,0.9090909090909091,0.6974233983286908,0.48467966573816157,-10.445682451253482,0.48467966573816157,0.8194973861299446,0.5358412213848512,2.43504633578088,0.8060090605881669,0.3349098221061863,0.3349098221061863,0.12305279501273103
101,0.25,5,170,433,36,0.9,5744,136,0,0.0,110,0,1.0,0.30362116991643456,0.4857242339832869,0.0,0.4857242339832869,0.8197471134128018,0.5392083737285868,2.5509655633009034,0.8144410910341602,0.3438972068166903,0.3438972068166903,0.12633197238338487
101,0.25,6,170,432,40,0.675,5744,136,8,0.058823529411764705,110,17,0.8454545454545455,0.716399721448468,0.4841573816155989,-15.668523676880223,0.4841573816155989,0.81935018685511,0.5356290740289299,2.425199406028544,0.7987673872412295,0.32622828537244897,0.326228285372449,0.12092723327990867
101,0.25,7,170,455,38,0.575,5744,136,11,0.08088235294117647,110,18,0.8363636363636364,0.7449512534818942,0.4845055710306407,-12.186629526462395,0.4845055710306407,0.8194147369110919,0.5359390385552295,2.4302263401202135,0.807357210685186,0.33747784994161,0.3374778499416102,0.12319482477648193
101,0.25,8,170,468,53,0.625,5744,136,9,0.0661764705882353,110,14,0.8727272727272728,0.7364206128133705,0.48485376044568246,-8.704735376044567,0.48485376044568246,0.8192241337018307,0.535473119584534,2.4313940069085933,0.8064663831675373,0.3350112696173441,0.33501126961734423,0.12284223356135017
101,0.25,9,170,454,39,0.625,5744,136,10,0.07352941176470588,110,25,0.7727272727272727,0.7681058495821727,0.4831128133704735,-26.114206128133706,0.4831128133704735,0.8191815862443099,0.5347280440236427,2.4182332622008804,0.8006073808433019,0.32847896639119667,0.3284789663911966,0.12086894813238334
101,0.25,10,170,446,38,0.675,5744,136,2,0.014705882352941176,110,7,0.9363636363636364,0.6321378830083565,0.48485376044568246,-8.704735376044567,0.48485376044568246,0.8193924058957931,0.5367157606205659,2.447385299630503,0.8004941109483553,0.3285421631046145,0.32854216310461465,0.12175734811933092
