seed,fault_type,method,class,n,auroc,auprc,recall
104,drift,PDRF,1,230,0.7430600620087966,0.5195540561449085,0.5565217391304348
104,drift,PDRF,2,220,0.9055734150717704,0.7664936390468338,0.5454545454545454
104,drift,PDRF,3,230,0.8652570480928691,0.6161286059051213,0.5217391304347826
104,drift,PDRF,4,253,0.7301895428985731,0.31499742675221976,0.043478260869565216
104,drift,PDRF,5,266,0.8656770130454341,0.743487673240126,0.6729323308270677
104,drift,PDRF,6,237,0.830407195869976,0.4668723110632356,0.7510548523206751
104,drift,RO-PDRF-Lite,1,230,0.7530896243420577,0.5290913963419333,0.5260869565217391
104,drift,RO-PDRF-Lite,2,220,0.9005831339712919,0.7640619420935019,0.55
104,drift,RO-PDRF-Lite,3,230,0.8701456485687504,0.6395016386184565,0.5130434782608696
104,drift,RO-PDRF-Lite,4,253,0.7038646971757341,0.2961260293750349,0.04743083003952569
104,drift,RO-PDRF-Lite,5,266,0.8721675984833878,0.7424249180488387,0.6616541353383458
104,drift,RO-PDRF-Lite,6,237,0.8288728652217213,0.472118374704097,0.8185654008438819
104,drift,Lite-CF,1,230,0.7487850602062154,0.5275553761777532,0.5565217391304348
104,drift,Lite-CF,2,220,0.9038015849282296,0.7709124012130575,0.5454545454545454
104,drift,Lite-CF,3,230,0.8698824716994737,0.6342354580892375,0.5217391304347826
104,drift,Lite-CF,4,253,0.7182817182817183,0.3075151885232445,0.043478260869565216
104,drift,Lite-CF,5,266,0.871663132189448,0.7417857713102682,0.6729323308270677
104,drift,Lite-CF,6,237,0.8292529287767937,0.4724318956723682,0.7510548523206751
104,gaussian,PDRF,1,230,0.7213750090129065,0.33442577765238957,0.5565217391304348
104,gaussian,PDRF,2,220,0.8327190490430623,0.5415860420973083,0.5318181818181819
104,gaussian,PDRF,3,230,0.8243312423390295,0.5581900244363678,0.5130434782608696
104,gaussian,PDRF,4,253,0.6825549032906892,0.2751707145205448,0.18181818181818182
104,gaussian,PDRF,5,266,0.8584200886832466,0.7341383828473419,0.6804511278195489
104,gaussian,PDRF,6,237,0.7158426677646281,0.305798891867058,0.3291139240506329
104,gaussian,RO-PDRF-Lite,1,230,0.7422128487994808,0.3795798111877976,0.5304347826086957
104,gaussian,RO-PDRF-Lite,2,220,0.8447667464114833,0.5701201375847951,0.5909090909090909
104,gaussian,RO-PDRF-Lite,3,230,0.8404228855721394,0.5968761204241552,0.5260869565217391
104,gaussian,RO-PDRF-Lite,4,253,0.6976802461752294,0.283499395212934,0.16600790513833993
