seed,fault_type,fault_prevalence,stream,method,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,gaussian,0.1,full_mixed_10pct,PDRF,4364,0.576993583868011,0.8623507996873405,0.6352204747189382,1.955974377713487,0.6587718888358116,0.25963366723880027,0.2596336672388003,0.09983465107612555
101,gaussian,0.1,full_mixed_10pct,RO-PDRF-Lite,4364,0.5795142071494043,0.8621279232505739,0.637314169001233,1.8424701381643938,0.6536932124492575,0.24574017044130042,0.24574017044130042,0.09524774441938295
101,gaussian,0.1,full_mixed_10pct,Lite-CF-6,4364,0.5740146654445463,0.8622882945693503,0.6376574893412795,1.8468985023502864,0.6555545502947967,0.2533713630246789,0.25337136302467883,0.09676861450722492
101,gaussian,0.4,strict_fault_applied_available,PDRF,1436,0.4763231197771588,0.7984956214816034,0.49619426471846734,2.8392270259976833,0.829637482367375,0.35051705154478324,0.35051705154478335,0.12589705075974075
101,gaussian,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.5027855153203342,0.8104259409049986,0.517072993121191,2.394152205851705,0.7749873969150222,0.30701602873889894,0.305210588048097,0.11283454110897286
101,gaussian,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.4818941504178273,0.8059467246425532,0.5088620261584281,2.4778418283711754,0.7930963536845389,0.32709674108836206,0.3270967410883621,0.117383340760509
101,gaussian,0.4,full_mixed_stream,PDRF,4364,0.5527039413382218,0.8434244568713168,0.5883327676077861,2.235365535557192,0.7063452637597917,0.2864038014876459,0.28640380148764594,0.10660990273863251
101,gaussian,0.4,full_mixed_stream,RO-PDRF-Lite,4364,0.55980751604033,0.8471680402336172,0.5981678945568502,2.0221950500659887,0.6877178467863931,0.2654483966399198,0.2648543057068328,0.0990426826525463
101,gaussian,0.4,full_mixed_stream,Lite-CF-6,4364,0.5517873510540788,0.8459359377698874,0.5960626471474835,2.049286808597474,0.69330155159879,0.275079212027073,0.27507921202707303,0.10105912328036404
101,gaussian,0.7,full_mixed_70pct,PDRF,4364,0.5300183318056828,0.8247530696862775,0.5469849439688745,2.5100179769479705,0.755006620637143,0.31145043427296554,0.3110801116766621,0.11279727754216802
101,gaussian,0.7,full_mixed_70pct,RO-PDRF-Lite,4364,0.536205316223648,0.8319810685187871,0.5598749085999938,2.2072350128031886,0.7272523050660515,0.28944311742686957,0.28944311742686957,0.10412569378232804
101,gaussian,0.7,full_mixed_70pct,Lite-CF-6,4364,0.5302474793767186,0.8300506340793543,0.5579261020419212,2.2500129284265777,0.73422081874538,0.2986002074836327,0.2982298848873295,0.10652227496632459
101,offset,0.1,full_mixed_10pct,PDRF,4364,0.5792850595783685,0.8645625090062223,0.6415233023919935,1.9560338729767142,0.6578171365031019,0.2595341049785466,0.2595341049785466,0.10062384299438842
101,offset,0.1,full_mixed_10pct,RO-PDRF-Lite,4364,0.5790559120073328,0.8630870854860005,0.6400472559340701,1.857980247054772,0.6560583478122884,0.24754263756540695,0.24754263756540693,0.0968072521981704
101,offset,0.1,full_mixed_10pct,Lite-CF-6,4364,0.5744729605866178,0.8637520334948935,0.6413405459972534,1.8567542066639848,0.6567298771523767,0.25437416135034546,0.25437416135034546,0.09767127591748463
101,offset,0.4,strict_fault_applied_available,PDRF,1436,0.483983286908078,0.834118215600911,0.580202061564724,2.6477536397367727,0.8215547992836918,0.3516998856750622,0.35121955098983265,0.13568290858865925
101,offset,0.4,strict_fault_applied_available,RO-PDRF-Lite,1436,0.4909470752089137,0.8353086428343727,0.5851776610604037,2.4859724173508178,0.8034434292936916,0.3350643859982593,0.3349501571637635,0.1287590541689229
101,offset,0.4,strict_fault_applied_available,Lite-CF-6,1436,0.47980501392757663,0.8381677440367262,0.589004270138828,2.4784076543363103,0.8043031114332306,0.3456627646748621,0.34518242998963256,0.12844326656310692
101,offset,0.4,full_mixed_stream,PDRF,4364,0.555224564619615,0.8530725251814378,0.6178792521833509,2.172360085815976,0.7036856091062241,0.2866349630832211,0.2866349630832212,0.10915029196339672
101,offset,0.4,full_mixed_stream,RO-PDRF-Lite,4364,0.5559120073327223,0.8523171760568221,0.6198832233204284,2.0524090335015353,0.6970814724728666,0.2746402867448936,0.2746402867448936,0.10561578130721068
