seed,method,requested_intraop_threads,actual_intraop_threads,interop_threads,cpu_model,torch_version,batch_size,latency_batch_ms_median,latency_batch_ms_q1,latency_batch_ms_q3,throughput_observations_per_second,latency_batch1_ms_median,latency_batch1_ms_q1,latency_batch1_ms_q3,forward_passes_per_observation,stored_parameters
101,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.416699980851263,10.347449977416545,10.529099992709234,418942.66015362093,0.41799998143687844,0.41140001849271357,0.4245000018272549,1,19740
101,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.548199998680502,4.466599988518283,4.830149991903454,959500.4619994853,0.22929999977350235,0.225800002226606,0.23075001081451774,1,19740
101,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,11.07800001045689,10.908500000368804,11.628100008238107,393933.9227189634,1.2656999751925468,1.255700015462935,1.3059000193607062,2,39487
101,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.6637000157497823,3.4987500112038106,3.815000003669411,1191145.5581078464,0.30340004013851285,0.2995999820996076,0.30754998442716897,1,19740
101,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.245699976105243,2.9434000025503337,3.7752999924123287,1344548.1813253388,0.29960001120343804,0.2976499672513455,0.30124999466352165,1,19740
101,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.4867999907583,8.991749986307696,12.021100003039464,416142.1981773145,2.5825999910011888,1.6969999996945262,3.9850000175647438,2,39487
102,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.100300016347319,9.984350006561726,10.358400031691417,432066.3735668122,0.2509000478312373,0.2248000237159431,0.2848499862011522,1,19740
102,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.9307000008411705,4.768999991938472,5.062250012997538,885067.0288712572,0.24189997930079699,0.23725000210106373,0.2453500055707991,1,19740
102,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.667199967429042,10.573150007985532,10.988699999870732,409104.5460219108,1.1984000448137522,1.1773999722208828,1.2110000243410468,2,39487
102,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.815599950030446,3.488849994027987,4.235450003761798,1143725.7723952895,0.292200013063848,0.2919999824371189,0.2959000412374735,1,19740
102,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.8155000074766576,3.5536999930627644,3.871949971653521,1143755.7309523076,0.2882999833673239,0.2761499781627208,0.29135000659152865,1,19740
102,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,7.685999968089163,7.421050017001107,10.872300015762448,567785.5865363665,1.3817999861203134,1.323900040006265,1.3931499852333218,2,39487
103,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.0897999946028,10.009349993197247,10.198050003964454,432516.00649511145,0.22520002676174045,0.222250004298985,0.22639997769147158,1,19740
103,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.695400013588369,4.58410001010634,8.292750018881634,929420.2809921827,0.23250002413988113,0.23084998247213662,0.2340500068385154,1,19740
103,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,11.917800002265722,11.111749976407737,13.962500001071021,366174.9651085225,1.3776000123471022,1.2900999863632023,1.9136499904561788,2,39487
103,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.286799987312406,4.146149993175641,4.725699982373044,1018008.7741243076,0.291300006210804,0.28979999478906393,0.29230001382529736,1,19740
103,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.408399992622435,2.7600000030361116,4.3839999998454005,1280366.1569786365,0.28059998294338584,0.22869999520480633,0.29495000489987433,1,19740
103,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,9.242400003131479,8.304650022182614,9.90750003256835,472171.73012652603,1.519799989182502,1.4267000078689307,1.6188499866984785,2,39487
104,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,9.923200006596744,9.903350000968203,10.019750014180318,439777.4908395377,0.22629997693002224,0.22570003056898713,0.2271499834023416,1,19740
104,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,6.2197999795898795,4.357800004072487,9.62900000740774,701630.2798032667,0.22909999825060368,0.22854999406263232,0.23100001271814108,1,19740
104,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,11.381999996956438,10.802649980178103,12.236949987709522,383412.40565515193,1.4954999787732959,1.3259499974083155,2.5439000164624304,2,39487
104,PDRF,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,3.81799996830523,3.481149993604049,4.84865001635626,1143006.8193366523,0.7789999945089221,0.7716999971307814,0.7844000065233558,1,19740
104,RO-PDRF-Lite,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,4.433899943251163,4.025150032248348,4.7636000090278685,984235.1103665392,0.7928999839350581,0.772449973737821,0.8306000381708145,1,19740
104,Lite-CF-6,12,12,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,10.564399999566376,9.712999977637082,11.130750004667789,413085.45683419064,1.740099978633225,1.66680000256747,1.7578499973751605,2,39487
105,PDRF,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,6.798500020522624,5.2241999947000295,9.794299985514954,641906.3009232034,0.22350001381710172,0.2229000092484057,0.225800002226606,1,19740
105,RO-PDRF-Lite,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,5.9204999706707895,5.672950006555766,5.985199997667223,737099.9107539158,0.23179996060207486,0.22929999977350235,0.23889998556114733,1,19740
105,Lite-CF-6,1,1,12,13th Gen Intel(R) Core(TM) i5-13500H,2.12.1+cpu,4364,12.98329996643588,11.172550002811477,14.005850011017174,336124.09874852386,1.1778000043705106,1.150600000983104,1.1969500046689063,2,39487
