seed,repeat,features,C,auroc,auprc,brier,threshold
101,1,confidence_entropy_6,0.01,0.8228659318123557,0.8692201457668065,0.19237840808618736,0.675
101,2,confidence_entropy_6,0.01,0.8141502178928479,0.8584992226882333,0.19392798309676146,0.7
101,3,confidence_entropy_6,0.01,0.8185080748526019,0.8631309142177161,0.1931392170858139,0.675
101,4,confidence_entropy_6,0.01,0.8259420661368879,0.8689616159262099,0.19164836717340203,0.675
101,5,confidence_entropy_6,0.01,0.8145347346834144,0.8621716071821742,0.1934219841507413,0.675
101,1,confidence_entropy_6,0.05,0.8192771084337349,0.860847727456729,0.1757554190084722,0.825
101,2,confidence_entropy_6,0.05,0.8224814150217893,0.8666894130587286,0.17330774869080373,0.8
101,3,confidence_entropy_6,0.05,0.8096641886695719,0.8545419595096054,0.17750912068079952,0.825
101,4,confidence_entropy_6,0.05,0.8285055114073314,0.8710276559226677,0.1722323819004484,0.775
101,5,confidence_entropy_6,0.05,0.8172263522173802,0.8570389632805775,0.17550876213038785,0.8500000000000001
101,1,confidence_entropy_6,0.1,0.8296590617790311,0.8707057908782252,0.16927774447913171,0.825
101,2,confidence_entropy_6,0.1,0.8269674442450654,0.8713368638497636,0.1687568099080672,0.825
101,3,confidence_entropy_6,0.1,0.8153037682645475,0.8603464918849302,0.17400136425186571,0.8
101,4,confidence_entropy_6,0.1,0.8250448602922327,0.8687529724214328,0.17048444569231272,0.8
101,5,confidence_entropy_6,0.1,0.8140220456293259,0.8596449759763858,0.17498675247735343,0.825
101,1,confidence_entropy_6,0.5,0.8251730325557549,0.8683787742052762,0.1700260762230281,0.875
101,2,confidence_entropy_6,0.5,0.8229941040758779,0.8699251616232624,0.17014627276538763,0.8500000000000001
101,3,confidence_entropy_6,0.5,0.8352986413740067,0.8761994545742031,0.16523764649446082,0.8500000000000001
101,4,confidence_entropy_6,0.5,0.8332478851576519,0.8777377791584633,0.16575534344986131,0.825
101,5,confidence_entropy_6,0.5,0.8283773391438093,0.8749592300253932,0.16753154582498914,0.8500000000000001
101,1,confidence_entropy_6,1.0,0.8373493975903614,0.8782648691309024,0.16411433569176523,0.875
101,2,confidence_entropy_6,1.0,0.8314534734683413,0.8745493916069066,0.1664167001762126,0.875
101,3,confidence_entropy_6,1.0,0.838502947962061,0.8811035602306672,0.16387297238353657,0.8500000000000001
101,4,confidence_entropy_6,1.0,0.8345296077928736,0.8787823794626153,0.16423939817783903,0.875
101,5,confidence_entropy_6,1.0,0.8346577800563959,0.8785074110163618,0.16487186502120252,0.875
101,1,confidence_entropy_6,5.0,0.8305562676236863,0.8777621193827297,0.16756894700623998,0.9
101,2,confidence_entropy_6,5.0,0.8424762881312483,0.8843603995695242,0.16076228833329617,0.875
101,3,confidence_entropy_6,5.0,0.8376057421174059,0.8811373102834564,0.1658868985673243,0.875
101,4,confidence_entropy_6,5.0,0.8350422968469623,0.8756185022607075,0.1646897945874271,0.8
101,5,confidence_entropy_6,5.0,0.835554985901051,0.8788417255911076,0.166056592412131,0.9
102,1,confidence_entropy_6,0.01,0.8999999999999999,0.8882521646585139,0.1811853022065371,0.675
102,2,confidence_entropy_6,0.01,0.8959183673469387,0.8824956233065996,0.18122977937159218,0.675
102,3,confidence_entropy_6,0.01,0.8892857142857142,0.8712586244469256,0.18160046879686384,0.675
102,4,confidence_entropy_6,0.01,0.9015306122448978,0.8941497621295652,0.18097946965123596,0.65
102,5,confidence_entropy_6,0.01,0.9020408163265305,0.8951888873219016,0.1784410763879755,0.675
102,1,confidence_entropy_6,0.05,0.8964285714285715,0.8881620527230966,0.14046032738593178,0.8
102,2,confidence_entropy_6,0.05,0.895408163265306,0.8841455134648445,0.14022114036386668,0.875
102,3,confidence_entropy_6,0.05,0.8969387755102041,0.8895075808493816,0.13981135071845988,0.875
102,4,confidence_entropy_6,0.05,0.8969387755102041,0.8900667598837403,0.13930129727263013,0.8
102,5,confidence_entropy_6,0.05,0.8974489795918367,0.8856729603701317,0.1391728377366868,0.8
102,1,confidence_entropy_6,0.1,0.896938775510204,0.884817619767531,0.1321607239022538,0.8500000000000001
102,2,confidence_entropy_6,0.1,0.8959183673469389,0.8903905417587067,0.13279695507917103,0.825
102,3,confidence_entropy_6,0.1,0.8969387755102041,0.886642054500922,0.1296567614848994,0.875
102,4,confidence_entropy_6,0.1,0.8938775510204082,0.8854986049821824,0.1338639853810027,0.875
