seed,fault_type,prevalence,stream,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
101,gaussian,0.1,full_mixed_stream,Safe-CF-12,5.0,0.5,4.582951420714941,13.748854262144821,6.0,-66.66131989000917,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.1,full_mixed_stream,Safe-CF-12,5.0,2.0,4.582951420714941,13.748854262144821,6.0,-74.16131989000917,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.1,full_mixed_stream,Safe-CF-12,10.0,0.0,4.582951420714941,13.748854262144821,6.0,-132.90559120073326,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.1,full_mixed_stream,Safe-CF-12,10.0,0.5,4.582951420714941,13.748854262144821,6.0,-135.40559120073326,forward-pass/FLOP penalty proxy; energy was not measured
101,gaussian,0.1,full_mixed_stream,Safe-CF-12,10.0,2.0,4.582951420714941,13.748854262144821,6.0,-142.90559120073326,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,1.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,1.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,1.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,2.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,2.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,2.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,5.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,5.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,5.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,10.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,10.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always PDRF,10.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,0.0,142.07149404216315,210.81576535288727,1.0,-68.74427131072412,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,0.5,142.07149404216315,210.81576535288727,1.0,-68.74427131072412,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,2.0,142.07149404216315,210.81576535288727,1.0,-68.74427131072412,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,0.0,142.07149404216315,210.81576535288727,1.0,-279.5600366636114,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,0.5,142.07149404216315,210.81576535288727,1.0,-279.5600366636114,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,2.0,142.07149404216315,210.81576535288727,1.0,-279.5600366636114,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,0.0,142.07149404216315,210.81576535288727,1.0,-912.0073327222732,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,0.5,142.07149404216315,210.81576535288727,1.0,-912.0073327222732,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,2.0,142.07149404216315,210.81576535288727,1.0,-912.0073327222732,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,0.0,142.07149404216315,210.81576535288727,1.0,-1966.0861594867097,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,0.5,142.07149404216315,210.81576535288727,1.0,-1966.0861594867097,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,2.0,142.07149404216315,210.81576535288727,1.0,-1966.0861594867097,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,1.0,0.0,0.0,13.748854262144821,6.0,-13.748854262144821,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,1.0,0.5,0.0,13.748854262144821,6.0,-16.24885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,1.0,2.0,0.0,13.748854262144821,6.0,-23.74885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,2.0,0.0,0.0,13.748854262144821,6.0,-27.497708524289642,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,2.0,0.5,0.0,13.748854262144821,6.0,-29.997708524289642,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,2.0,2.0,0.0,13.748854262144821,6.0,-37.49770852428964,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,5.0,0.0,0.0,13.748854262144821,6.0,-68.7442713107241,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,5.0,0.5,0.0,13.748854262144821,6.0,-71.2442713107241,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,5.0,2.0,0.0,13.748854262144821,6.0,-78.7442713107241,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,10.0,0.0,0.0,13.748854262144821,6.0,-137.4885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,10.0,0.5,0.0,13.748854262144821,6.0,-139.9885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,offset,0.1,full_mixed_stream,Safe-CF-12,10.0,2.0,0.0,13.748854262144821,6.0,-147.4885426214482,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,1.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,1.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,1.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,2.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,2.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,2.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,5.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,5.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,5.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,10.0,0.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,10.0,0.5,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always PDRF,10.0,2.0,0.0,0.0,1.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,0.0,142.07149404216315,210.81576535288727,1.0,-68.74427131072412,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,0.5,142.07149404216315,210.81576535288727,1.0,-68.74427131072412,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,1.0,2.0,142.07149404216315,210.81576535288727,1.0,-68.74427131072412,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,0.0,142.07149404216315,210.81576535288727,1.0,-279.5600366636114,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,0.5,142.07149404216315,210.81576535288727,1.0,-279.5600366636114,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,2.0,2.0,142.07149404216315,210.81576535288727,1.0,-279.5600366636114,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,0.0,142.07149404216315,210.81576535288727,1.0,-912.0073327222732,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,0.5,142.07149404216315,210.81576535288727,1.0,-912.0073327222732,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,5.0,2.0,142.07149404216315,210.81576535288727,1.0,-912.0073327222732,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,0.0,142.07149404216315,210.81576535288727,1.0,-1966.0861594867097,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,0.5,142.07149404216315,210.81576535288727,1.0,-1966.0861594867097,forward-pass/FLOP penalty proxy; energy was not measured
101,drift,0.1,full_mixed_stream,Always RO-PDRF-Full,10.0,2.0,142.07149404216315,210.81576535288727,1.0,-1966.0861594867097,forward-pass/FLOP penalty proxy; energy was not measured
