score_calibration,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
isotonic,preference_auroc,40,0.5527261051585108,0.509498135294166,0.5959540750228557,0.5428109217171717,0.4493197278911565,0.6283677944862156,0.3315508021390374,0.8833333333333334
isotonic,preference_nll,40,1.1206267252599804,0.8713855440053633,1.3698679065145976,0.8381261591419231,0.636634170497852,1.2256984579570118,0.2942663803832181,3.665662124848114
isotonic,preference_brier,40,0.2542208479760838,0.23038225272174165,0.2780594432304259,0.24018690863202632,0.20599270076523105,0.30153616025137386,0.08108648815020006,0.46453779608729795
isotonic,preference_ece10,40,0.20514331016042905,0.17443290630459837,0.23585371401625974,0.20217564344691874,0.12234404914477023,0.2578228011974803,0.06379830092277458,0.44382531360759875
isotonic,negative_transfer_prevention,40,0.8213923037940226,0.7393790474532657,0.9034055601347796,0.9282051282051282,0.7216748768472907,1.0,0.05882352941176472,1.0
isotonic,recovery_retention,40,0.23995263268346595,0.15916457791681296,0.32074068745011897,0.17914438502673796,0.043055555555555555,0.3843984962406015,0.0,0.8809523809523809
isotonic,utility_per_10000,40,35.51532033426184,16.62559416773335,54.40504650079032,13.927576601671309,0.0,43.523676880222844,-34.81894150417827,250.69637883008357
platt,preference_auroc,40,0.5620885206130275,0.5117165449543969,0.6124604962716581,0.5436153628117915,0.4529454022988506,0.6669968919968919,0.2423529411764706,0.888888888888889
platt,preference_nll,40,0.688998017604536,0.6318362502102084,0.7461597849988637,0.6704481041169341,0.5517341677762604,0.7853774806001335,0.3273284111015063,1.2229982972492937
platt,preference_brier,40,0.23898654695899374,0.21691664889334034,0.26105644502464714,0.2356115616873563,0.18336436376196621,0.28180644014450146,0.0850837469892358,0.41531088304629615
platt,preference_ece10,40,0.187413319703137,0.15440822516785183,0.22041841423842215,0.1719870854062151,0.11868247623697534,0.22583768438487867,0.020960077825873738,0.47191180240206904
platt,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
platt,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
platt,utility_per_10000,40,15.842618384401112,6.300128354212237,25.385108414589986,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
raw_logistic,preference_auroc,40,0.5620885206130275,0.5117165449543969,0.6124604962716581,0.5436153628117915,0.4529454022988506,0.6669968919968919,0.2423529411764706,0.888888888888889
raw_logistic,preference_nll,40,0.6943111940491536,0.6726794828749444,0.7159429052233629,0.7015891760056276,0.6633846312143852,0.7269671544548717,0.5100295827994572,0.8644774796977938
raw_logistic,preference_brier,40,0.24880940709583932,0.23913776350433966,0.25848105068733895,0.25421158957029877,0.2348007765565904,0.26379373153624375,0.16158379889140576,0.32255068313131313
raw_logistic,preference_ece10,40,0.23558898641544532,0.21381343387721957,0.25736453895367106,0.22463525727602457,0.18970315085332334,0.27898934454808644,0.08457744235819842,0.3937150626261064
raw_logistic,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
raw_logistic,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
raw_logistic,utility_per_10000,40,15.842618384401112,6.300128354212237,25.385108414589986,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
