method,macro_auroc,accuracy,mean_forward_passes,utility_per_10000
All-row multinomial (safety),0.8117906007417911,0.48790041782729804,2.0,9.575208913649025
All-row multinomial (utility 1:1),0.8160043565039142,0.4977367688022284,2.0,107.93871866295265
Always PDRF,0.8114969624061764,0.4869428969359332,1.0,0.0
Always RO-PDRF-Lite,0.8175216074371573,0.5001566852367688,1.0,132.13788300835654
Frozen Lite-CF (ungated),0.8150818014117908,0.48852715877437325,2.0,15.842618384401115
Prospective gate Lite-CF,0.8131791244812504,0.48769150417827295,1.5,7.486072423398329
