analysis_set,seed,fault_type,method,criterion,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,mean_forward_passes,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
calibration_oof,102,all_calibration_families,Random,matched_prevention,0.9990000882637838,1840,26,1,0.038461538461538464,48,0,1.0,0.0005434782608695652,0.7195652173913043,5.434782608695652,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Random,matched_retention,0.7904534807104302,1840,26,9,0.34615384615384615,48,10,0.7916666666666666,0.21032608695652175,0.7184782608695652,-5.434782608695652,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,matched_prevention,0.9783663245865922,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,matched_retention,0.9783663245865922,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,matched_prevention,0.5265225002206645,1860,50,2,0.04,21,0,1.0,0.01021505376344086,0.624731182795699,10.75268817204301,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,matched_retention,0.7879077324461405,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Two-stage,matched_prevention,0.26086483962401724,1860,50,7,0.14,21,0,1.0,0.02043010752688172,0.6274193548387097,37.634408602150536,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Two-stage,matched_retention,0.5109513766641686,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Shallow tree,matched_prevention,0.5000000010000005,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Shallow tree,matched_retention,0.5000000010000005,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Confidence difference,matched_prevention,0.25533405363559747,1860,50,4,0.08,21,0,1.0,0.01021505376344086,0.6258064516129033,21.50537634408602,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Confidence difference,matched_retention,0.5314929495321045,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Base uncertainty,matched_prevention,-0.28539070387022397,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Base uncertainty,matched_retention,-0.28539070387022397,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Entropy difference,matched_prevention,0.09594944864271632,1860,50,6,0.12,21,0,1.0,0.04032258064516129,0.6268817204301075,32.25806451612903,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Entropy difference,matched_retention,0.4792075019332585,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Random,matched_prevention,0.9992083794713744,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Random,matched_retention,0.9992083794713744,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Conditional Lite-CF,matched_prevention,0.8325779072154111,1868,34,1,0.029411764705882353,36,0,1.0,0.5497858672376874,0.7751605995717344,5.353319057815845,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Conditional Lite-CF,matched_retention,0.8325779072154111,1868,34,1,0.029411764705882353,36,0,1.0,0.5497858672376874,0.7751605995717344,5.353319057815845,,,,,,,,,,,
calibration_oof,104,all_calibration_families,All-row multinomial,matched_prevention,0.9082755311646341,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,All-row multinomial,matched_retention,0.9082755311646341,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Two-stage,matched_prevention,0.3674307145349666,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Two-stage,matched_retention,0.3674307145349666,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Shallow tree,matched_prevention,0.5000000010000005,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Shallow tree,matched_retention,0.5000000010000005,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Confidence difference,matched_prevention,0.40936893324716184,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Confidence difference,matched_retention,0.19533311992883642,1868,34,1,0.029411764705882353,36,1,0.9722222222222222,0.010171306209850108,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Base uncertainty,matched_prevention,-0.32374137539999387,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Base uncertainty,matched_retention,-0.32374137539999387,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Entropy difference,matched_prevention,0.40293917544197605,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Entropy difference,matched_retention,0.15810399320106416,1868,34,1,0.029411764705882353,36,2,0.9444444444444444,0.010171306209850108,0.7740899357601713,-5.353319057815845,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Random,matched_prevention,0.9997548605764992,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Random,matched_retention,0.9686147469811134,1868,34,1,0.029411764705882353,36,2,0.9444444444444444,0.030513918629550323,0.7740899357601713,-5.353319057815845,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Conditional Lite-CF,matched_prevention,0.5431759884028092,1866,26,9,0.34615384615384615,10,0,1.0,0.6596998928188639,0.5830653804930332,48.231511254019296,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Conditional Lite-CF,matched_retention,0.5544118873729303,1866,26,8,0.3076923076923077,10,0,1.0,0.6296891747052519,0.582529474812433,42.87245444801715,,,,,,,,,,,
calibration_oof,105,all_calibration_families,All-row multinomial,matched_prevention,0.6776540695654247,1866,26,1,0.038461538461538464,10,0,1.0,0.0005359056806002144,0.5787781350482315,5.359056806002144,,,,,,,,,,,
calibration_oof,105,all_calibration_families,All-row multinomial,matched_retention,0.0686054689431832,1866,26,8,0.3076923076923077,10,3,0.7,0.33011789924973206,0.5809217577706324,26.79528403001072,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Two-stage,matched_prevention,0.05935051938776109,1866,26,7,0.2692307692307692,10,0,1.0,0.09003215434083602,0.5819935691318328,37.51339764201501,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Two-stage,matched_retention,0.04907656379802698,1866,26,8,0.3076923076923077,10,1,0.9,0.11039657020364416,0.5819935691318328,37.51339764201501,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Shallow tree,matched_prevention,0.500000001,1866,26,0,0.0,10,0,1.0,0.0,0.5782422293676313,0.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Shallow tree,matched_retention,0.49999999999999994,1866,26,5,0.19230769230769232,10,2,0.8,0.19882100750267953,0.579849946409432,16.077170418006432,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Confidence difference,matched_prevention,0.09575610458850857,1866,26,9,0.34615384615384615,10,0,1.0,0.030010718113612004,0.5830653804930332,48.231511254019296,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Confidence difference,matched_retention,0.09575610458850857,1866,26,9,0.34615384615384615,10,0,1.0,0.030010718113612004,0.5830653804930332,48.231511254019296,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Base uncertainty,matched_prevention,-0.42229772806167615,1866,26,6,0.23076923076923078,10,0,1.0,0.04019292604501608,0.5814576634512326,32.154340836012864,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Base uncertainty,matched_retention,-0.4433390423655507,1866,26,8,0.3076923076923077,10,1,0.9,0.05037513397642015,0.5819935691318328,37.51339764201501,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Entropy difference,matched_prevention,0.02124226125891866,1866,26,8,0.3076923076923077,10,0,1.0,0.1602357984994641,0.582529474812433,42.87245444801715,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Entropy difference,matched_retention,0.02124226125891866,1866,26,8,0.3076923076923077,10,0,1.0,0.1602357984994641,0.582529474812433,42.87245444801715,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Random,matched_prevention,0.955152462645205,1866,26,1,0.038461538461538464,10,0,1.0,0.05037513397642015,0.5787781350482315,5.359056806002144,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Random,matched_retention,0.6893034420913773,1866,26,8,0.3076923076923077,10,6,0.4,0.30010718113612006,0.5793140407288317,10.718113612004288,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Conditional Lite-CF,matched_prevention,0.6447096323938809,1869,48,24,0.5,34,0,1.0,0.8298555377207063,0.6944890315676833,128.41091492776886,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Conditional Lite-CF,matched_retention,0.6447096323938809,1869,48,24,0.5,34,0,1.0,0.8298555377207063,0.6944890315676833,128.41091492776886,,,,,,,,,,,
calibration_oof,106,all_calibration_families,All-row multinomial,matched_prevention,0.4824563375533484,1869,48,5,0.10416666666666667,34,0,1.0,0.020331728196896735,0.6843231674692349,26.75227394328518,,,,,,,,,,,
calibration_oof,106,all_calibration_families,All-row multinomial,matched_retention,0.29994786424611547,1869,48,25,0.5208333333333334,34,1,0.9705882352941176,0.15997859818084537,0.6944890315676833,128.41091492776886,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Two-stage,matched_prevention,0.23797075383884034,1869,48,17,0.3541666666666667,34,0,1.0,0.04012841091492777,0.6907437132156233,90.9577314071696,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Two-stage,matched_retention,0.17240042014942794,1869,48,24,0.5,34,1,0.9705882352941176,0.12038523274478331,0.6939539860888175,123.06046013911183,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Shallow tree,matched_prevention,0.765737051792829,1869,48,3,0.0625,34,0,1.0,0.17067950775815943,0.6832530765115035,16.051364365971107,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Shallow tree,matched_retention,0.5000000000000001,1869,48,25,0.5208333333333334,34,12,0.6470588235294117,0.5617977528089888,0.6886035313001605,69.55591225254146,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Confidence difference,matched_prevention,0.1622220516204833,1869,48,8,0.16666666666666666,34,0,1.0,0.04012841091492777,0.685928303905832,42.803638309256286,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Confidence difference,matched_retention,0.0008448243141173717,1869,48,24,0.5,34,16,0.5294117647058824,0.3402889245585875,0.685928303905832,42.803638309256286,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Base uncertainty,matched_prevention,-0.29243907232420346,1869,48,0,0.0,34,0,1.0,0.0,0.6816479400749064,0.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Base uncertainty,matched_retention,-0.5832239985466003,1869,48,24,0.5,34,31,0.08823529411764708,0.13001605136436598,0.6779026217228464,-37.453183520599254,,,,,,,,,,,
