seed,repeat,fold,feature,standardized_coefficient
101,2,5,recovery_consensus_agreement,-0.05866945675527677
101,2,5,removal_fraction,-0.3900245619644217
101,3,1,base_confidence,-0.2781874456964893
101,3,1,recovery_confidence,0.3854669239040372
101,3,1,confidence_delta,0.5511180608851375
101,3,1,base_entropy,-0.48785969595501344
101,3,1,recovery_entropy,-0.0630242088455982
101,3,1,entropy_delta,0.5238420252185866
101,3,1,base_recovery_js,1.1689273550343346
101,3,1,base_consensus_js,-0.27699288397461
101,3,1,recovery_consensus_js,0.6257088634978812
101,3,1,base_consensus_agreement,0.7339832595672732
101,3,1,recovery_consensus_agreement,0.041611730623692694
101,3,1,removal_fraction,-0.23891714698224079
101,3,2,base_confidence,-0.24484294700768736
101,3,2,recovery_confidence,0.42036063702433396
101,3,2,confidence_delta,0.5705619468036749
101,3,2,base_entropy,-0.6074185233772351
101,3,2,recovery_entropy,-0.13352017774537345
101,3,2,entropy_delta,0.6130495087481197
101,3,2,base_recovery_js,1.1024679195120355
101,3,2,base_consensus_js,-0.26594152548402905
101,3,2,recovery_consensus_js,0.5452295809451755
101,3,2,base_consensus_agreement,0.46525975555402693
101,3,2,recovery_consensus_agreement,0.11153345277224165
101,3,2,removal_fraction,-0.4323400995877245
101,3,3,base_confidence,0.10443097400964253
101,3,3,recovery_confidence,0.48921688184054846
101,3,3,confidence_delta,0.33002232015919264
101,3,3,base_entropy,-0.28118922938459334
101,3,3,recovery_entropy,-0.21082461324863408
101,3,3,entropy_delta,0.06799346385103446
101,3,3,base_recovery_js,0.8304126959098165
101,3,3,base_consensus_js,0.7254790259899552
101,3,3,recovery_consensus_js,1.1392047324469685
101,3,3,base_consensus_agreement,0.6037738337656386
101,3,3,recovery_consensus_agreement,0.0448183163324291
101,3,3,removal_fraction,-0.19290625384701232
101,3,4,base_confidence,-0.11053273558948683
101,3,4,recovery_confidence,0.3817559927725555
101,3,4,confidence_delta,0.41336376031429933
101,3,4,base_entropy,-0.3549718459760773
101,3,4,recovery_entropy,-0.19712964857175844
101,3,4,entropy_delta,0.1942840781741726
101,3,4,base_recovery_js,1.2113366174326663
101,3,4,base_consensus_js,-0.08046650606993717
101,3,4,recovery_consensus_js,0.6534458176083372
101,3,4,base_consensus_agreement,0.7561711021393941
101,3,4,recovery_consensus_agreement,-0.08032222896906933
101,3,4,removal_fraction,0.017417345890129568
101,3,5,base_confidence,-0.015505124111163698
101,3,5,recovery_confidence,0.48010451069471927
101,3,5,confidence_delta,0.42452459247557073
101,3,5,base_entropy,-0.33626021249937876
101,3,5,recovery_entropy,0.13180693257389683
101,3,5,entropy_delta,0.6286430787223664
101,3,5,base_recovery_js,1.072774902733985
101,3,5,base_consensus_js,-0.3355143043711018
101,3,5,recovery_consensus_js,0.7952024580014512
101,3,5,base_consensus_agreement,0.4867513628572792
101,3,5,recovery_consensus_agreement,0.04142541355162734
101,3,5,removal_fraction,-0.30958441511093976
101,4,1,base_confidence,-0.13884751796669878
101,4,1,recovery_confidence,0.548828273472478
101,4,1,confidence_delta,0.5974500421773702
101,4,1,base_entropy,-0.33904729133451333
101,4,1,recovery_entropy,0.04098488044229707
101,4,1,entropy_delta,0.4735007203943261
101,4,1,base_recovery_js,1.307137433645726
101,4,1,base_consensus_js,-0.10143457252514188
101,4,1,recovery_consensus_js,0.49049625065004926
101,4,1,base_consensus_agreement,0.7895198253569933
101,4,1,recovery_consensus_agreement,0.13437589721580354
101,4,1,removal_fraction,-0.2864374525081123
101,4,2,base_confidence,0.04518514825470458
101,4,2,recovery_confidence,0.488768750598368
101,4,2,confidence_delta,0.38339979447034117
101,4,2,base_entropy,-0.2588392233397741
101,4,2,recovery_entropy,-0.08190682333984083
101,4,2,entropy_delta,0.22526305194610918
101,4,2,base_recovery_js,0.7305405514380869
101,4,2,base_consensus_js,0.7127541699703946
101,4,2,recovery_consensus_js,1.0693776278210543
101,4,2,base_consensus_agreement,0.6589320976084416
101,4,2,recovery_consensus_agreement,0.02720673688077835
101,4,2,removal_fraction,-0.18070233246303552
101,4,3,base_confidence,-0.20609834535153243
101,4,3,recovery_confidence,0.2508319543659006
101,4,3,confidence_delta,0.3763091066006851
101,4,3,base_entropy,-0.41916073351151917
101,4,3,recovery_entropy,-0.14397009920931525
101,4,3,entropy_delta,0.3465920201354717
101,4,3,base_recovery_js,1.1983139693947535
101,4,3,base_consensus_js,-0.32260323286689174
101,4,3,recovery_consensus_js,0.6624496560899698
101,4,3,base_consensus_agreement,0.6423672058486333
101,4,3,recovery_consensus_agreement,0.07342406773792641
101,4,3,removal_fraction,-0.16293156425919514
101,4,4,base_confidence,-0.10367591555514578
101,4,4,recovery_confidence,0.45408511457572054
101,4,4,confidence_delta,0.47230200927551147
101,4,4,base_entropy,-0.5043439942083028
101,4,4,recovery_entropy,-0.08611694996632198
101,4,4,entropy_delta,0.543675748055417
101,4,4,base_recovery_js,0.977861273705574
101,4,4,base_consensus_js,-0.3006594136180943
101,4,4,recovery_consensus_js,0.6869714820192684
101,4,4,base_consensus_agreement,0.5338112942432451
101,4,4,recovery_consensus_agreement,0.0037799617235736833
101,4,4,removal_fraction,-0.22424067434441777
101,4,5,base_confidence,-0.16045754048336144
101,4,5,recovery_confidence,0.4351585716839814
101,4,5,confidence_delta,0.5009214548576795
101,4,5,base_entropy,-0.5105679190445623
101,4,5,recovery_entropy,-0.19391376480582076
101,4,5,entropy_delta,0.4072191950717501
