method,batch1_ms_mean,batch1_ms_sd,full_batch_ms_mean,full_batch_ms_sd,throughput_mean,throughput_sd
Lite-CF-6,2.9626599920447916,0.5688768416101871,12.502029997995123,1.720022693232691,355644.2238846591,53331.91989870781
PDRF,0.7341100019402802,0.20949327534597004,4.559530003461987,0.5940775514693979,976285.7738987573,165789.48150698148
RO-PDRF-Lite,0.7484299887437373,0.21495107007388492,4.483009991236031,0.5132532214155144,986046.8041143399,122960.80911895566
