seed,repeat,features,C,auroc,auprc,brier,threshold,threshold_tie_count
101,1,all_12,0.5,0.8833632401948218,0.8731639888093466,0.1365641790675289,0.875,1
101,2,all_12,0.5,0.8872084081004871,0.8837301639970598,0.13521187649671074,0.775,1
101,3,all_12,0.5,0.8823378620866444,0.8737884884515807,0.13742594579537218,0.775,1
101,4,all_12,0.5,0.8918226095872853,0.8793653209956759,0.13157111841258173,0.8,1
101,5,all_12,0.5,0.8878492694180979,0.876989500380577,0.13348118906914255,0.775,1
101,6,all_12,0.5,0.8811843117149448,0.8677057565009251,0.136773463081926,0.875,1
101,7,all_12,0.5,0.885670340938221,0.8779861100803721,0.13526162201928393,0.775,1
101,8,all_12,0.5,0.8882337862086644,0.8774986479929664,0.13380329230809182,0.825,1
101,9,all_12,0.5,0.8977185337093053,0.8877397341261507,0.12958286908125166,0.725,1
101,10,all_12,0.5,0.8906690592155857,0.8863921886557027,0.1325741067130074,0.775,1
102,1,all_12,0.5,0.9071428571428573,0.8964247585882011,0.11959062402770891,0.775,1
102,2,all_12,0.5,0.9081632653061225,0.8979713508953163,0.11837646667700782,0.875,2
102,3,all_12,0.5,0.901530612244898,0.8914126486038602,0.11308564408533192,0.825,1
102,4,all_12,0.5,0.8994897959183673,0.8908652487274066,0.11986646325297177,0.8500000000000001,1
102,5,all_12,0.5,0.9183673469387754,0.9141282610753233,0.10639165347497455,0.825,2
102,6,all_12,0.5,0.8887755102040816,0.8830313434591684,0.1303412393312301,0.825,1
102,7,all_12,0.5,0.8693877551020408,0.8546827270139151,0.152556217786981,0.9,2
102,8,all_12,0.5,0.889795918367347,0.8710611077230849,0.1310753851944803,0.8500000000000001,2
102,9,all_12,0.5,0.9015306122448979,0.8940634928402634,0.11926361234708807,0.775,1
102,10,all_12,0.5,0.8933673469387755,0.8806797467432975,0.12516627144559572,0.8500000000000001,2
103,1,all_12,0.5,0.8556495769039323,0.8411844645050315,0.14890281247184284,0.9,2
103,2,all_12,0.5,0.8367346938775511,0.85982474852954,0.16522529807605443,0.775,1
103,3,all_12,0.5,0.8427078148332504,0.834685768125576,0.15955903105855418,0.9,1
103,4,all_12,0.5,0.8387257341961175,0.8539218074645545,0.158546023554736,0.875,2
103,5,all_12,0.5,0.8685913389746142,0.8856272084298301,0.14679101787964863,0.8,1
103,6,all_12,0.5,0.8382279741164758,0.8370803357410506,0.16141701674759276,0.875,2
103,7,all_12,0.5,0.8631159780985564,0.8697646959848664,0.146275996891498,0.775,1
103,8,all_12,0.5,0.8476854156296665,0.8548313285256228,0.1534796864821333,0.8,1
103,9,all_12,0.5,0.8252862120457939,0.8340879346356556,0.17056231620903237,0.8500000000000001,1
103,10,all_12,0.5,0.8417122946739672,0.8531932953229856,0.16226368163702345,0.875,1
104,1,all_12,0.5,0.9151967435549524,0.9699164549939524,0.10451061469678972,0.8500000000000001,1
104,2,all_12,0.5,0.9457259158751696,0.9837800220594695,0.08724895394188134,0.725,2
104,3,all_12,0.5,0.9525101763907734,0.9862024592925687,0.08550584443476993,0.7,2
104,4,all_12,0.5,0.9538670284938942,0.9866038895411711,0.08088596958366354,0.75,1
104,5,all_12,0.5,0.9497964721845318,0.9848637322856968,0.0878237079230077,0.775,1
104,6,all_12,0.5,0.9396200814111261,0.9811842499580197,0.09257028042391865,0.8500000000000001,1
104,7,all_12,0.5,0.9409769335142468,0.9832976100342576,0.09349114158556282,0.7,1
104,8,all_12,0.5,0.9477611940298507,0.9851147197840557,0.08507146547863259,0.7,1
104,9,all_12,0.5,0.9497964721845319,0.985470940769824,0.0847640521290647,0.75,1
104,10,all_12,0.5,0.9402985074626866,0.9824461596858745,0.09152588930457861,0.75,2
105,1,all_12,0.5,0.8658925318761385,0.9289981644688516,0.1445894136611171,0.775,1
105,2,all_12,0.5,0.8808060109289617,0.935162208655455,0.13730191164516953,0.775,1
105,3,all_12,0.5,0.8588342440801456,0.9260982190838212,0.14858095771937913,0.775,1
105,4,all_12,0.5,0.8604280510018215,0.9252915168274033,0.14355718610450402,0.8,1
105,5,all_12,0.5,0.8794398907103824,0.9362765179858623,0.13929360959981157,0.8,1
105,6,all_12,0.5,0.8702185792349728,0.9277019124183269,0.1390165965843328,0.825,1
105,7,all_12,0.5,0.8647540983606558,0.9285898517447502,0.14521768713212646,0.8500000000000001,1
105,8,all_12,0.5,0.876252276867031,0.9349912334810029,0.14129178117829058,0.775,1
105,9,all_12,0.5,0.8671448087431693,0.9310320883626585,0.14214937917242124,0.775,1
105,10,all_12,0.5,0.8666894353369764,0.9294840557045266,0.14261162618324122,0.825,1
106,1,all_12,0.5,0.946236559139785,0.9711000721010687,0.0798542038095049,0.8500000000000001,1
106,2,all_12,0.5,0.9392473118279571,0.965692376751294,0.079833222015978,0.875,1
106,3,all_12,0.5,0.9204301075268818,0.9492762075819601,0.08793802723745978,0.9,1
106,4,all_12,0.5,0.9510752688172044,0.9735229262129366,0.07265058550103301,0.8500000000000001,1
106,5,all_12,0.5,0.9360215053763441,0.9617142745497842,0.08701686136958495,0.9,1
