C,auroc,auroc,auprc,auprc,brier,brier,threshold,threshold
,mean,std,mean,std,mean,std,mean,std
0.01,0.7392680422113128,0.13040594283978554,0.8004766346321586,0.1359809226981334,0.21636972702061408,0.025286817219227715,0.6775,0.11183191651322269
0.05,0.7566995509425395,0.11234684906847635,0.8087701677501095,0.1260522192884645,0.19651045744522122,0.03958035911403065,0.7685000000000001,0.08975732589053896
0.1,0.7653558665158446,0.10311225156084235,0.8152166801659426,0.12188112242110756,0.1908190858617207,0.041186473023008596,0.789,0.08177869589349547
0.5,0.7882515716079871,0.09164936019979561,0.8255723201145968,0.11936009078990338,0.18039806737684166,0.041257455934141846,0.818,0.06701355330476526
1.0,0.7899786782471019,0.08874857882376656,0.8264870275104869,0.1182222238989302,0.17887246677240096,0.04148981519320589,0.845,0.05273151092940498
5.0,0.786586725014094,0.09169872309732595,0.8231963547412634,0.11939426073664054,0.17920058548865803,0.043546610323470944,0.855,0.04489216103563048
