seed,method,batch_size,cpu_model,cpu_threads,cpu_interop_threads,torch_version,latency_batch_ms_median,latency_batch_ms_q1,latency_batch_ms_q3,throughput_observations_per_second,latency_batch1_ms_median,latency_batch1_ms_q1,latency_batch1_ms_q3,forward_passes_per_observation,stored_parameters,model_state_kib_fp32
101,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.629200033377856,4.613299999618903,4.781299998285249,942711.476828461,0.33840001560747623,0.3331500047352165,0.34085000515915453,1,19740,77.109375
101,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.426900006365031,3.864450001856312,4.476299975067377,985791.4101799018,0.32569997711107135,0.3218000056222081,0.3446000046096742,1,19740,77.109375
101,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,10.071400029119104,9.708049998153001,10.11854998068884,433306.19252363243,1.979399996344,1.867300015874207,2.052600000752136,2,39487,154.24609375
102,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.585799993947148,4.496850015129894,4.781550000188872,951633.304060381,0.8306999807246029,0.8246999932453036,0.8516499947290868,1,19740,77.109375
102,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.779400012921542,4.7100499796215445,5.324750003637746,913085.3220491128,0.8390999864786863,0.8311500132549554,0.8883999835234135,1,19740,77.109375
102,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,12.348000018391758,12.298499990720302,12.571449973620474,353417.5569727915,3.1151999719440937,3.0654000001959503,3.2131999905686826,2,39487,154.24609375
103,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.594199999701232,4.551949998131022,4.787649988429621,949893.3438430625,0.8305000374093652,0.8254500280600041,0.8498500392306596,1,19740,77.109375
103,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.882499983068556,4.702550009824336,4.966099979355931,893804.4065813414,0.818900007288903,0.8174499962478876,0.8220499730668962,1,19740,77.109375
103,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,13.641800032928586,13.22629998321645,14.26414999878034,319899.13277325383,3.3937999978661537,3.326400008518249,3.430100012337789,2,39487,154.24609375
104,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.028299987316132,4.674699972383678,5.093399988254532,867887.7574942176,0.8297000313177705,0.8186999766621739,0.8791000000201166,1,19740,77.109375
104,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.535399959422648,4.45230002515018,4.610649979440495,962208.4136005357,0.8821999654173851,0.8781000215094537,0.9019499993883073,1,19740,77.109375
104,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,14.328299963381141,13.753200008068234,14.60044999839738,304572.0714357657,3.442899964284152,3.2501999812666327,3.4595000033732504,2,39487,154.24609375
105,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.975699994247407,4.869650001637638,5.519450001884252,877062.5248799935,0.33900002017617226,0.3333000058773905,0.3432499652262777,1,19740,77.109375
105,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,3.6333000170998275,3.52769999881275,4.05144999967888,1201111.9311538253,0.36589999217540026,0.35020001814700663,0.380749988835305,1,19740,77.109375
105,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,9.867299988400191,9.278300014557317,12.243750010384247,442268.90893458546,1.9743999582715333,1.924800017150119,2.1325000270735472,2,39487,154.24609375
106,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.438299976754934,4.368900001281872,4.480100004002452,983259.3612094561,0.8123000152409077,0.8052499906625599,0.8564000017940998,1,19740,77.109375
106,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.385999985970557,4.3500000028871,4.519299982348457,994984.043310322,0.8173999958671629,0.7903499936219305,0.8373500022571534,1,19740,77.109375
106,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,13.045299972873181,12.667600007262081,13.337599986698478,334526.6118122728,3.1489000539295375,3.0841000261716545,3.2763500057626516,2,39487,154.24609375
107,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.278700031340122,5.2399999694898725,5.417850014055148,826718.6947715413,0.8653999539092183,0.8461500110570341,0.9222000371664762,1,19740,77.109375
107,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,5.214700009673834,5.121399997733533,5.286950006848201,836865.0146517167,0.8421000093221664,0.8229499799199402,0.8468999876640737,1,19740,77.109375
107,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,14.028400008101016,13.886649976484478,14.121400017756969,311083.2309800055,3.4549999982118607,3.3137499704025686,3.644350013928488,2,39487,154.24609375
108,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.48780000442639,4.410200024722144,4.569750017253682,972414.0994910013,0.8703999919816852,0.83634999464266,0.9331500041298568,1,19740,77.109375
108,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.857399966567755,4.378249985165894,4.934950004098937,898423.0308470167,0.8824999677017331,0.8480999968014657,0.9383500146213919,1,19740,77.109375
108,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,12.994799995794892,12.810399959562346,13.209300028393045,335826.63845632,3.4021000028587878,3.279949974967167,3.559250006219372,2,39487,154.24609375
109,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.513600026257336,4.453850007848814,4.552400001557544,966855.7192956718,0.8257999434135854,0.8244499913416803,0.8422000100836158,1,19740,77.109375
109,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,4.47439996059984,4.459249990759417,4.670649999752641,975326.3093214761,0.8033000049181283,0.8018500229809433,0.814300001366064,1,19740,77.109375
109,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,14.108599978499115,13.675999973202124,14.48795001488179,309314.8864274658,2.993499976582825,2.9704000044148415,3.1163500098045915,2,39487,154.24609375
110,PDRF,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,3.0636999872513115,2.425949991447851,3.3422499836888164,1424421.4571137857,0.7989000296220183,0.7943999953567982,0.8406999986618757,1,19740,77.109375
110,RO-PDRF-Lite,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,3.6401000106707215,2.8864499763585627,3.718199994182214,1198868.1594481503,0.9071999811567366,0.8573000086471438,1.1427500285208225,1,19740,77.109375
110,Lite-CF-6,4364,13th Gen Intel(R) Core(TM) i5-13500H,12,12,2.12.1+cpu,10.586399992462248,10.479799966560677,11.366750026354566,412227.0085304981,2.721400000154972,1.6530000139027834,3.1925499788485467,2,39487,154.24609375
