criterion,method,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
matched_prevention,All-row multinomial,negative_transfer_prevention,40,0.9699219286617765,0.9503119216654622,0.9895319356580908,1.0,0.9651988636363636,1.0,0.7297297297297297,1.0
matched_prevention,All-row multinomial,recovery_retention,40,0.07690629784867425,0.0324605556810548,0.12135204001629371,0.0,0.0,0.10131578947368422,0.0,0.6
matched_prevention,All-row multinomial,utility_per_10000,40,10.793871866295264,5.410121077459659,16.177622655130868,0.0,0.0,15.668523676880223,-6.963788300835654,55.710306406685234
matched_prevention,All-row multinomial,macro_auroc,40,0.8117969883940164,0.8051037750083911,0.8184902017796416,0.8113273730981261,0.7985907471228689,0.8273084674134479,0.7691806345522895,0.8441991225697406
matched_prevention,Base uncertainty,negative_transfer_prevention,40,0.9643587893587894,0.9324489453025815,0.9962686334149973,1.0,1.0,1.0,0.5,1.0
matched_prevention,Base uncertainty,recovery_retention,40,0.04083024101113314,0.004827938451803064,0.07683254357046321,0.0,0.0,0.0,0.0,0.4666666666666667
matched_prevention,Base uncertainty,utility_per_10000,40,6.4415041782729805,-1.4267235033512335,14.309731859897195,0.0,0.0,0.0,-20.891364902506965,125.34818941504179
matched_prevention,Base uncertainty,macro_auroc,40,0.8115179522923075,0.8047909499734632,0.8182449546111518,0.8111545088757162,0.7975716677003621,0.8269089946108265,0.7683560459117124,0.8441190205255452
matched_prevention,Conditional Lite-CF,negative_transfer_prevention,40,0.9309386500835231,0.8930985086256507,0.9687787915413955,1.0,0.9005681818181818,1.0,0.5,1.0
matched_prevention,Conditional Lite-CF,recovery_retention,40,0.10242956906928188,0.064221685406576,0.14063745273198777,0.05827702702702703,0.0,0.18142857142857144,0.0,0.4
matched_prevention,Conditional Lite-CF,utility_per_10000,40,16.190807799442897,6.471363733056307,25.910251865829487,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
matched_prevention,Conditional Lite-CF,macro_auroc,40,0.8143532225410628,0.8079128405461797,0.8207936045359459,0.8135056587126964,0.7988967992603718,0.8335483499207169,0.7694249613154086,0.8456434617549159
matched_prevention,Confidence difference,negative_transfer_prevention,40,0.9611760835841718,0.938147280263037,0.9842048869053067,1.0,0.9364583333333334,1.0,0.6666666666666667,1.0
matched_prevention,Confidence difference,recovery_retention,40,0.06513957972632714,0.03848912725086486,0.09179003220178941,0.034355179704016914,0.0,0.09412202380952381,0.0,0.2894736842105263
matched_prevention,Confidence difference,utility_per_10000,40,15.842618384401115,6.991577864940316,24.693658903861916,6.963788300835654,0.0,20.891364902506965,-6.963788300835654,125.34818941504179
matched_prevention,Confidence difference,macro_auroc,40,0.8119524160862589,0.805293749299166,0.8186110828733518,0.811238316852668,0.7978805837134358,0.8278501968469866,0.7699521217098771,0.8444586185844988
matched_prevention,Entropy difference,negative_transfer_prevention,40,0.9737451811532694,0.9540666884570416,0.9934236738494971,1.0,1.0,1.0,0.7333333333333334,1.0
matched_prevention,Entropy difference,recovery_retention,40,0.07462801230024273,0.04081200685778433,0.10844401774270113,0.017346938775510204,0.0,0.14493355481727574,0.0,0.47058823529411764
matched_prevention,Entropy difference,utility_per_10000,40,19.32451253481894,10.211518985725961,28.43750608391192,6.963788300835654,0.0,34.81894150417827,-6.963788300835654,111.42061281337047
