seed,fraction,repeat,calibration_groups,calibration_rows,informative_rows,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,0.25,1,170,450,52,0.675,5744,207,23,0.1111111111111111,129,24,0.813953488372093,0.7510445682451253,0.485550139275766,-1.7409470752089136,0.485550139275766,0.8244282604915122,0.5550378942831591,2.4315947444028603,0.7930657256211661,0.33075933809790864,0.3307593380979087,0.11887953153252757
101,0.25,2,170,462,48,0.625,5744,207,21,0.10144927536231885,129,18,0.8604651162790697,0.7501740947075209,0.48624651810584957,5.222841225626741,0.48624651810584957,0.8245726302597576,0.5555410926510946,2.4304575733223612,0.7912403726278128,0.3290227808136728,0.32902278081367287,0.11839396377196405
101,0.25,3,170,453,44,0.65,5744,207,23,0.1111111111111111,129,24,0.813953488372093,0.7550487465181058,0.485550139275766,-1.7409470752089136,0.485550139275766,0.8244567746113457,0.5552810452474514,2.4300032575112964,0.7919421538071308,0.3297661484237707,0.32976614842377067,0.1185805041080672
101,0.25,4,170,467,50,0.625,5744,207,28,0.13526570048309178,129,25,0.8062015503875969,0.7609679665738162,0.48624651810584957,5.222841225626741,0.48624651810584957,0.8243887758003924,0.555045808979519,2.4385127018323036,0.798866155759377,0.3377324149110281,0.3377324149110281,0.12007524725515066
101,0.25,5,170,433,39,0.625,5744,207,43,0.20772946859903382,129,45,0.6511627906976745,0.7923050139275766,0.4853760445682451,-3.481894150417827,0.4853760445682451,0.8248307772934322,0.5558711823201394,2.4195246225059326,0.7919757424201121,0.3321534070935832,0.3321534070935832,0.1179476444210197
101,0.25,6,170,432,39,0.625,5744,207,40,0.1932367149758454,129,34,0.7364341085271318,0.7808147632311978,0.48676880222841223,10.445682451253482,0.48676880222841223,0.8247663606271085,0.5557172448822439,2.417742278147287,0.787033099328984,0.32397322041126775,0.32397322041126775,0.11758202059943042
101,0.25,7,170,455,41,0.6,5744,207,38,0.18357487922705315,129,35,0.7286821705426356,0.7822075208913649,0.48624651810584957,5.222841225626741,0.48624651810584957,0.824447243122429,0.5550326395764794,2.4374079332660763,0.7995339549538889,0.33940920416316617,0.33940920416316617,0.12004476845125796
101,0.25,8,170,468,51,0.575,5744,207,58,0.28019323671497587,129,48,0.627906976744186,0.8046657381615598,0.48746518105849584,17.409470752089135,0.48746518105849584,0.8245212657603718,0.5551817617775423,2.430965694039996,0.7980666377053838,0.33791241492596696,0.3379124149259671,0.11952872160264366
101,0.25,9,170,454,44,0.625,5744,207,33,0.15942028985507245,129,28,0.7829457364341086,0.7656685236768802,0.48659470752089135,8.704735376044567,0.48659470752089135,0.8245810491183122,0.5554452985179543,2.4232777770441962,0.7881397073896289,0.32449427080604143,0.32449427080604143,0.11762988406023572
101,0.25,10,170,446,41,0.6,5744,207,26,0.12560386473429952,129,24,0.813953488372093,0.7569637883008357,0.4860724233983287,3.481894150417827,0.4860724233983287,0.8245107248800614,0.5553094113736144,2.424784266531483,0.7879415643828122,0.32416375438515643,0.3241637543851565,0.11785051867337935
101,0.5,1,341,914,91,0.65,5744,207,38,0.18357487922705315,129,37,0.7131782945736433,0.7919568245125348,0.4858983286908078,1.7409470752089136,0.4858983286908078,0.8248296541112531,0.5558390556872549,2.424579297776386,0.7934160956736369,0.33323431893495914,0.3332343189349592,0.11850536620012182
101,0.5,2,341,914,82,0.625,5744,207,43,0.20772946859903382,129,40,0.689922480620155,0.8003133704735376,0.48624651810584957,5.222841225626741,0.48624651810584957,0.8247631909009564,0.5557881618761501,2.4172636035966404,0.7891731974331682,0.3276866596213173,0.3276866596213174,0.1175077319555012
