seed,fault_type,method,subset,n,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
101,drift,PDRF,endpoint_class_agreement,1309,0.5355233002291826,0.8497609639053262,0.6108558405970846,2.4734546921358875,0.764738356864956,0.32795453446065576,0.32795453446065564,0.12457832849101869
101,drift,PDRF,endpoint_class_disagreement,127,0.2283464566929134,0.7068559998752234,0.33289576703917356,2.648476571889907,0.9532041008057789,0.3691751324226829,0.3742928552309136,0.15620244819293896
101,drift,RO-PDRF-Lite,endpoint_class_agreement,1309,0.5355233002291826,0.8471471503433788,0.6089273237500263,2.365070405873027,0.7687871415944441,0.32585476107708633,0.32585476107708633,0.12374192255911753
101,drift,RO-PDRF-Lite,endpoint_class_disagreement,127,0.31496062992125984,0.6954685924301712,0.3087843513219176,2.5206515782195686,0.9061292248690372,0.23689249399595047,0.24498266222005538,0.156474877052928
101,drift,Lite-CF,endpoint_class_agreement,1309,0.5355233002291826,0.8495330760039593,0.6103241994414105,2.3533262176854763,0.7670910175632184,0.32468239526241305,0.324682395262413,0.1237564290849174
101,drift,Lite-CF,endpoint_class_disagreement,127,0.1968503937007874,0.7049940180707338,0.3182539100811169,2.6276106094599014,0.9677300173951477,0.38552397599825283,0.3906416988064835,0.15947918672782457
101,gaussian,PDRF,endpoint_class_agreement,1262,0.5166402535657686,0.8085325295902153,0.5113445810774616,2.875804093913124,0.8149341551210424,0.34827722949235596,0.3482772294923559,0.12664400233582493
101,gaussian,PDRF,endpoint_class_disagreement,174,0.1839080459770115,0.6967660929699294,0.29156816967198346,2.573938177093818,0.9362788558436493,0.3733637580329734,0.36676219769514784,0.1458578611294861
101,gaussian,RO-PDRF-Lite,endpoint_class_agreement,1262,0.5166402535657686,0.8187250379995703,0.5304952459789682,2.419729991395117,0.7700489155016196,0.3291349464736573,0.3291349464736572,0.11616068293743548
101,gaussian,RO-PDRF-Lite,endpoint_class_disagreement,174,0.40229885057471265,0.7480262860175207,0.41483306339987003,2.208639761278288,0.8108055782007354,0.1522308348711725,0.16087273124235246,0.12296180068844748
101,gaussian,Lite-CF,endpoint_class_agreement,1262,0.5166402535657686,0.815637034812116,0.525234623212322,2.481455198011205,0.7796065949138932,0.3286688371522062,0.3286688371522061,0.11753266291579094
101,gaussian,Lite-CF,endpoint_class_disagreement,174,0.22988505747126436,0.7118850594557457,0.31689544258224384,2.4516345152349333,0.8909358684463508,0.3222285546111109,0.3156945271080687,0.13428438164764483
101,offset,PDRF,endpoint_class_agreement,1276,0.5156739811912225,0.8445938180253566,0.5977816913504401,2.6219140541545785,0.8000657965224174,0.34778462430774537,0.3477846243077453,0.13485698207651345
101,offset,PDRF,endpoint_class_disagreement,160,0.23125,0.6925684222345124,0.35472770131892295,2.8538243347549064,0.992929596304856,0.3884423296302297,0.3870792332011466,0.16490240995257055
101,offset,RO-PDRF-Lite,endpoint_class_agreement,1276,0.5156739811912225,0.8458867443007497,0.6033086907220372,2.4599967325199423,0.786454862064163,0.3431258023565841,0.3410142899248777,0.12783594233299703
101,offset,RO-PDRF-Lite,endpoint_class_disagreement,160,0.29375,0.7010301423843709,0.3217564432131096,2.693128503877158,0.9389272529491841,0.286588698393878,0.32306917601751733,0.16061965680118817
101,offset,Lite-CF,endpoint_class_agreement,1276,0.5156739811912225,0.8487099319917674,0.6062321759593682,2.4395755507753574,0.779568184940008,0.33817661538223065,0.3381766153822307,0.12733547218580724
101,offset,Lite-CF,endpoint_class_disagreement,160,0.19375,0.6839093264965467,0.33694821078131604,2.7880936802350216,1.001564150216683,0.4108830398344133,0.4095199434053302,0.16739331145631212
101,stuck_at,PDRF,endpoint_class_agreement,1240,0.5241935483870968,0.8413304709844907,0.6042987704892195,2.484101562892126,0.7896828529415774,0.33547369354110623,0.33547369354110623,0.130306320812687
101,stuck_at,PDRF,endpoint_class_disagreement,196,0.15816326530612246,0.6450588845319701,0.3164423838768467,3.553727042445486,1.0783066562995507,0.4315292141230432,0.43152921412304324,0.20205854181175928
101,stuck_at,RO-PDRF-Lite,endpoint_class_agreement,1240,0.5241935483870968,0.847859370293404,0.6127934882989104,2.2108701310828582,0.7441453678203013,0.31473178546469777,0.31363292744768373,0.11741349387091378
101,stuck_at,RO-PDRF-Lite,endpoint_class_disagreement,196,0.25510204081632654,0.6678491611367479,0.346679827259813,3.2724262563471536,0.9961807262873387,0.3038635752978666,0.3038635752978666,0.19483279230603304
