seed,unseen_fault,safe_threshold,pdrf_macro_auroc,full_macro_auroc,safe_macro_auroc,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy
101,gain_loss,0.8,0.8560302722809249,0.8500952110586403,0.8566951254060947,1436,23,0,0.0,21,1,0.047619047619047616,0.9523809523809523,0.19220055710306408,0.5278551532033426
101,clipping,0.8,0.8551813990786697,0.8533374129732868,0.8558294009838961,1436,23,0,0.0,50,0,0.0,1.0,0.21727019498607242,0.5466573816155988
101,correlated_dual,0.8,0.747782979396841,0.7555194467536342,0.7531133776736167,1436,50,11,0.22,43,12,0.27906976744186046,0.7209302325581395,0.5055710306406686,0.41643454038997213
102,gain_loss,0.9,0.8470752907057727,0.8506820297834902,0.8470665302106871,1436,22,0,0.0,17,0,0.0,1.0,0.3711699164345404,0.5306406685236769
102,clipping,0.9,0.8347203668803772,0.839548244995444,0.8320861399225551,1436,20,0,0.0,8,0,0.0,1.0,0.40807799442896936,0.5250696378830083
102,correlated_dual,0.9,0.749045442489666,0.7632217270119791,0.7559087531358638,1436,53,11,0.20754716981132076,26,3,0.11538461538461539,0.8846153846153846,0.6392757660167131,0.43036211699164345
103,gain_loss,0.825,0.8466474167088155,0.845116698496266,0.8456121984867416,1436,43,1,0.023255813953488372,27,1,0.037037037037037035,0.962962962962963,0.6204735376044568,0.5522284122562674
103,clipping,0.825,0.8268706373077742,0.8289902199194561,0.8248672341762457,1436,19,0,0.0,9,1,0.1111111111111111,0.8888888888888888,0.6740947075208914,0.4923398328690808
103,correlated_dual,0.825,0.7264804555320038,0.744260749793379,0.7381089469334515,1436,39,12,0.3076923076923077,19,5,0.2631578947368421,0.736842105263158,0.8210306406685237,0.4129526462395543
104,gain_loss,0.875,0.8440116233367384,0.843731788531465,0.8444906505355835,1436,23,0,0.0,17,0,0.0,1.0,0.5271587743732591,0.5515320334261838
104,clipping,0.875,0.840965435773842,0.8438157226020091,0.8400921299481086,1436,40,0,0.0,17,0,0.0,1.0,0.5389972144846796,0.5501392757660167
104,correlated_dual,0.875,0.7262437159267261,0.7391172813230215,0.7360571292910064,1436,52,16,0.3076923076923077,24,10,0.4166666666666667,0.5833333333333333,0.8182451253481894,0.40668523676880225
105,gain_loss,0.8,0.8523697399032625,0.8485395949476974,0.8513567332017898,1436,74,2,0.02702702702702703,56,2,0.03571428571428571,0.9642857142857143,0.4268802228412256,0.5473537604456824
105,clipping,0.8,0.8359432842001971,0.8437812674309062,0.8388382171017974,1436,110,11,0.1,45,2,0.044444444444444446,0.9555555555555556,0.4233983286908078,0.5083565459610028
105,correlated_dual,0.8,0.7399199923787904,0.7467429122033562,0.745117058261812,1436,103,23,0.22330097087378642,94,30,0.3191489361702128,0.6808510638297872,0.5292479108635098,0.39902506963788303
106,gain_loss,0.875,0.8515102097742391,0.8500216909460523,0.8515912884791964,1436,11,0,0.0,16,0,0.0,1.0,0.009052924791086351,0.5682451253481894
106,clipping,0.875,0.8367356166303597,0.8423563586487258,0.8380339105597286,1436,50,0,0.0,18,0,0.0,1.0,0.03899721448467967,0.5090529247910863
106,correlated_dual,0.875,0.7536259369030892,0.7652801353721929,0.756059432737151,1436,31,8,0.25806451612903225,13,2,0.15384615384615385,0.8461538461538461,0.08844011142061281,0.43175487465181056
107,gain_loss,0.9,0.8523312939681795,0.8566122690745387,0.852217360049588,1436,93,2,0.021505376344086023,42,0,0.0,1.0,0.18593314763231197,0.5612813370473537
107,clipping,0.9,0.8325273345137756,0.8528260163326982,0.8323405593678457,1436,140,6,0.04285714285714286,29,0,0.0,1.0,0.22075208913649025,0.5125348189415042
107,correlated_dual,0.9,0.738446903628708,0.7563964533402113,0.744679568728834,1436,85,10,0.11764705882352941,67,12,0.1791044776119403,0.8208955223880597,0.41991643454038996,0.4115598885793872
108,gain_loss,0.9,0.8438277793064745,0.8502539557681285,0.84692937721121,1436,35,0,0.0,12,1,0.08333333333333333,0.9166666666666666,0.520891364902507,0.5466573816155988
108,clipping,0.9,0.8461054670536697,0.850380270000946,0.8472679641854436,1436,34,0,0.0,26,3,0.11538461538461539,0.8846153846153846,0.5118384401114207,0.5724233983286908
108,correlated_dual,0.9,0.7450955018302597,0.7594333725238859,0.7533768247804961,1436,54,6,0.1111111111111111,27,4,0.14814814814814814,0.8518518518518519,0.6371866295264624,0.43454038997214484
109,gain_loss,0.725,0.856440927569256,0.8584476778893407,0.8564797537033789,1436,29,0,0.0,20,2,0.1,0.9,0.00766016713091922,0.5689415041782729
109,clipping,0.725,0.8502834420578965,0.8531297024218656,0.8502163718868757,1436,36,4,0.1111111111111111,18,7,0.3888888888888889,0.6111111111111112,0.04526462395543175,0.5647632311977716
109,correlated_dual,0.725,0.7456235746583252,0.7610873417493119,0.7472128831404564,1436,58,16,0.27586206896551724,18,3,0.16666666666666666,0.8333333333333334,0.055710306406685235,0.4296657381615599
110,gain_loss,0.55,0.8348210882925539,0.834537887543575,0.8333680666856053,1436,26,5,0.19230769230769232,15,1,0.06666666666666667,0.9333333333333333,0.46935933147632314,0.5515320334261838
110,clipping,0.55,0.8394048107683867,0.8403632374164657,0.8367382430192896,1436,43,10,0.23255813953488372,16,6,0.375,0.625,0.4832869080779944,0.5682451253481894
110,correlated_dual,0.55,0.7166645784355191,0.7328325672134482,0.719417736052946,1436,67,45,0.6716417910447762,31,16,0.5161290322580645,0.4838709677419355,0.5285515320334262,0.4025069637883008
