seed,fault_type,prevalence,stream,variant,n,recovery_opportunities,recovery_retained,recovery_retention,negative_transfer_opportunities,negative_transfer_remaining,negative_transfer_rate,negative_transfer_prevention,full_selection_rate,selected_accuracy,no_fault_recovery_selection_rate,harmful_switch_rate
105,none,0.0,clean_no_imposed_fault,Safe-CF,4364,259,6,0.023166023166023165,185,10,0.05405405405405406,0.9459459459459459,0.35884509624197986,0.5756186984417965,0.35884509624197986,0.00229147571035747
106,gaussian,0.1,full_mixed_stream,Balanced-CF,4364,35,9,0.2571428571428571,42,13,0.30952380952380953,0.6904761904761905,0.6862969752520623,0.5765352887259395,,
106,gaussian,0.1,full_mixed_stream,Safe-CF,4364,35,4,0.11428571428571428,42,5,0.11904761904761904,0.8809523809523809,0.026810265811182402,0.5772227314390468,,
106,offset,0.1,full_mixed_stream,Balanced-CF,4364,27,4,0.14814814814814814,42,10,0.23809523809523808,0.7619047619047619,0.6805682859761687,0.5790559120073328,,
106,offset,0.1,full_mixed_stream,Safe-CF,4364,27,1,0.037037037037037035,42,2,0.047619047619047616,0.9523809523809523,0.02474793767186068,0.5802016498625114,,
106,drift,0.1,full_mixed_stream,Balanced-CF,4364,30,5,0.16666666666666666,39,9,0.23076923076923078,0.7692307692307692,0.6805682859761687,0.5802016498625114,,
106,drift,0.1,full_mixed_stream,Safe-CF,4364,30,2,0.06666666666666667,39,2,0.05128205128205128,0.9487179487179487,0.02451879010082493,0.5811182401466545,,
106,stuck_at,0.1,full_mixed_stream,Balanced-CF,4364,28,4,0.14285714285714285,39,11,0.28205128205128205,0.717948717948718,0.6732355637030247,0.5792850595783685,,
106,stuck_at,0.1,full_mixed_stream,Safe-CF,4364,28,1,0.03571428571428571,39,3,0.07692307692307693,0.9230769230769231,0.025206232813932174,0.5804307974335472,,
106,gaussian,0.4,full_mixed_stream,Balanced-CF,4364,53,19,0.3584905660377358,44,12,0.2727272727272727,0.7272727272727273,0.7231897341888176,0.5520164986251146,,
106,gaussian,0.4,full_mixed_stream,Safe-CF,4364,53,9,0.16981132075471697,44,3,0.06818181818181818,0.9318181818181819,0.04560036663611366,0.5517873510540788,,
106,offset,0.4,full_mixed_stream,Balanced-CF,4364,38,9,0.23684210526315788,43,11,0.2558139534883721,0.7441860465116279,0.6968377635197067,0.5634738771769019,,
106,offset,0.4,full_mixed_stream,Safe-CF,4364,38,3,0.07894736842105263,43,5,0.11627906976744186,0.8837209302325582,0.03024747937671861,0.5634738771769019,,
106,drift,0.4,full_mixed_stream,Balanced-CF,4364,35,7,0.2,42,10,0.23809523809523808,0.7619047619047619,0.6975252062328139,0.5682859761686526,,
106,drift,0.4,full_mixed_stream,Safe-CF,4364,35,2,0.05714285714285714,42,5,0.11904761904761904,0.8809523809523809,0.029560036663611365,0.5682859761686526,,
106,stuck_at,0.4,full_mixed_stream,Balanced-CF,4364,40,11,0.275,46,10,0.21739130434782608,0.782608695652174,0.6707149404216315,0.5632447296058661,,
106,stuck_at,0.4,full_mixed_stream,Safe-CF,4364,40,2,0.05,46,3,0.06521739130434782,0.9347826086956522,0.02910174152153987,0.5627864344637947,,
106,gaussian,0.7,full_mixed_stream,Balanced-CF,4364,86,51,0.5930232558139535,49,16,0.32653061224489793,0.6734693877551021,0.7589367552703942,0.5268102658111824,,
106,gaussian,0.7,full_mixed_stream,Safe-CF,4364,86,30,0.3488372093023256,49,6,0.12244897959183673,0.8775510204081632,0.0653070577451879,0.5242896425297892,,
106,offset,0.7,full_mixed_stream,Balanced-CF,4364,43,12,0.27906976744186046,46,13,0.2826086956521739,0.7173913043478262,0.7060036663611365,0.5460586617781852,,
106,offset,0.7,full_mixed_stream,Safe-CF,4364,43,3,0.06976744186046512,46,4,0.08695652173913043,0.9130434782608696,0.03322639780018332,0.5460586617781852,,
106,drift,0.7,full_mixed_stream,Balanced-CF,4364,40,10,0.25,43,10,0.23255813953488372,0.7674418604651163,0.7112740604949588,0.5559120073327223,,
106,drift,0.7,full_mixed_stream,Safe-CF,4364,40,3,0.075,43,6,0.13953488372093023,0.8604651162790697,0.03276810265811182,0.555224564619615,,
106,stuck_at,0.7,full_mixed_stream,Balanced-CF,4364,44,13,0.29545454545454547,44,8,0.18181818181818182,0.8181818181818181,0.6604032997250229,0.5437671860678277,,
106,stuck_at,0.7,full_mixed_stream,Safe-CF,4364,44,2,0.045454545454545456,44,2,0.045454545454545456,0.9545454545454546,0.03253895508707608,0.5426214482126489,,
106,none,0.0,clean_no_imposed_fault,Balanced-CF,4364,25,4,0.16,38,9,0.23684210526315788,0.7631578947368421,0.6769019248395967,0.5840971585701191,0.6769019248395967,0.002062328139321723
106,none,0.0,clean_no_imposed_fault,Safe-CF,4364,25,1,0.04,38,2,0.05263157894736842,0.9473684210526316,0.023373052245646196,0.5850137488542622,0.023373052245646196,0.00045829514207149406
107,gaussian,0.1,full_mixed_stream,Balanced-CF,4364,264,81,0.3068181818181818,156,37,0.23717948717948717,0.7628205128205128,0.7316681943171403,0.5861594867094408,,
107,gaussian,0.1,full_mixed_stream,Safe-CF,4364,264,14,0.05303030303030303,156,5,0.03205128205128205,0.967948717948718,0.229147571035747,0.5781393217231897,,
