calibration_regime,method,heldout_or_test_mechanism,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
gaussian_only,All-row multinomial,drift,negative_transfer_prevention,10,0.9229885057471264,0.7889795238622171,1.0569974876320358,1.0,0.95,1.0,0.4,1.0
gaussian_only,All-row multinomial,drift,recovery_retention,10,0.11635854341736696,0.007273390304149585,0.22544369653058433,0.054411764705882354,0.0,0.20535714285714285,0.0,0.4
gaussian_only,All-row multinomial,drift,utility_per_10000,10,8.356545961002785,-1.5511364865887973,18.26422840859437,3.481894150417827,0.0,13.927576601671309,-6.963788300835654,41.78272980501393
gaussian_only,All-row multinomial,drift,macro_auroc,10,0.8292378048831305,0.8194258190955548,0.8390497906707062,0.8352181617039767,0.8178688618653234,0.8390051670561189,0.806639081843934,0.844235517555616
gaussian_only,All-row multinomial,gaussian,negative_transfer_prevention,10,0.8680727483301013,0.7171873401092647,1.018958156550938,0.9146634615384616,0.8768382352941176,0.9833333333333334,0.2857142857142857,1.0
gaussian_only,All-row multinomial,gaussian,recovery_retention,10,0.13699075242308326,0.030320805991328248,0.24366069885483826,0.09487038058466629,0.01282051282051282,0.19166666666666668,0.0,0.44642857142857145
gaussian_only,All-row multinomial,gaussian,utility_per_10000,10,32.03342618384401,3.5418823543789273,60.52497001330909,17.409470752089135,0.0,66.15598885793872,-6.963788300835654,104.45682451253482
gaussian_only,All-row multinomial,gaussian,macro_auroc,10,0.7854750303618638,0.7773435092185723,0.7936065515051554,0.7900038369837434,0.7744221698697149,0.7934661678080301,0.7700024960528652,0.8011673711666759
gaussian_only,All-row multinomial,offset,negative_transfer_prevention,10,0.9091934791934791,0.7834995017587043,1.034887456628254,1.0,0.9213320463320462,1.0,0.4444444444444444,1.0
gaussian_only,All-row multinomial,offset,recovery_retention,10,0.09176696274050697,-0.005492610623369754,0.1890265361043837,0.015625,0.0,0.12727272727272726,0.0,0.39473684210526316
gaussian_only,All-row multinomial,offset,utility_per_10000,10,11.142061281337048,-4.113152667191319,26.397275229865414,3.481894150417827,0.0,6.963788300835654,-6.963788300835654,62.674094707520894
gaussian_only,All-row multinomial,offset,macro_auroc,10,0.8208654349106894,0.8106263586024497,0.8311045112189291,0.8252324355384425,0.8112349566429553,0.8326389089550161,0.7933134643535174,0.8356751300648261
gaussian_only,All-row multinomial,stuck_at,negative_transfer_prevention,10,0.9151209677419356,0.759371941387473,1.0708699940963982,1.0,1.0,1.0,0.3125,1.0
gaussian_only,All-row multinomial,stuck_at,recovery_retention,10,0.10340240863787376,-0.0038498237711898503,0.21065464104693737,0.03,0.0,0.14575892857142858,0.0,0.45348837209302323
gaussian_only,All-row multinomial,stuck_at,utility_per_10000,10,27.158774373259053,-16.551382000602214,70.86893074712032,0.0,0.0,27.855153203342617,-13.927576601671309,194.98607242339833
gaussian_only,All-row multinomial,stuck_at,macro_auroc,10,0.8126985952574157,0.804583263708449,0.8208139268063824,0.8111561076059219,0.802140146813955,0.8231733867443793,0.7998181905989828,0.8282826395437413
gaussian_only,Conditional Lite-CF,drift,negative_transfer_prevention,10,0.9334783176593522,0.8488169122309853,1.018139723087719,1.0,0.934375,1.0,0.6363636363636364,1.0
gaussian_only,Conditional Lite-CF,drift,recovery_retention,10,0.14015406162464988,0.02361937808728734,0.25668874516201245,0.07500000000000001,0.0,0.2647058823529412,0.0,0.4
gaussian_only,Conditional Lite-CF,drift,utility_per_10000,10,7.66016713091922,-6.90147150830229,22.22180577014073,0.0,0.0,12.186629526462395,-20.891364902506965,48.74651810584958
