seed,fold,feature_set,n_features,fit_rows,fit_recovery_positive,fit_negative_transfer,validation_rows,validation_groups,validation_informative,validation_recovery_positive,validation_negative_transfer,one_class_fit,n_iter,convergence_warning,converged
105,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,154,94,60,363,136,40,28,12,False,15,False,True
106,1,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,66,45,21,377,139,26,17,9,False,12,False,True
106,2,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,76,52,24,388,139,16,10,6,False,10,False,True
106,3,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,73,48,25,371,139,19,14,5,False,10,False,True
106,4,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,78,53,25,355,137,14,9,5,False,12,False,True
106,5,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,75,50,25,378,139,17,12,5,False,13,False,True
107,1,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,192,85,107,361,135,32,14,18,False,17,False,True
107,2,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,173,74,99,367,139,51,25,26,False,15,False,True
107,3,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,176,72,104,374,140,48,27,21,False,13,False,True
107,4,base_confidence+recovery_confidence+confidence_delta+base_entropy+recovery_entropy+entropy_delta+base_recovery_js+base_consensus_js+recovery_consensus_js+base_consensus_agreement+recovery_consensus_agreement+removal_fraction,12,174,84,90,365,138,50,15,35,False,15,False,True
