seed,threads,batch_size,base_ms,recovery_ms,routed_ms,incremental_vs_base_ms,router_orchestration_residual_ms
101,1,1,0.4179999814368784,0.2292999997735023,1.2656999751925468,0.8476999937556684,0.618399993982166
101,1,4364,10.416699980851265,4.548199998680502,11.07800001045689,0.6613000296056253,-3.886899969074877
101,12,1,0.3034000401385128,0.299600011203438,2.5825999910011888,2.279199950862676,1.9795999396592379
101,12,4364,3.6637000157497823,3.245699976105243,10.4867999907583,6.8230999750085175,3.5773999989032745
102,1,1,0.2509000478312373,0.2418999793007969,1.1984000448137522,0.9474999969825149,0.705600017681718
102,1,4364,10.10030001634732,4.9307000008411705,10.667199967429042,0.5668999510817212,-4.363800049759449
102,12,1,0.292200013063848,0.2882999833673239,1.3817999861203134,1.0895999730564654,0.8012999896891415
102,12,4364,3.815599950030446,3.8155000074766576,7.685999968089163,3.8704000180587173,0.05490001058205962
103,1,1,0.2252000267617404,0.2325000241398811,1.3776000123471022,1.1523999855853617,0.9198999614454806
103,1,4364,10.0897999946028,4.695400013588369,11.917800002265722,1.8280000076629221,-2.8674000059254467
103,12,1,0.291300006210804,0.2805999829433858,1.519799989182502,1.228499982971698,0.9479000000283122
103,12,4364,4.286799987312406,3.408399992622435,9.24240000313148,4.9556000158190745,1.5472000231966394
104,1,1,0.2262999769300222,0.2290999982506036,1.495499978773296,1.2692000018432739,1.0401000035926702
104,1,4364,9.923200006596744,6.21979997958988,11.381999996956438,1.4587999903596938,-4.760999989230187
104,12,1,0.7789999945089221,0.7928999839350581,1.740099978633225,0.9610999841243029,0.16820000018924475
104,12,4364,3.81799996830523,4.433899943251163,10.564399999566376,6.746400031261146,2.3125000880099833
105,1,1,0.2235000138171017,0.2317999606020748,1.1778000043705106,0.9542999905534089,0.722500029951334
105,1,4364,6.798500020522624,5.9204999706707895,12.98329996643588,6.184799945913255,0.26429997524246573
105,12,1,0.3044999903067946,0.2922999556176364,1.4480000245384872,1.1435000342316926,0.8512000786140561
105,12,4364,3.292199980933219,2.7471999637782574,10.209199972450731,6.916999991517512,4.169800027739255
106,1,1,0.2284999936819076,0.223300012294203,1.951000012923032,1.7225000192411244,1.4992000069469213
106,1,4364,10.344999958761036,5.37079997593537,12.317400018218905,1.9724000594578683,-3.3983999164775014
106,12,1,0.8210000232793391,0.812400016002357,3.485299996100366,2.664299972821027,1.85189995681867
106,12,4364,4.725200007669628,3.977399959694594,15.438699978403749,10.713499970734121,6.736100011039527
107,1,1,0.2263999776914715,0.2240000176243484,1.4913000050000846,1.264900027308613,1.0409000096842647
107,1,4364,9.757500025443733,4.384799976833165,12.012000021059066,2.2544999956153333,-2.1302999812178314
107,12,1,0.845799979288131,0.7690000347793102,3.321099968161434,2.475299988873303,1.7062999540939927
107,12,4364,4.341299994848669,4.048999981023371,10.124200023710728,5.782900028862059,1.733900047838688
108,1,1,0.2287999959662556,0.2395000192336738,2.5780999567359686,2.349299960769713,2.109799941536039
108,1,4364,5.367400008253753,5.197899998165667,12.21889996668324,6.851499958429487,1.6535999602638203
108,12,1,0.8007999858818948,0.793500046711415,3.033099987078458,2.2323000011965632,1.4387999544851482
108,12,4364,4.0766000165604055,4.196199995931238,10.409600043203682,6.333000026643276,2.1368000307120383
109,1,1,0.2363999956287443,0.2255999715998768,1.183600048534572,0.9472000529058275,0.7216000813059508
109,1,4364,10.241300042252988,5.368899961467832,10.8155999914743,0.574299949221313,-4.794600012246519
109,12,1,0.8013999904505908,0.7667999598197639,2.785600023344159,1.9842000328935683,1.2174000730738044
109,12,4364,5.755099991802126,4.17069997638464,9.816300007514656,4.061200015712529,-0.10949996067211032
110,1,1,0.4644999862648546,0.4463999648578465,1.8074999679811297,1.342999981716275,0.8966000168584285
110,1,4364,10.49000001512468,5.067699996288866,10.558699956163764,0.06869994103908361,-4.999000055249782
110,12,1,0.784900039434433,0.7981000235304236,3.4079999895766377,2.6230999501422048,1.8249999266117811
110,12,4364,3.3785999985411763,2.486299956217408,8.171299996320158,4.792699997778982,2.3064000415615737
