analysis_set,seed,fault_type,method,threshold_strategy,harm_to_correction_ratio,threshold,n,correction_opportunities,corrections_retained,recovery_retention,harm_opportunities,harms_realized,negative_transfer_prevention,recovery_selection_rate,selected_accuracy,net_correct_change_per_10000,utility_events,mean_forward_passes,utility_ratio,utility_per_10000,accuracy,macro_auroc,macro_auprc,nll,brier,ece15_equal_width,ece15_equal_mass,classwise_ece15
calibration_oof,102,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,10.0,0.7717968065803451,1840,26,10,0.38461538461538464,48,0,1.0,0.7097826086956521,0.7244565217391304,54.34782608695652,10.0,,,,,,,,,,,
calibration_oof,102,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,10.0,0.5114720837637458,1840,26,17,0.6538461538461539,48,0,1.0,0.04021739130434782,0.7282608695652174,92.3913043478261,17.0,,,,,,,,,,,
calibration_oof,102,all_calibration_families,Two-stage,utility_optimized_on_calibration,10.0,0.29170468410478767,1840,26,13,0.5,48,0,1.0,0.04021739130434782,0.7260869565217392,70.65217391304348,13.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,1.0,0.44916090608338644,1860,50,42,0.84,21,7,0.6666666666666667,0.9295698924731183,0.6424731182795699,188.1720430107527,35.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,1.0,-0.2969448893614854,1860,50,45,0.9,21,11,0.47619047619047616,0.9596774193548387,0.6419354838709678,182.79569892473117,34.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Two-stage,utility_optimized_on_calibration,1.0,-0.1261299414474424,1860,50,44,0.88,21,8,0.6190476190476191,0.9397849462365592,0.6430107526881721,193.5483870967742,36.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,2.0,0.44916090608338644,1860,50,42,0.84,21,7,0.6666666666666667,0.9295698924731183,0.6424731182795699,188.1720430107527,28.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,2.0,-0.16678444227856995,1860,50,39,0.78,21,7,0.6666666666666667,0.9397849462365592,0.6408602150537634,172.04301075268816,25.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Two-stage,utility_optimized_on_calibration,2.0,-0.1261299414474424,1860,50,44,0.88,21,8,0.6190476190476191,0.9397849462365592,0.6430107526881721,193.5483870967742,28.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,5.0,0.44916090608338644,1860,50,42,0.84,21,7,0.6666666666666667,0.9295698924731183,0.6424731182795699,188.1720430107527,7.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,5.0,0.009314226513742923,1860,50,36,0.72,21,6,0.7142857142857143,0.9096774193548387,0.6397849462365591,161.29032258064515,6.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Two-stage,utility_optimized_on_calibration,5.0,0.04235772695247296,1860,50,33,0.66,21,5,0.7619047619047619,0.3903225806451613,0.6387096774193548,150.53763440860214,8.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,10.0,0.9783663245865922,1860,50,0,0.0,21,0,1.0,0.0,0.6236559139784946,0.0,0.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,10.0,0.5265225002206645,1860,50,2,0.04,21,0,1.0,0.01021505376344086,0.624731182795699,10.75268817204301,2.0,,,,,,,,,,,
calibration_oof,103,all_calibration_families,Two-stage,utility_optimized_on_calibration,10.0,0.26086483962401724,1860,50,7,0.14,21,0,1.0,0.02043010752688172,0.6274193548387097,37.634408602150536,7.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,1.0,0.557913110469433,1868,34,21,0.6176470588235294,36,6,0.8333333333333334,0.8998929336188437,0.7826552462526767,80.29978586723769,15.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,1.0,0.0965443150676212,1868,34,25,0.7352941176470589,36,7,0.8055555555555556,0.21038543897216275,0.7842612419700214,96.35974304068523,18.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Two-stage,utility_optimized_on_calibration,1.0,0.020445701644647946,1868,34,25,0.7352941176470589,36,9,0.75,0.9197002141327623,0.7831905781584583,85.65310492505353,16.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,2.0,0.557913110469433,1868,34,21,0.6176470588235294,36,6,0.8333333333333334,0.8998929336188437,0.7826552462526767,80.29978586723769,9.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,2.0,0.0965443150676212,1868,34,25,0.7352941176470589,36,7,0.8055555555555556,0.21038543897216275,0.7842612419700214,96.35974304068523,11.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Two-stage,utility_optimized_on_calibration,2.0,0.17984540523323936,1868,34,12,0.35294117647058826,36,2,0.9444444444444444,0.020342612419700215,0.7799785867237687,53.53319057815846,8.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,5.0,0.8325779072154111,1868,34,1,0.029411764705882353,36,0,1.0,0.5497858672376874,0.7751605995717344,5.353319057815845,1.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,5.0,0.9082755311646341,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Two-stage,utility_optimized_on_calibration,5.0,0.17984540523323936,1868,34,12,0.35294117647058826,36,2,0.9444444444444444,0.020342612419700215,0.7799785867237687,53.53319057815846,2.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,10.0,0.8325779072154111,1868,34,1,0.029411764705882353,36,0,1.0,0.5497858672376874,0.7751605995717344,5.353319057815845,1.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,10.0,0.9082755311646341,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,0.0,,,,,,,,,,,
calibration_oof,104,all_calibration_families,Two-stage,utility_optimized_on_calibration,10.0,0.3674307145349666,1868,34,0,0.0,36,0,1.0,0.0,0.7746252676659529,0.0,0.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,1.0,0.38963569565852413,1866,26,26,1.0,10,10,0.0,0.9898177920685959,0.5868167202572347,85.7449088960343,16.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,1.0,-0.3429224402337115,1866,26,25,0.9615384615384616,10,9,0.09999999999999998,0.9898177920685959,0.5868167202572347,85.7449088960343,16.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Two-stage,utility_optimized_on_calibration,1.0,-0.2664381879813749,1866,26,26,1.0,10,10,0.0,1.0,0.5868167202572347,85.7449088960343,16.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,2.0,0.5014180292803048,1866,26,13,0.5,10,1,0.9,0.7797427652733119,0.5846730975348339,64.30868167202573,11.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,2.0,-0.2859147987875165,1866,26,23,0.8846153846153846,10,8,0.19999999999999996,0.9796355841371919,0.5862808145766345,80.38585209003216,7.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Two-stage,utility_optimized_on_calibration,2.0,0.01851700382809518,1866,26,10,0.38461538461538464,10,1,0.9,0.27009646302250806,0.5830653804930332,48.231511254019296,8.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,5.0,0.5431759884028092,1866,26,9,0.34615384615384615,10,0,1.0,0.6596998928188639,0.5830653804930332,48.231511254019296,9.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,5.0,0.6776540695654247,1866,26,1,0.038461538461538464,10,0,1.0,0.0005359056806002144,0.5787781350482315,5.359056806002144,1.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Two-stage,utility_optimized_on_calibration,5.0,0.05935051938776109,1866,26,7,0.2692307692307692,10,0,1.0,0.09003215434083602,0.5819935691318328,37.51339764201501,7.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,10.0,0.5431759884028092,1866,26,9,0.34615384615384615,10,0,1.0,0.6596998928188639,0.5830653804930332,48.231511254019296,9.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,10.0,0.6776540695654247,1866,26,1,0.038461538461538464,10,0,1.0,0.0005359056806002144,0.5787781350482315,5.359056806002144,1.0,,,,,,,,,,,
calibration_oof,105,all_calibration_families,Two-stage,utility_optimized_on_calibration,10.0,0.05935051938776109,1866,26,7,0.2692307692307692,10,0,1.0,0.09003215434083602,0.5819935691318328,37.51339764201501,7.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,1.0,0.48660027375994086,1869,48,37,0.7708333333333334,34,9,0.7352941176470589,0.9299090422685928,0.6966292134831461,149.81273408239701,28.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,1.0,0.12409868155723416,1869,48,35,0.7291666666666666,34,4,0.8823529411764706,0.34991974317817015,0.6982343499197432,165.8640984483681,31.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Two-stage,utility_optimized_on_calibration,1.0,-0.06059210572478383,1869,48,38,0.7916666666666666,34,10,0.7058823529411764,0.9395398608881755,0.6966292134831461,149.81273408239701,28.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,2.0,0.6173276208770716,1869,48,27,0.5625,34,1,0.9705882352941176,0.8496522204387373,0.6955591225254146,139.11182450508292,25.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,2.0,0.12409868155723416,1869,48,35,0.7291666666666666,34,4,0.8823529411764706,0.34991974317817015,0.6982343499197432,165.8640984483681,27.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Two-stage,utility_optimized_on_calibration,2.0,0.14191302806230957,1869,48,27,0.5625,34,2,0.9411764705882353,0.1803103263777421,0.695024077046549,133.7613697164259,23.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,5.0,0.6447096323938809,1869,48,24,0.5,34,0,1.0,0.8298555377207063,0.6944890315676833,128.41091492776886,24.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,5.0,0.2783118012319641,1869,48,28,0.5833333333333334,34,1,0.9705882352941176,0.1803103263777421,0.6960941680042804,144.46227929373995,23.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Two-stage,utility_optimized_on_calibration,5.0,0.17240042014942794,1869,48,24,0.5,34,1,0.9705882352941176,0.12038523274478331,0.6939539860888175,123.06046013911183,19.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,10.0,0.6447096323938809,1869,48,24,0.5,34,0,1.0,0.8298555377207063,0.6944890315676833,128.41091492776886,24.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,10.0,0.2783118012319641,1869,48,28,0.5833333333333334,34,1,0.9705882352941176,0.1803103263777421,0.6960941680042804,144.46227929373995,18.0,,,,,,,,,,,
calibration_oof,106,all_calibration_families,Two-stage,utility_optimized_on_calibration,10.0,0.23797075383884034,1869,48,17,0.3541666666666667,34,0,1.0,0.04012841091492777,0.6907437132156233,90.9577314071696,17.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,1.0,0.11677968259155033,1829,66,66,1.0,18,18,0.0,1.0,0.6582832148715145,262.4384909786769,48.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,1.0,-0.8072623216005066,1829,66,66,1.0,18,18,0.0,1.0,0.6582832148715145,262.4384909786769,48.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Two-stage,utility_optimized_on_calibration,1.0,-0.7041791781085117,1829,66,66,1.0,18,18,0.0,1.0,0.6582832148715145,262.4384909786769,48.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,2.0,0.5108689346035696,1829,66,45,0.6818181818181818,18,2,0.8888888888888888,0.9300164024056862,0.6555494805904866,235.10114816839803,41.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,2.0,-0.016129055801706607,1829,66,47,0.7121212121212122,18,3,0.8333333333333334,0.9398578458173865,0.6560962274466922,240.5686167304538,41.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Two-stage,utility_optimized_on_calibration,2.0,0.006303157904319988,1829,66,47,0.7121212121212122,18,3,0.8333333333333334,0.6899945325314379,0.6560962274466922,240.5686167304538,41.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,5.0,0.5108689346035696,1829,66,45,0.6818181818181818,18,2,0.8888888888888888,0.9300164024056862,0.6555494805904866,235.10114816839803,35.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,5.0,0.10229497453037696,1829,66,38,0.5757575757575758,18,1,0.9444444444444444,0.27009294696555497,0.6522689994532531,202.29633679606343,33.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Two-stage,utility_optimized_on_calibration,5.0,0.05566942700743457,1829,66,33,0.5,18,0,1.0,0.27009294696555497,0.6500820120284309,180.42646254784034,33.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,10.0,0.5218375777688187,1829,66,39,0.5909090909090909,18,1,0.9444444444444444,0.9196282121377802,0.6528157463094587,207.76380535811919,29.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,All-row multinomial,utility_optimized_on_calibration,10.0,0.10229497453037696,1829,66,38,0.5757575757575758,18,1,0.9444444444444444,0.27009294696555497,0.6522689994532531,202.29633679606343,28.0,,,,,,,,,,,
calibration_oof,107,all_calibration_families,Two-stage,utility_optimized_on_calibration,10.0,0.05566942700743457,1829,66,33,0.5,18,0,1.0,0.27009294696555497,0.6500820120284309,180.42646254784034,33.0,,,,,,,,,,,
calibration_oof,108,all_calibration_families,Conditional Lite-CF,utility_optimized_on_calibration,1.0,0.9003286041774836,1853,28,0,0.0,76,0,1.0,0.0,0.6956287101996762,0.0,0.0,,,,,,,,,,,
