seed,fault_type,batch,n,lite_minus_pdrf_auroc,lite_cf_minus_pdrf_auroc,lite_cf_minus_lite_auroc
101,drift,8,91,0.0015290066643940392,0.00496007926980313,0.003431072605409091
101,drift,9,165,0.005813894336102132,0.0015217139595378182,-0.004292180376564314
101,drift,10,1180,-0.004815138549528197,-0.0015302104174175213,0.003284928132110676
101,gaussian,8,91,0.021421492415093057,0.009467176320584247,-0.01195431609450881
101,gaussian,9,165,0.021451163566323483,0.011672971083616424,-0.00977819248270706
101,gaussian,10,1180,0.010539305532743293,0.00726566911367954,-0.0032736364190637524
101,offset,8,91,0.019928227824719813,0.023434356907746423,0.00350612908302661
101,offset,9,165,0.011172199331926036,0.02176197331507146,0.010589773983145423
101,offset,10,1180,-0.002476644577134035,0.00035488469829703106,0.002831529275431066
101,stuck_at,8,91,0.009396283766031632,0.012015218144336481,0.002618934378304849
101,stuck_at,9,165,0.016993675321333557,0.028294575068237293,0.011300899746903736
101,stuck_at,10,1180,0.0035075326437864485,0.005704590994293546,0.0021970583505070973
102,drift,8,91,0.0033349655398473566,-0.0004569761205751588,-0.0037919416604225153
102,drift,9,165,-0.003300591577290457,0.003104606217155248,0.006405197794445705
102,drift,10,1180,0.0064958971927084885,0.006376742731088014,-0.00011915446162047427
102,gaussian,8,91,0.019849438306902556,0.003582841881575982,-0.016266596425326574
102,gaussian,9,165,0.016962208596652317,0.005786654613906372,-0.011175553982745945
102,gaussian,10,1180,0.013328836773095598,0.009506153248415417,-0.0038226835246801816
102,offset,8,91,0.009617696685857435,0.005707577242858197,-0.003910119442999238
102,offset,9,165,0.0038940253464674335,0.006391213310043109,0.0024971879635756755
102,offset,10,1180,0.006421633089853107,0.00586359490416799,-0.0005580381856851169
102,stuck_at,8,91,0.012729959708751237,0.006360280203150714,-0.006369679505600523
102,stuck_at,9,165,0.00612988384147406,0.002882198107109435,-0.003247685734364625
102,stuck_at,10,1180,0.007296573542116658,0.004620393443677151,-0.0026761800984395068
103,drift,8,91,0.010282945950546463,0.003566451432264528,-0.006716494518281935
103,drift,9,165,0.015472995533902134,0.013278575281676974,-0.00219442025222516
103,drift,10,1180,0.0031389485907741266,0.004192376378308604,0.0010534277875344777
103,gaussian,8,91,0.01842512741555291,0.003753916619225417,-0.014671210796327494
103,gaussian,9,165,0.01609087297869627,0.006150219037036941,-0.009940653941659328
103,gaussian,10,1180,0.010597287293321322,0.00428170338687861,-0.006315583906442712
103,offset,8,91,0.022074505607918904,0.027466285536180024,0.00539177992826112
103,offset,9,165,0.02270940253763476,0.02097821184898463,-0.0017311906886501305
103,offset,10,1180,0.00695801264159468,0.007576607736254792,0.0006185950946601126
103,stuck_at,8,91,0.023055552187204786,0.003153520507128693,-0.019902031680076093
103,stuck_at,9,165,0.014771188389041123,0.013831205136057179,-0.0009399832529839447
103,stuck_at,10,1180,0.007870923833853904,0.00750713969337069,-0.0003637841404832143
104,drift,8,91,0.0019893767993006684,0.0009478218094998159,-0.0010415549898008525
104,drift,9,165,-0.012448469537502782,-0.0035218757207324813,0.0089265938167703
104,drift,10,1180,-0.0006585648539946254,0.0010974830808991864,0.0017560479348938118
104,gaussian,8,91,0.017859693531913634,0.008007280544913509,-0.009852412987000125
104,gaussian,9,165,0.014544945501131279,0.006395057422046824,-0.008149888079084455
104,gaussian,10,1180,0.014613883138004269,0.009878066137720576,-0.004735817000283693
104,offset,8,91,6.945539158409453e-05,-0.004825845682188357,-0.004895301073772451
104,offset,9,165,-0.01996272359556328,-0.01417464562054005,0.005788077975023231
104,offset,10,1180,0.0007004016513576516,0.0008454149729777427,0.00014501332162009106
104,stuck_at,8,91,0.000492846590960605,-0.0016248258748511324,-0.0021176724658117374
104,stuck_at,9,165,-0.015191598852801413,0.0007370855450709035,0.015928684397872317
104,stuck_at,10,1180,0.004910128502195743,0.002585406124423262,-0.0023247223777724813
105,drift,8,91,-0.003156827906727555,-0.0006747993409326192,0.002482028565794936
105,drift,9,165,-0.0011915100176927984,0.004170465068121354,0.005361975085814152
105,drift,10,1180,0.00010259063878548247,0.0013616248030422495,0.001259034164256767
105,gaussian,8,91,0.019875553157321035,0.0071336341995825725,-0.012741918957738463
105,gaussian,9,165,0.009410029061844405,0.006044290853815193,-0.003365738208029212
105,gaussian,10,1180,0.007928811730883112,0.005206060132368684,-0.002722751598514428
105,offset,8,91,-0.0019692661416017554,0.0009282885833505894,0.002897554724952345
105,offset,9,165,-0.0012072058343535197,0.0007574381219270787,0.0019646439562805984
105,offset,10,1180,0.0005406800949289137,0.0022562065598839,0.0017155264649549862
105,stuck_at,8,91,-0.0004598183669811684,0.0006964369842855644,0.0011562553512667328
105,stuck_at,9,165,-0.00027185368237370167,0.000978232838074855,0.0012500865204485567
105,stuck_at,10,1180,0.004219674449741806,0.0040652782308311375,-0.00015439621891066846
106,drift,8,91,0.0025352870024071272,0.004322668621721593,0.0017873816193144654
106,drift,9,165,0.006655248954241522,0.007756826533033334,0.0011015775787918125
106,drift,10,1180,-0.003025039258874207,-0.0019919978452627163,0.0010330414136114907
106,gaussian,8,91,0.0052298038843875405,0.0028539574692995062,-0.0023758464150880343
106,gaussian,9,165,0.016016686352756104,0.013194124581785704,-0.0028225617709704
