seed,fault_type,method,harm_to_correction_cost_ratio,pass_penalty_equivalent_corrections_per_10000,corrections_per_10000,harms_per_10000,mean_forward_passes,net_utility_per_10000,energy_note
102,offset,Lite-CF,2.0,2.0,6.963788300835654,0.0,2.0,4.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,offset,Lite-CF,5.0,0.0,6.963788300835654,0.0,2.0,6.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,offset,Lite-CF,5.0,0.5,6.963788300835654,0.0,2.0,6.463788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,offset,Lite-CF,5.0,2.0,6.963788300835654,0.0,2.0,4.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,offset,Lite-CF,10.0,0.0,6.963788300835654,0.0,2.0,6.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,offset,Lite-CF,10.0,0.5,6.963788300835654,0.0,2.0,6.463788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,offset,Lite-CF,10.0,2.0,6.963788300835654,0.0,2.0,4.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,1.0,0.0,13.927576601671309,0.0,2.0,13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,1.0,0.5,13.927576601671309,0.0,2.0,13.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,1.0,2.0,13.927576601671309,0.0,2.0,11.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,2.0,0.0,13.927576601671309,0.0,2.0,13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,2.0,0.5,13.927576601671309,0.0,2.0,13.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,2.0,2.0,13.927576601671309,0.0,2.0,11.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,5.0,0.0,13.927576601671309,0.0,2.0,13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,5.0,0.5,13.927576601671309,0.0,2.0,13.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,5.0,2.0,13.927576601671309,0.0,2.0,11.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,10.0,0.0,13.927576601671309,0.0,2.0,13.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,10.0,0.5,13.927576601671309,0.0,2.0,13.427576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,drift,Lite-CF,10.0,2.0,13.927576601671309,0.0,2.0,11.927576601671309,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,1.0,0.0,6.963788300835654,0.0,2.0,6.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,1.0,0.5,6.963788300835654,0.0,2.0,6.463788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,1.0,2.0,6.963788300835654,0.0,2.0,4.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,2.0,0.0,6.963788300835654,0.0,2.0,6.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,2.0,0.5,6.963788300835654,0.0,2.0,6.463788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,2.0,2.0,6.963788300835654,0.0,2.0,4.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,5.0,0.0,6.963788300835654,0.0,2.0,6.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,5.0,0.5,6.963788300835654,0.0,2.0,6.463788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,5.0,2.0,6.963788300835654,0.0,2.0,4.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,10.0,0.0,6.963788300835654,0.0,2.0,6.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,10.0,0.5,6.963788300835654,0.0,2.0,6.463788300835654,forward-pass/FLOP penalty proxy; energy was not measured
102,stuck_at,Lite-CF,10.0,2.0,6.963788300835654,0.0,2.0,4.963788300835654,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,1.0,0.0,0.0,0.0,2.0,0.0,forward-pass/FLOP penalty proxy; energy was not measured
103,gaussian,Lite-CF,1.0,0.5,0.0,0.0,2.0,-0.5,forward-pass/FLOP penalty proxy; energy was not measured
