feature_regime,metric,n_fitted_cells,mean,fitting_ci_low,fitting_ci_high,median,q1,q3,minimum,maximum
temperature_scaled,preference_auroc,40,0.5620885206130275,0.5117165449543969,0.6124604962716581,0.5436153628117915,0.4529454022988506,0.6669968919968919,0.2423529411764706,0.888888888888889
temperature_scaled,negative_transfer_prevention,40,0.9467198197538383,0.9169730083094129,0.9764666311982638,1.0,0.9083806818181818,1.0,0.5945945945945945,1.0
temperature_scaled,recovery_retention,40,0.09674689941050929,0.05982617505437199,0.1336676237666466,0.05202702702702703,0.0,0.16360465116279072,0.0,0.4
temperature_scaled,utility_per_10000,40,15.842618384401112,6.300128354212237,25.385108414589986,6.963788300835654,0.0,34.81894150417827,-41.78272980501393,97.49303621169916
temperature_scaled,macro_auroc,40,0.8150818153332093,0.8088426943476212,0.8213209363187974,0.8135582123181238,0.8000966465294841,0.8336243067253997,0.774255659737897,0.8457712103729124
uncalibrated_endpoints,preference_auroc,40,0.5627267473575698,0.5143354382539994,0.6111180564611401,0.5456951530612244,0.46514008620689656,0.6695229373800803,0.27529411764705886,0.9666666666666667
uncalibrated_endpoints,negative_transfer_prevention,40,0.9569329675129421,0.9287596881347573,0.9851062468911269,1.0,0.9407308377896613,1.0,0.5945945945945945,1.0
uncalibrated_endpoints,recovery_retention,40,0.06638900010032214,0.039951371621880234,0.09282662857876406,0.029138513513513514,0.0,0.12311901504787962,0.0,0.2857142857142857
uncalibrated_endpoints,utility_per_10000,40,10.793871866295264,3.4513627551972323,18.136380977393294,3.481894150417827,0.0,13.927576601671309,-41.78272980501393,69.63788300835654
uncalibrated_endpoints,macro_auroc,40,0.8150487791322728,0.8088068624339035,0.8212906958306421,0.8133268929818978,0.8002586069958955,0.8334499482453468,0.7747474038886416,0.8456793632497196
