fraction,negative_transfer_prevention,negative_transfer_prevention,recovery_retention,recovery_retention,macro_auroc,macro_auroc,nll,nll
,mean,std,mean,std,mean,std,mean,std
0.25,0.8685372000980721,0.19354144886274813,0.15191318805778475,0.21741867479959365,0.8100444395785635,0.009304271591275177,2.631498060359315,0.38956754379836483
0.5,0.9186965523555819,0.11750061739902568,0.10181883596256693,0.14240773660234796,0.8101049771113981,0.00989912674883547,2.640119585344997,0.40874076745455995
0.75,0.9240880530756067,0.10582269102243172,0.09019411168557814,0.1268549074817412,0.8103127847503694,0.009576027840400068,2.63099280983843,0.4002618953719363
1.0,0.9467268508916152,0.08015582069237728,0.06627950715038551,0.09967438042210833,0.8102171673406403,0.00933676059065144,2.6301433592322496,0.39175399927605903
