held_out_building,seed,method,metric,value
auditorium,101,PDRF-NOQ,class_2_auroc,0.9844805895649572
auditorium,101,PDRF-NOQ,class_2_auprc,0.6291666239610764
auditorium,101,PDRF-NOQ,balanced_accuracy,0.9505242604437676
auditorium,101,PDRF-NOQ,native_sensor_fault_recall,0.9443405051449953
auditorium,101,PDRF-NOQ,mean_temperature_group_weight_on_faults,0.4010698199272156
auditorium,101,PDRF-NOQ,train_seconds,39.89906619999965
auditorium,101,PDRF-NOQ,inference_seconds,0.027079200008301996
auditorium,101,RC-PDRF-NOQ,accuracy,0.95910643552448
auditorium,101,RC-PDRF-NOQ,macro_f1,0.7947310232818114
auditorium,101,RC-PDRF-NOQ,macro_auroc,0.9840642634272652
auditorium,101,RC-PDRF-NOQ,macro_auprc,0.808824280767013
auditorium,101,RC-PDRF-NOQ,nll,0.15898047686542913
auditorium,101,RC-PDRF-NOQ,class_1_precision,0.9976699632371977
auditorium,101,RC-PDRF-NOQ,class_1_recall,0.9598963782194988
auditorium,101,RC-PDRF-NOQ,class_1_f1,0.9784187274666125
auditorium,101,RC-PDRF-NOQ,class_1_auroc,0.9840642576019419
auditorium,101,RC-PDRF-NOQ,class_1_auprc,0.9994200556813941
auditorium,101,RC-PDRF-NOQ,class_2_precision,0.45337256677229515
auditorium,101,RC-PDRF-NOQ,class_2_recall,0.9368568755846586
auditorium,101,RC-PDRF-NOQ,class_2_f1,0.6110433190970104
auditorium,101,RC-PDRF-NOQ,class_2_auroc,0.9840642692525883
auditorium,101,RC-PDRF-NOQ,class_2_auprc,0.6182285058526318
auditorium,101,RC-PDRF-NOQ,balanced_accuracy,0.9483766269020787
auditorium,101,RC-PDRF-NOQ,native_sensor_fault_recall,0.9368568755846586
auditorium,101,RC-PDRF-NOQ,mean_temperature_group_weight_on_faults,0.40973156690597534
auditorium,101,RC-PDRF-NOQ,train_seconds,39.43432590000157
auditorium,101,RC-PDRF-NOQ,inference_seconds,0.02990229999704752
auditorium,102,EF-PD,accuracy,0.9962955241592765
auditorium,102,EF-PD,macro_f1,0.9731947531118894
auditorium,102,EF-PD,macro_auroc,0.9998299860016708
auditorium,102,EF-PD,macro_auprc,0.997896999382015
auditorium,102,EF-PD,nll,0.008734347853433525
auditorium,102,EF-PD,class_1_precision,0.9996834704961184
auditorium,102,EF-PD,class_1_recall,0.996479516431691
auditorium,102,EF-PD,class_1_f1,0.9980789222005073
auditorium,102,EF-PD,class_1_auroc,0.9998299860016708
auditorium,102,EF-PD,class_1_auprc,0.9999939385450924
auditorium,102,EF-PD,class_2_precision,0.909051909051909
auditorium,102,EF-PD,class_2_recall,0.9911131898971001
auditorium,102,EF-PD,class_2_f1,0.9483105840232714
auditorium,102,EF-PD,class_2_auroc,0.9998299860016707
auditorium,102,EF-PD,class_2_auprc,0.9958000602189376
auditorium,102,EF-PD,balanced_accuracy,0.9937963531643955
auditorium,102,EF-PD,native_sensor_fault_recall,0.9911131898971001
auditorium,102,EF-PD,mean_temperature_group_weight_on_faults,0.0
auditorium,102,EF-PD,train_seconds,12.632093899999745
auditorium,102,EF-PD,inference_seconds,0.012518599993200041
auditorium,102,UF-PD,accuracy,0.966066359831294
auditorium,102,UF-PD,macro_f1,0.8190998058682799
auditorium,102,UF-PD,macro_auroc,0.9895547877934967
auditorium,102,UF-PD,macro_auprc,0.9116871491363636
auditorium,102,UF-PD,nll,0.10616835104002095
auditorium,102,UF-PD,class_1_precision,0.9979431979843341
auditorium,102,UF-PD,class_1_recall,0.9668543150832793
auditorium,102,UF-PD,class_1_f1,0.9821527976923466
auditorium,102,UF-PD,class_1_auroc,0.9895547800263992
auditorium,102,UF-PD,class_1_auprc,0.9996166583297592
auditorium,102,UF-PD,class_2_precision,0.502740408570005
auditorium,102,UF-PD,class_2_recall,0.9438727782974743
auditorium,102,UF-PD,class_2_f1,0.6560468140442133
auditorium,102,UF-PD,class_2_auroc,0.9895547955605942
auditorium,102,UF-PD,class_2_auprc,0.8237576399429679
auditorium,102,UF-PD,balanced_accuracy,0.9553635466903768
auditorium,102,UF-PD,native_sensor_fault_recall,0.9438727782974743
auditorium,102,UF-PD,mean_temperature_group_weight_on_faults,0.40000003576278687
auditorium,102,UF-PD,train_seconds,20.50565330000245
auditorium,102,UF-PD,inference_seconds,0.023940900005982257
auditorium,102,CAGF,accuracy,0.9909071956636785
auditorium,102,CAGF,macro_f1,0.9385855880693674
auditorium,102,CAGF,macro_auroc,0.9993725272571143
auditorium,102,CAGF,macro_auprc,0.9934405243730433
auditorium,102,CAGF,nll,0.023085109207658466
auditorium,102,CAGF,class_1_precision,0.9996482058498342
auditorium,102,CAGF,class_1_recall,0.9909330942061476
auditorium,102,CAGF,class_1_f1,0.99527157188962
auditorium,102,CAGF,class_1_auroc,0.9993725272571143
auditorium,102,CAGF,class_1_auprc,0.9999775424533315
auditorium,102,CAGF,class_2_precision,0.7949680811115284
auditorium,102,CAGF,class_2_recall,0.990177736202058
auditorium,102,CAGF,class_2_f1,0.8818996042491147
auditorium,102,CAGF,class_2_auroc,0.9993725272571143
auditorium,102,CAGF,class_2_auprc,0.986903506292755
auditorium,102,CAGF,balanced_accuracy,0.9905554152041027
auditorium,102,CAGF,native_sensor_fault_recall,0.990177736202058
auditorium,102,CAGF,mean_temperature_group_weight_on_faults,0.8154496550559998
auditorium,102,CAGF,train_seconds,28.919025300012436
auditorium,102,CAGF,inference_seconds,0.036090499997953884
auditorium,102,ENT-PD,accuracy,0.9609185817149638
auditorium,102,ENT-PD,macro_f1,0.8027755942222949
auditorium,102,ENT-PD,macro_auroc,0.9890142754748101
auditorium,102,ENT-PD,macro_auprc,0.8972336684889357
auditorium,102,ENT-PD,nll,0.1210972542119726
auditorium,102,ENT-PD,class_1_precision,0.9983268938871257
auditorium,102,ENT-PD,class_1_recall,0.961141832312061
auditorium,102,ENT-PD,class_1_f1,0.9793815305215957
auditorium,102,ENT-PD,class_1_auroc,0.9890142871254565
