seed,model,regime,metric,value
101,CFA,missing_drift,macro_auroc,0.8536675932017461
101,CFA,missing_drift,nll,1.737697077037541
101,CFA,missing_drift,ece,0.1955832319725117
101,CFA,missing_drift,aurc,0.2123563888979166
101,CFA,reported_fault,accuracy,0.5639321723189734
101,CFA,reported_fault,macro_f1,0.5372399771979363
101,CFA,reported_fault,macro_auroc,0.8420879761684975
101,CFA,reported_fault,nll,1.8630959600182884
101,CFA,reported_fault,ece,0.21466885285842974
101,CFA,reported_fault,aurc,0.23000433706202453
101,CFA,silent_fault,accuracy,0.5192483959670028
101,CFA,silent_fault,macro_f1,0.49808731571870296
101,CFA,silent_fault,macro_auroc,0.7965834202348351
101,CFA,silent_fault,nll,2.6130771124155108
101,CFA,silent_fault,ece,0.27658952674960785
101,CFA,silent_fault,aurc,0.31276321302916155
101,CRF_NR,complete_drift,accuracy,0.6088450962419798
101,CRF_NR,complete_drift,macro_f1,0.5762308124041452
101,CRF_NR,complete_drift,macro_auroc,0.8702891063316219
101,CRF_NR,complete_drift,nll,1.5307882596685503
101,CRF_NR,complete_drift,ece,0.1759496220104963
101,CRF_NR,complete_drift,aurc,0.17623575051029616
101,CRF_NR,missing_drift,accuracy,0.5879926672777268
101,CRF_NR,missing_drift,macro_f1,0.5585323996237267
101,CRF_NR,missing_drift,macro_auroc,0.85383160978377
101,CRF_NR,missing_drift,nll,1.6783704815439473
101,CRF_NR,missing_drift,ece,0.19082724109742755
101,CRF_NR,missing_drift,aurc,0.2115839914391682
101,CRF_NR,reported_fault,accuracy,0.5721814848762603
101,CRF_NR,reported_fault,macro_f1,0.5411707937210837
101,CRF_NR,reported_fault,macro_auroc,0.8444452090897014
101,CRF_NR,reported_fault,nll,1.7777166115831033
101,CRF_NR,reported_fault,ece,0.20731506278818623
101,CRF_NR,reported_fault,aurc,0.22870405355724827
101,CRF_NR,silent_fault,accuracy,0.534372135655362
101,CRF_NR,silent_fault,macro_f1,0.5118101421522233
101,CRF_NR,silent_fault,macro_auroc,0.8040340436319048
101,CRF_NR,silent_fault,nll,2.387041574801884
101,CRF_NR,silent_fault,ece,0.2573257629801438
101,CRF_NR,silent_fault,aurc,0.2924980680356699
101,CRF,complete_drift,accuracy,0.6145737855178736
101,CRF,complete_drift,macro_f1,0.5788859921322926
101,CRF,complete_drift,macro_auroc,0.8702210461418461
101,CRF,complete_drift,nll,1.7050777361747984
