subset,contrast,resampling_unit,reps_retained,mean_difference,ci_low,ci_high
fault_applied_available,RO-PDRF - PDRF,acquisition batch then observation; fixed ten-model ensemble,5000,0.014537771517941377,0.008730427189070638,0.02678924151940429
fault_applied_available,RO-PDRF - RO-CAGF,acquisition batch then observation; fixed ten-model ensemble,5000,-0.016811039311247025,-0.029584663524498744,0.006635482283302785
