seed,method,fault,metric,value,affected_fraction
101,UF,silent_gaussian,accuracy,0.5256645279560037,0.4010082493125573
101,UF,silent_gaussian,macro_f1,0.5012803160586081,0.4010082493125573
101,UF,silent_gaussian,macro_auroc,0.7961478178088767,0.4010082493125573
101,UF,silent_gaussian,nll,2.5809225894699463,0.4010082493125573
101,UF,silent_gaussian,ece,0.2643254296316344,0.4010082493125573
101,UF,silent_gaussian,aurc,0.2924057474824169,0.4010082493125573
101,UF,bias,accuracy,0.5132905591200734,0.4010082493125573
101,UF,bias,macro_f1,0.5203394333037479,0.4010082493125573
101,UF,bias,macro_auroc,0.7936157473411071,0.4010082493125573
101,UF,bias,nll,2.512543594503751,0.4010082493125573
101,UF,bias,ece,0.2512206849390274,0.4010082493125573
101,UF,bias,aurc,0.2789097502387388,0.4010082493125573
101,UF,clipping,accuracy,0.5799725022914757,0.4010082493125573
101,UF,clipping,macro_f1,0.5465744932952042,0.4010082493125573
101,UF,clipping,macro_auroc,0.8565098824749656,0.4010082493125573
101,UF,clipping,nll,1.5926263209102598,0.4010082493125573
101,UF,clipping,ece,0.180040713075265,0.4010082493125573
101,UF,clipping,aurc,0.2033361930777361,0.4010082493125573
101,UF,burst,accuracy,0.5462878093492209,0.4000916590284143
101,UF,burst,macro_f1,0.5173447149268465,0.4000916590284143
101,UF,burst,macro_auroc,0.8144221239176875,0.4000916590284143
101,UF,burst,nll,2.361049375867501,0.4000916590284143
101,UF,burst,ece,0.2469834315323371,0.4000916590284143
101,UF,burst,aurc,0.2655619739933855,0.4000916590284143
101,UF,correlated,accuracy,0.4940421631530706,0.4010082493125573
101,UF,correlated,macro_f1,0.4789944862555238,0.4010082493125573
101,UF,correlated,macro_auroc,0.7619933282223864,0.4010082493125573
101,UF,correlated,nll,3.272850445238785,0.4010082493125573
101,UF,correlated,ece,0.3174382711186199,0.4010082493125573
101,UF,correlated,aurc,0.3733889695334552,0.4010082493125573
101,UF,misleading_quality,accuracy,0.5256645279560037,0.4010082493125573
101,UF,misleading_quality,macro_f1,0.5012803160586081,0.4010082493125573
101,UF,misleading_quality,macro_auroc,0.7961478178088767,0.4010082493125573
101,UF,misleading_quality,nll,2.5809225894699463,0.4010082493125573
101,UF,misleading_quality,ece,0.2643254296316344,0.4010082493125573
101,UF,misleading_quality,aurc,0.2924057474824169,0.4010082493125573
101,UF,delayed_quality,accuracy,0.5256645279560037,0.4010082493125573
101,UF,delayed_quality,macro_f1,0.5012803160586081,0.4010082493125573
101,UF,delayed_quality,macro_auroc,0.7961478178088767,0.4010082493125573
101,UF,delayed_quality,nll,2.5809225894699463,0.4010082493125573
101,UF,delayed_quality,ece,0.2643254296316344,0.4010082493125573
101,UF,delayed_quality,aurc,0.2924057474824169,0.4010082493125573
101,GF,silent_gaussian,accuracy,0.4867094408799267,0.4010082493125573
101,GF,silent_gaussian,macro_f1,0.480470752134369,0.4010082493125573
101,GF,silent_gaussian,macro_auroc,0.771531535757609,0.4010082493125573
101,GF,silent_gaussian,nll,3.382169287111663,0.4010082493125573
101,GF,silent_gaussian,ece,0.365702850773152,0.4010082493125573
101,GF,silent_gaussian,aurc,0.3596995767872039,0.4010082493125573
101,GF,bias,accuracy,0.4580659945004583,0.4010082493125573
101,GF,bias,macro_f1,0.4691657764010843,0.4010082493125573
101,GF,bias,macro_auroc,0.7249074991620942,0.4010082493125573
101,GF,bias,nll,4.7924339575589725,0.4010082493125573
101,GF,bias,ece,0.414593448116351,0.4010082493125573
101,GF,bias,aurc,0.4792626659703916,0.4010082493125573
101,GF,clipping,accuracy,0.5121448212648946,0.4010082493125573
101,GF,clipping,macro_f1,0.4986235472204844,0.4010082493125573
101,GF,clipping,macro_auroc,0.8162455158739395,0.4010082493125573
101,GF,clipping,nll,2.4223996039890605,0.4010082493125573
101,GF,clipping,ece,0.3219992712303983,0.4010082493125573
101,GF,clipping,aurc,0.2817921299613816,0.4010082493125573
101,GF,burst,accuracy,0.5132905591200734,0.4000916590284143
101,GF,burst,macro_f1,0.5070218948571027,0.4000916590284143
101,GF,burst,macro_auroc,0.7855835085548999,0.4000916590284143
101,GF,burst,nll,3.112785529575459,0.4000916590284143
101,GF,burst,ece,0.3293043442896809,0.4000916590284143
101,GF,burst,aurc,0.3390408118069983,0.4000916590284143
101,GF,correlated,accuracy,0.4681484876260312,0.4010082493125573
101,GF,correlated,macro_f1,0.4632204700794377,0.4010082493125573
101,GF,correlated,macro_auroc,0.7438421119573136,0.4010082493125573
101,GF,correlated,nll,4.015760877354644,0.4010082493125573
101,GF,correlated,ece,0.394796313951859,0.4010082493125573
101,GF,correlated,aurc,0.4033970698897044,0.4010082493125573
101,GF,misleading_quality,accuracy,0.4860219981668194,0.4010082493125573
101,GF,misleading_quality,macro_f1,0.4795213704896703,0.4010082493125573
101,GF,misleading_quality,macro_auroc,0.7718325205084676,0.4010082493125573
101,GF,misleading_quality,nll,3.374634821828544,0.4010082493125573
101,GF,misleading_quality,ece,0.3658227010209226,0.4010082493125573
101,GF,misleading_quality,aurc,0.3588969162733581,0.4010082493125573
101,GF,delayed_quality,accuracy,0.4867094408799267,0.4010082493125573
101,GF,delayed_quality,macro_f1,0.480470752134369,0.4010082493125573
101,GF,delayed_quality,macro_auroc,0.7715661521246492,0.4010082493125573
101,GF,delayed_quality,nll,3.380744048685652,0.4010082493125573
101,GF,delayed_quality,ece,0.3656431348477068,0.4010082493125573
101,GF,delayed_quality,aurc,0.3597281781207375,0.4010082493125573
101,MOME_A,silent_gaussian,accuracy,0.4956461961503208,0.4010082493125573
101,MOME_A,silent_gaussian,macro_f1,0.4852749857940364,0.4010082493125573
101,MOME_A,silent_gaussian,macro_auroc,0.7663767923059588,0.4010082493125573
101,MOME_A,silent_gaussian,nll,2.7879352255609344,0.4010082493125573
101,MOME_A,silent_gaussian,ece,0.2717210862010472,0.4010082493125573
101,MOME_A,silent_gaussian,aurc,0.3592673075014191,0.4010082493125573
101,MOME_A,bias,accuracy,0.4475252062328139,0.4010082493125573
101,MOME_A,bias,macro_f1,0.4553855619655886,0.4010082493125573
101,MOME_A,bias,macro_auroc,0.7045602340931829,0.4010082493125573
101,MOME_A,bias,nll,4.104619571133616,0.4010082493125573
101,MOME_A,bias,ece,0.3529734926880443,0.4010082493125573
101,MOME_A,bias,aurc,0.4910398199747954,0.4010082493125573
101,MOME_A,clipping,accuracy,0.5410174152153987,0.4010082493125573
101,MOME_A,clipping,macro_f1,0.5187676163408768,0.4010082493125573
101,MOME_A,clipping,macro_auroc,0.8423435097743291,0.4010082493125573
101,MOME_A,clipping,nll,1.5903947864928438,0.4010082493125573
101,MOME_A,clipping,ece,0.1886533380073762,0.4010082493125573
101,MOME_A,clipping,aurc,0.2331133158693214,0.4010082493125573
101,MOME_A,burst,accuracy,0.5142071494042163,0.4000916590284143
101,MOME_A,burst,macro_f1,0.5039007996406878,0.4000916590284143
101,MOME_A,burst,macro_auroc,0.7830503730865858,0.4000916590284143
101,MOME_A,burst,nll,2.602740203804137,0.4000916590284143
101,MOME_A,burst,ece,0.254490258767996,0.4000916590284143
101,MOME_A,burst,aurc,0.3398452184518907,0.4000916590284143
101,MOME_A,correlated,accuracy,0.4830430797433547,0.4010082493125573
101,MOME_A,correlated,macro_f1,0.4719992906307875,0.4010082493125573
101,MOME_A,correlated,macro_auroc,0.7599985686226872,0.4010082493125573
101,MOME_A,correlated,nll,2.963570982386693,0.4010082493125573
101,MOME_A,correlated,ece,0.2994503451461753,0.4010082493125573
101,MOME_A,correlated,aurc,0.3791015013856657,0.4010082493125573
101,MOME_A,misleading_quality,accuracy,0.4967919340054995,0.4010082493125573
101,MOME_A,misleading_quality,macro_f1,0.4844473548624022,0.4010082493125573
101,MOME_A,misleading_quality,macro_auroc,0.7657619566666057,0.4010082493125573
101,MOME_A,misleading_quality,nll,2.802270775660668,0.4010082493125573
101,MOME_A,misleading_quality,ece,0.2708807550951169,0.4010082493125573
101,MOME_A,misleading_quality,aurc,0.3619892986626102,0.4010082493125573
101,MOME_A,delayed_quality,accuracy,0.495417048579285,0.4010082493125573
101,MOME_A,delayed_quality,macro_f1,0.4844443574537471,0.4010082493125573
