origin,train_max_batch,validation_batch,test_batches,seed,method,regime,metric,value
1,4,5,6,105,CRF,silent,aurc,0.1832627674258109
2,5,6,7,101,UF,natural,macro_auroc,0.959344312565692
2,5,6,7,101,UF,natural,nll,0.8529807185133659
2,5,6,7,101,UF,natural,aurc,0.0897311715046609
2,5,6,7,101,UF,silent,macro_auroc,0.8723275665895827
2,5,6,7,101,UF,silent,nll,1.64098608445382
2,5,6,7,101,UF,silent,aurc,0.2104577357977424
2,5,6,7,101,MOME_A,natural,macro_auroc,0.9167231017038808
2,5,6,7,101,MOME_A,natural,nll,1.113619729793165
2,5,6,7,101,MOME_A,natural,aurc,0.2043359433651381
2,5,6,7,101,MOME_A,silent,macro_auroc,0.8195364593015632
2,5,6,7,101,MOME_A,silent,nll,1.8263847019192243
2,5,6,7,101,MOME_A,silent,aurc,0.3639043035061746
2,5,6,7,101,CRF,natural,macro_auroc,0.9611324935794182
2,5,6,7,101,CRF,natural,nll,0.8448620003532512
2,5,6,7,101,CRF,natural,aurc,0.0840296680198326
2,5,6,7,101,CRF,silent,macro_auroc,0.9110295321393724
2,5,6,7,101,CRF,silent,nll,1.2273049848782862
2,5,6,7,101,CRF,silent,aurc,0.1540465386159907
2,5,6,7,102,UF,natural,macro_auroc,0.950585285703176
2,5,6,7,102,UF,natural,nll,0.7933955998166097
2,5,6,7,102,UF,natural,aurc,0.1110529063706922
2,5,6,7,102,UF,silent,macro_auroc,0.8600197500627345
2,5,6,7,102,UF,silent,nll,1.595662121836698
2,5,6,7,102,UF,silent,aurc,0.2427832960396737
2,5,6,7,102,MOME_A,natural,macro_auroc,0.9491783769443912
2,5,6,7,102,MOME_A,natural,nll,0.8206140921875236
2,5,6,7,102,MOME_A,natural,aurc,0.1167996453046987
2,5,6,7,102,MOME_A,silent,macro_auroc,0.8572326851086
2,5,6,7,102,MOME_A,silent,nll,1.6706411089781577
2,5,6,7,102,MOME_A,silent,aurc,0.2303443072129388
2,5,6,7,102,CRF,natural,macro_auroc,0.9588152461082852
2,5,6,7,102,CRF,natural,nll,0.7189180332256901
2,5,6,7,102,CRF,natural,aurc,0.080411017583545
2,5,6,7,102,CRF,silent,macro_auroc,0.906227073331598
2,5,6,7,102,CRF,silent,nll,1.1746150263445212
2,5,6,7,102,CRF,silent,aurc,0.1625418669432371
2,5,6,7,103,UF,natural,macro_auroc,0.9437769387095029
2,5,6,7,103,UF,natural,nll,0.9186707286128708
2,5,6,7,103,UF,natural,aurc,0.1047327808502385
2,5,6,7,103,UF,silent,macro_auroc,0.8589282204981988
2,5,6,7,103,UF,silent,nll,1.7714397022316517
2,5,6,7,103,UF,silent,aurc,0.2392414822729973
2,5,6,7,103,MOME_A,natural,macro_auroc,0.9545606069265224
2,5,6,7,103,MOME_A,natural,nll,0.803601370215966
2,5,6,7,103,MOME_A,natural,aurc,0.1338083393061244
2,5,6,7,103,MOME_A,silent,macro_auroc,0.860713662430925
2,5,6,7,103,MOME_A,silent,nll,1.696070606969952
2,5,6,7,103,MOME_A,silent,aurc,0.2498769642855289
2,5,6,7,103,CRF,natural,macro_auroc,0.950286626058117
2,5,6,7,103,CRF,natural,nll,0.806292102771206
2,5,6,7,103,CRF,natural,aurc,0.0985159490076195
2,5,6,7,103,CRF,silent,macro_auroc,0.9016199649046348
2,5,6,7,103,CRF,silent,nll,1.188396945890532
2,5,6,7,103,CRF,silent,aurc,0.1831614149905193
2,5,6,7,104,UF,natural,macro_auroc,0.9523859292769272
2,5,6,7,104,UF,natural,nll,0.7978609325042743
2,5,6,7,104,UF,natural,aurc,0.0976792952887911
2,5,6,7,104,UF,silent,macro_auroc,0.8767503726057168
2,5,6,7,104,UF,silent,nll,1.5079596047122912
2,5,6,7,104,UF,silent,aurc,0.2024493003358505
2,5,6,7,104,MOME_A,natural,macro_auroc,0.9461592734386518
2,5,6,7,104,MOME_A,natural,nll,1.01290994668208
2,5,6,7,104,MOME_A,natural,aurc,0.1383514162608892
2,5,6,7,104,MOME_A,silent,macro_auroc,0.8403825505749024
2,5,6,7,104,MOME_A,silent,nll,2.016892130827177
2,5,6,7,104,MOME_A,silent,aurc,0.2739909664142648
2,5,6,7,104,CRF,natural,macro_auroc,0.9594799813846244
2,5,6,7,104,CRF,natural,nll,0.808327683419713
2,5,6,7,104,CRF,natural,aurc,0.0748193539743025
2,5,6,7,104,CRF,silent,macro_auroc,0.9217014017116026
2,5,6,7,104,CRF,silent,nll,1.072688762744321
2,5,6,7,104,CRF,silent,aurc,0.1267656665014635
2,5,6,7,105,UF,natural,macro_auroc,0.9468282712056656
2,5,6,7,105,UF,natural,nll,0.8685080009937121
2,5,6,7,105,UF,natural,aurc,0.1047957293608759
2,5,6,7,105,UF,silent,macro_auroc,0.8695928324493561
2,5,6,7,105,UF,silent,nll,1.6545154261146884
2,5,6,7,105,UF,silent,aurc,0.2121447995131606
2,5,6,7,105,MOME_A,natural,macro_auroc,0.9551528685452886
2,5,6,7,105,MOME_A,natural,nll,0.9423165382331374
2,5,6,7,105,MOME_A,natural,aurc,0.119159503907015
2,5,6,7,105,MOME_A,silent,macro_auroc,0.8544131642835837
2,5,6,7,105,MOME_A,silent,nll,2.0579496368165984
2,5,6,7,105,MOME_A,silent,aurc,0.2463459913793681
2,5,6,7,105,CRF,natural,macro_auroc,0.959467586649664
2,5,6,7,105,CRF,natural,nll,0.7973630578840673
2,5,6,7,105,CRF,natural,aurc,0.0883835797914372
2,5,6,7,105,CRF,silent,macro_auroc,0.9100974878194434
2,5,6,7,105,CRF,silent,nll,1.2786189646736872
2,5,6,7,105,CRF,silent,aurc,0.1585859108809863
3,6,7,8-9-10,101,UF,natural,macro_auroc,0.8857395104580265
3,6,7,8-9-10,101,UF,natural,nll,1.4517298351084935
3,6,7,8-9-10,101,UF,natural,aurc,0.1661002556215345
3,6,7,8-9-10,101,UF,silent,macro_auroc,0.8202590245293652
3,6,7,8-9-10,101,UF,silent,nll,2.380690221896061
3,6,7,8-9-10,101,UF,silent,aurc,0.2769817342761319
3,6,7,8-9-10,101,MOME_A,natural,macro_auroc,0.8647896624763014
3,6,7,8-9-10,101,MOME_A,natural,nll,1.6948593514138628
3,6,7,8-9-10,101,MOME_A,natural,aurc,0.1913694300465536
3,6,7,8-9-10,101,MOME_A,silent,macro_auroc,0.7824787085068697
3,6,7,8-9-10,101,MOME_A,silent,nll,2.766732512176867
3,6,7,8-9-10,101,MOME_A,silent,aurc,0.3355422306844143
3,6,7,8-9-10,101,CRF,natural,macro_auroc,0.8879140595444167
3,6,7,8-9-10,101,CRF,natural,nll,1.4306761371156318
3,6,7,8-9-10,101,CRF,natural,aurc,0.1432609766345172
3,6,7,8-9-10,101,CRF,silent,macro_auroc,0.8464814469862937
3,6,7,8-9-10,101,CRF,silent,nll,1.947791247123396
3,6,7,8-9-10,101,CRF,silent,aurc,0.2215194687485673
3,6,7,8-9-10,102,UF,natural,macro_auroc,0.8902685556391382
3,6,7,8-9-10,102,UF,natural,nll,1.168420389110799
3,6,7,8-9-10,102,UF,natural,aurc,0.1584553633308961
3,6,7,8-9-10,102,UF,silent,macro_auroc,0.8121098845365972
3,6,7,8-9-10,102,UF,silent,nll,2.13625524004625
3,6,7,8-9-10,102,UF,silent,aurc,0.2870928741957457
3,6,7,8-9-10,102,MOME_A,natural,macro_auroc,0.8753944135977756
3,6,7,8-9-10,102,MOME_A,natural,nll,1.476100682868112
3,6,7,8-9-10,102,MOME_A,natural,aurc,0.1540492549868078
3,6,7,8-9-10,102,MOME_A,silent,macro_auroc,0.7991492910087779
3,6,7,8-9-10,102,MOME_A,silent,nll,2.2533410566846968
3,6,7,8-9-10,102,MOME_A,silent,aurc,0.2935241212958138
3,6,7,8-9-10,102,CRF,natural,macro_auroc,0.8879838574248061
3,6,7,8-9-10,102,CRF,natural,nll,1.2861834939690098
3,6,7,8-9-10,102,CRF,natural,aurc,0.1332369260267839
3,6,7,8-9-10,102,CRF,silent,macro_auroc,0.843628614050088
3,6,7,8-9-10,102,CRF,silent,nll,1.7338675484565085
3,6,7,8-9-10,102,CRF,silent,aurc,0.2257258062318416
3,6,7,8-9-10,103,UF,natural,macro_auroc,0.8839803524754944
3,6,7,8-9-10,103,UF,natural,nll,1.3409641400365035
3,6,7,8-9-10,103,UF,natural,aurc,0.1641309194982129
3,6,7,8-9-10,103,UF,silent,macro_auroc,0.809247290182125
3,6,7,8-9-10,103,UF,silent,nll,2.4893821099430125
3,6,7,8-9-10,103,UF,silent,aurc,0.2853785354676018
3,6,7,8-9-10,103,MOME_A,natural,macro_auroc,0.8818999638592362
3,6,7,8-9-10,103,MOME_A,natural,nll,1.3393326612488188
3,6,7,8-9-10,103,MOME_A,natural,aurc,0.1782904681389459
3,6,7,8-9-10,103,MOME_A,silent,macro_auroc,0.8098194166630525
3,6,7,8-9-10,103,MOME_A,silent,nll,2.0124392219117286
3,6,7,8-9-10,103,MOME_A,silent,aurc,0.2879898815296315
3,6,7,8-9-10,103,CRF,natural,macro_auroc,0.8557761114302602
3,6,7,8-9-10,103,CRF,natural,nll,1.6010260893870605
3,6,7,8-9-10,103,CRF,natural,aurc,0.2529171738652068
3,6,7,8-9-10,103,CRF,silent,macro_auroc,0.8196180768604635
3,6,7,8-9-10,103,CRF,silent,nll,2.044602787726872
3,6,7,8-9-10,103,CRF,silent,aurc,0.2945922962268469
3,6,7,8-9-10,104,UF,natural,macro_auroc,0.8895954207856421
3,6,7,8-9-10,104,UF,natural,nll,1.1848185355441372
3,6,7,8-9-10,104,UF,natural,aurc,0.1631633423067431
3,6,7,8-9-10,104,UF,silent,macro_auroc,0.7963838903050234
3,6,7,8-9-10,104,UF,silent,nll,2.297784222787735
3,6,7,8-9-10,104,UF,silent,aurc,0.3219786943286889
3,6,7,8-9-10,104,MOME_A,natural,macro_auroc,0.8494800426016592
3,6,7,8-9-10,104,MOME_A,natural,nll,2.116865702588844
3,6,7,8-9-10,104,MOME_A,natural,aurc,0.2350597842521911
3,6,7,8-9-10,104,MOME_A,silent,macro_auroc,0.7683463859841101
3,6,7,8-9-10,104,MOME_A,silent,nll,3.309182877502175
3,6,7,8-9-10,104,MOME_A,silent,aurc,0.3659494624856815
3,6,7,8-9-10,104,CRF,natural,macro_auroc,0.8726004168634299
3,6,7,8-9-10,104,CRF,natural,nll,1.5056357797766202
3,6,7,8-9-10,104,CRF,natural,aurc,0.181247252233486
3,6,7,8-9-10,104,CRF,silent,macro_auroc,0.8132667742413121
3,6,7,8-9-10,104,CRF,silent,nll,2.1231626672857917
3,6,7,8-9-10,104,CRF,silent,aurc,0.2959730057695879
3,6,7,8-9-10,105,UF,natural,macro_auroc,0.8741733675929083
3,6,7,8-9-10,105,UF,natural,nll,1.3359568708405225
3,6,7,8-9-10,105,UF,natural,aurc,0.1868732405723738
3,6,7,8-9-10,105,UF,silent,macro_auroc,0.7956951194596544
3,6,7,8-9-10,105,UF,silent,nll,2.297616790477861
3,6,7,8-9-10,105,UF,silent,aurc,0.3146646125685212
3,6,7,8-9-10,105,MOME_A,natural,macro_auroc,0.8715292802182217
3,6,7,8-9-10,105,MOME_A,natural,nll,1.4224503304697431
3,6,7,8-9-10,105,MOME_A,natural,aurc,0.1734275800562941
3,6,7,8-9-10,105,MOME_A,silent,macro_auroc,0.7849063998448146
3,6,7,8-9-10,105,MOME_A,silent,nll,2.323885991088422
3,6,7,8-9-10,105,MOME_A,silent,aurc,0.3280909828953094
3,6,7,8-9-10,105,CRF,natural,macro_auroc,0.8675026984640638
3,6,7,8-9-10,105,CRF,natural,nll,1.5117084316889688
3,6,7,8-9-10,105,CRF,natural,aurc,0.1970760661225627
3,6,7,8-9-10,105,CRF,silent,macro_auroc,0.8156904892490314
3,6,7,8-9-10,105,CRF,silent,nll,2.088786838743402
3,6,7,8-9-10,105,CRF,silent,aurc,0.2892265786647683
1,4,5,6,101,BCRF,natural,macro_auroc,0.967558146390585
1,4,5,6,101,BCRF,natural,nll,0.8135747252620553
1,4,5,6,101,BCRF,natural,aurc,0.165938060731539
1,4,5,6,101,BCRF,silent,macro_auroc,0.9240424411826768
1,4,5,6,101,BCRF,silent,nll,1.3295356411133823
