seed,epoch,train_loss,gradient_norm,selection_ce,method
101,1,2.317468523979187,0.33477186411619186,1.353261947631836,RO-PDRF-CEG
101,2,1.5241852179169655,0.37857627620299655,0.8530969023704529,RO-PDRF-CEG
101,3,0.9048696681857109,0.41274436314900714,0.624656617641449,RO-PDRF-CEG
101,4,0.6055813928445181,0.40740787362058956,0.5639953017234802,RO-PDRF-CEG
101,5,0.45982441244026023,0.4310772617657979,0.47981661558151245,RO-PDRF-CEG
101,6,0.35535326475898427,0.4224835087855657,0.4660547375679016,RO-PDRF-CEG
101,7,0.2846049865086873,0.43852630133430165,0.45146286487579346,RO-PDRF-CEG
101,8,0.2154994752878944,0.4489310383796692,0.42926883697509766,RO-PDRF-CEG
101,9,0.15544102589289346,0.4160616851101319,0.4550650119781494,RO-PDRF-CEG
101,10,0.11502540499592821,0.42842692012588185,0.4219750165939331,RO-PDRF-CEG
101,11,0.07592391595244408,0.40960467979311943,0.4013959467411041,RO-PDRF-CEG
101,12,0.05643413010208557,0.4458107240498066,0.45933714509010315,RO-PDRF-CEG
101,13,0.023957157973200083,0.4371575452387333,0.4211035966873169,RO-PDRF-CEG
101,14,-0.004200444585876539,0.41693025703231495,0.42435991764068604,RO-PDRF-CEG
101,15,-0.023569625181456406,0.40399522706866264,0.407649427652359,RO-PDRF-CEG
101,16,-0.028823294715645414,0.4150780613223712,0.4082583487033844,RO-PDRF-CEG
101,17,-0.04111383707883457,0.4373074620962143,0.4008428454399109,RO-PDRF-CEG
101,18,-0.057634547469206154,0.4276993206391732,0.42741653323173523,RO-PDRF-CEG
101,19,-0.07639751377670716,0.40062168923517066,0.45245641469955444,RO-PDRF-CEG
101,20,-0.0966595612699166,0.4149559897681077,0.37849316000938416,RO-PDRF-CEG
101,21,-0.10345058738797282,0.4554922493795554,0.4271879494190216,RO-PDRF-CEG
101,22,-0.11817476882909735,0.40414118270079297,0.3942646384239197,RO-PDRF-CEG
101,23,-0.12592104616730163,0.4184216484427452,0.38169771432876587,RO-PDRF-CEG
101,24,-0.13528926468764743,0.37837218182782334,0.4321882128715515,RO-PDRF-CEG
101,25,-0.13666932486618558,0.3591032015780608,0.44302842020988464,RO-PDRF-CEG
101,26,-0.14371876453515142,0.3706862175216277,0.4231550991535187,RO-PDRF-CEG
101,27,-0.14341870788484812,0.3889148384332657,0.41457775235176086,RO-PDRF-CEG
101,28,-0.14369573382039866,0.42380854735771817,0.46405795216560364,RO-PDRF-CEG
101,29,-0.1509190167610844,0.4025094552586476,0.3890296518802643,RO-PDRF-CEG
102,1,2.277930403749148,0.3490198751290639,1.3006190061569214,RO-PDRF-CEG
102,2,1.4722335984309514,0.3867250320812066,0.8275279998779297,RO-PDRF-CEG
102,3,0.8650035932660103,0.3499051940937837,0.6358307600021362,RO-PDRF-CEG
102,4,0.5716559439897537,0.36190465713540715,0.5258245468139648,RO-PDRF-CEG
102,5,0.4342225839694341,0.4033842956026395,0.5212440490722656,RO-PDRF-CEG
102,6,0.337243665009737,0.44681326548258465,0.5201393961906433,RO-PDRF-CEG
102,7,0.2701966216166814,0.3966812106470267,0.5107710361480713,RO-PDRF-CEG
102,8,0.21533415528635183,0.43791461115082103,0.4867340326309204,RO-PDRF-CEG
102,9,0.13628567258516947,0.43311114733417827,0.48428675532341003,RO-PDRF-CEG
102,10,0.09770251216832548,0.45994974796970683,0.4956570863723755,RO-PDRF-CEG
102,11,0.05547367835727831,0.4130824878811836,0.46596965193748474,RO-PDRF-CEG
102,12,0.030914670205675066,0.418196892986695,0.48759782314300537,RO-PDRF-CEG
102,13,-0.008666767554435259,0.4077227922777335,0.5175445675849915,RO-PDRF-CEG
102,14,-0.02534915644597883,0.43045847738782567,0.4915603697299957,RO-PDRF-CEG
102,15,-0.05573673313483596,0.38546307384967804,0.4862382709980011,RO-PDRF-CEG
102,16,-0.06451313884463161,0.430618970344464,0.4703461229801178,RO-PDRF-CEG
102,17,-0.08204009756445885,0.3824799669285615,0.4955553710460663,RO-PDRF-CEG
102,18,-0.08895703189773485,0.420001357793808,0.5307517647743225,RO-PDRF-CEG
102,19,-0.10116212566693623,0.39601827909549076,0.5138149857521057,RO-PDRF-CEG
102,20,-0.09779320983216166,0.43311947646240395,0.49043241143226624,RO-PDRF-CEG
103,1,2.265518287817637,0.3343404717743397,1.3775768280029297,RO-PDRF-CEG
103,2,1.5027280747890472,0.38931166877349216,0.8734205365180969,RO-PDRF-CEG
103,3,0.8911509315172831,0.40227915222446126,0.6398998498916626,RO-PDRF-CEG
103,4,0.627892886598905,0.5839686108132204,0.5452376008033752,RO-PDRF-CEG
103,5,0.44658730551600456,0.4289553289612134,0.5394145846366882,RO-PDRF-CEG
103,6,0.3625381551682949,0.4673638641834259,0.5220590829849243,RO-PDRF-CEG
103,7,0.29195291362702847,0.48708438500761986,0.5450050830841064,RO-PDRF-CEG
103,8,0.21350660237173238,0.4356682946284612,0.46935784816741943,RO-PDRF-CEG
103,9,0.1682303943671286,0.4806896237035592,0.42894431948661804,RO-PDRF-CEG
103,10,0.127782691270113,0.531551830470562,0.467043399810791,RO-PDRF-CEG
103,11,0.09131617867387831,0.4646094540754954,0.46003004908561707,RO-PDRF-CEG
103,12,0.04702516676237186,0.42068623503049213,0.46363189816474915,RO-PDRF-CEG
103,13,0.013659437497456869,0.4154019777973493,0.45840129256248474,RO-PDRF-CEG
103,14,-0.007520613473995279,0.39098555718859035,0.5029327869415283,RO-PDRF-CEG
103,15,-0.029104458711420495,0.37976983065406483,0.4720635712146759,RO-PDRF-CEG
103,16,-0.03984914388274774,0.44813615332047146,0.4958460032939911,RO-PDRF-CEG
103,17,-0.05154198741850754,0.4263276346027851,0.5040046572685242,RO-PDRF-CEG
103,18,-0.06639905630921324,0.42096728707353276,0.4840344190597534,RO-PDRF-CEG
104,1,2.2616874972979226,0.3447418076296647,1.3220515251159668,RO-PDRF-CEG
104,2,1.4831214100122452,0.3998096051315467,0.8656691312789917,RO-PDRF-CEG
104,3,0.9062984709938368,0.3918189158042272,0.6523792743682861,RO-PDRF-CEG
104,4,0.5917659290134907,0.4363839278618495,0.5879795551300049,RO-PDRF-CEG
104,5,0.4329465255141258,0.4263207254310449,0.5234624743461609,RO-PDRF-CEG
