building,seed,method,metric,value
auditorium,101,PDRF-NOQ,nll,0.1407811667904242
auditorium,101,PDRF-NOQ,class_1_precision,0.9991812865497076
auditorium,101,PDRF-NOQ,class_1_recall,0.9361165899627438
auditorium,101,PDRF-NOQ,class_1_f1,0.9666214075582711
auditorium,101,PDRF-NOQ,class_1_auroc,0.9853628153223295
auditorium,101,PDRF-NOQ,class_1_auprc,0.9996311296881768
auditorium,101,PDRF-NOQ,class_2_precision,0.27487562189054726
auditorium,101,PDRF-NOQ,class_2_recall,0.9692982456140351
auditorium,101,PDRF-NOQ,class_2_f1,0.42829457364341084
auditorium,101,PDRF-NOQ,class_2_auroc,0.9853628153223296
auditorium,101,PDRF-NOQ,class_2_auprc,0.6146938737717731
auditorium,101,PDRF-NOQ,balanced_accuracy,0.9527074177883894
auditorium,101,PDRF-NOQ,native_sensor_fault_recall,0.9692982456140351
auditorium,101,PDRF-NOQ,mean_temperature_group_weight_on_faults,0.3967140018939972
auditorium,101,PDRF-NOQ,train_seconds,10.686428500004695
auditorium,101,PDRF-NOQ,inference_seconds,0.010632299992721528
auditorium,101,PDRF-NOQ,recall_return_air_temperature_fault,0.9608938547486033
auditorium,101,PDRF-NOQ,recall_supply_air_temperature_fault,1.0
auditorium,101,RC-PDRF-NOQ,accuracy,0.9389565961086166
auditorium,101,RC-PDRF-NOQ,macro_f1,0.697520997298258
auditorium,101,RC-PDRF-NOQ,macro_auroc,0.9842555105713
auditorium,101,RC-PDRF-NOQ,macro_auprc,0.8008211446442122
auditorium,101,RC-PDRF-NOQ,nll,0.12981725628893687
auditorium,101,RC-PDRF-NOQ,class_1_precision,0.9982527664531159
auditorium,101,RC-PDRF-NOQ,class_1_recall,0.9390751698444006
auditorium,101,RC-PDRF-NOQ,class_1_f1,0.9677601490599063
auditorium,101,RC-PDRF-NOQ,class_1_auroc,0.9842555105713
auditorium,101,RC-PDRF-NOQ,class_1_auprc,0.9996026701077063
auditorium,101,RC-PDRF-NOQ,class_2_precision,0.27698309492847856
auditorium,101,RC-PDRF-NOQ,class_2_recall,0.9342105263157895
auditorium,101,RC-PDRF-NOQ,class_2_f1,0.4272818455366098
auditorium,101,RC-PDRF-NOQ,class_2_auroc,0.9842555105713
auditorium,101,RC-PDRF-NOQ,class_2_auprc,0.6020396191807181
auditorium,101,RC-PDRF-NOQ,balanced_accuracy,0.936642848080095
auditorium,101,RC-PDRF-NOQ,native_sensor_fault_recall,0.9342105263157895
auditorium,101,RC-PDRF-NOQ,mean_temperature_group_weight_on_faults,0.3938213586807251
auditorium,101,RC-PDRF-NOQ,train_seconds,11.752723800003878
auditorium,101,RC-PDRF-NOQ,inference_seconds,0.00840010000683833
auditorium,101,RC-PDRF-NOQ,recall_return_air_temperature_fault,0.9162011173184358
auditorium,101,RC-PDRF-NOQ,recall_supply_air_temperature_fault,1.0
auditorium,101,HGB-current,accuracy,0.9857814838571735
auditorium,101,HGB-current,macro_f1,0.8738713420411117
auditorium,101,HGB-current,macro_auroc,0.9940119515861756
auditorium,101,HGB-current,macro_auprc,0.9388605125431573
auditorium,101,HGB-current,nll,0.036778568185562854
auditorium,101,HGB-current,class_1_precision,0.9974554707379135
auditorium,101,HGB-current,class_1_recall,0.9879465264080649
auditorium,101,HGB-current,class_1_f1,0.9926782273603083
auditorium,101,HGB-current,class_1_auroc,0.9940119515861756
auditorium,101,HGB-current,class_1_auprc,0.9998419029269077
auditorium,101,HGB-current,class_2_precision,0.6507936507936508
auditorium,101,HGB-current,class_2_recall,0.8991228070175439
auditorium,101,HGB-current,class_2_f1,0.7550644567219152
auditorium,101,HGB-current,class_2_auroc,0.9940119515861756
auditorium,101,HGB-current,class_2_auprc,0.8778791221594068
auditorium,101,HGB-current,balanced_accuracy,0.9435346667128044
auditorium,101,HGB-current,native_sensor_fault_recall,0.8991228070175439
auditorium,101,HGB-current,train_seconds,2.27279709999857
auditorium,101,HGB-current,recall_return_air_temperature_fault,0.8770949720670391
auditorium,101,HGB-current,recall_supply_air_temperature_fault,0.9795918367346939
auditorium,101,HGB-lag,accuracy,0.9895231986316014
auditorium,101,HGB-lag,macro_f1,0.8869567662274627
auditorium,101,HGB-lag,macro_auroc,0.9948950559611829
auditorium,101,HGB-lag,macro_auprc,0.9408788637183106
auditorium,101,HGB-lag,nll,0.028950337731297727
auditorium,101,HGB-lag,class_1_precision,0.9939811775005472
auditorium,101,HGB-lag,class_1_recall,0.9952881875958799
auditorium,101,HGB-lag,class_1_f1,0.9946342531756461
auditorium,101,HGB-lag,class_1_auroc,0.9948950559611829
auditorium,101,HGB-lag,class_1_auprc,0.9998697543368412
auditorium,101,HGB-lag,class_2_precision,0.8009259259259259
auditorium,101,HGB-lag,class_2_recall,0.7587719298245614
auditorium,101,HGB-lag,class_2_f1,0.7792792792792793
auditorium,101,HGB-lag,class_2_auroc,0.9948950559611829
auditorium,101,HGB-lag,class_2_auprc,0.8818879730997801
auditorium,101,HGB-lag,balanced_accuracy,0.8770300587102207
auditorium,101,HGB-lag,native_sensor_fault_recall,0.7587719298245614
auditorium,101,HGB-lag,train_seconds,1.491783999998006
auditorium,101,HGB-lag,recall_return_air_temperature_fault,0.6927374301675978
auditorium,101,HGB-lag,recall_supply_air_temperature_fault,1.0
auditorium,102,EF-PD,accuracy,0.9921958520419072
auditorium,102,EF-PD,macro_f1,0.9108920930209494
auditorium,102,EF-PD,macro_auroc,0.9963185961836434
auditorium,102,EF-PD,macro_auprc,0.9553334734205436
auditorium,102,EF-PD,nll,0.027656070509430388
auditorium,102,EF-PD,class_1_precision,0.9939975990396158
auditorium,102,EF-PD,class_1_recall,0.9980276134122288
auditorium,102,EF-PD,class_1_f1,0.9960085297173165
auditorium,102,EF-PD,class_1_auroc,0.9963185961836435
auditorium,102,EF-PD,class_1_auprc,0.9999070860240767
auditorium,102,EF-PD,class_2_precision,0.9057591623036649
auditorium,102,EF-PD,class_2_recall,0.7587719298245614
auditorium,102,EF-PD,class_2_f1,0.8257756563245824
auditorium,102,EF-PD,class_2_auroc,0.9963185961836434
auditorium,102,EF-PD,class_2_auprc,0.9107598608170104
auditorium,102,EF-PD,balanced_accuracy,0.8783997716183951
auditorium,102,EF-PD,native_sensor_fault_recall,0.7587719298245614
