seed,threshold,accuracy,transfer_rate,recovery_rate,recovery_usage
101,0.5,0.6688925987757374,0.18072289156626506,0.776595744680851,0.765164162493044
101,0.525,0.6688925987757374,0.1686746987951807,0.7659574468085106,0.7512520868113522
101,0.55,0.6700055648302726,0.14457831325301204,0.7659574468085106,0.7373400111296605
101,0.575,0.6705620478575404,0.13253012048192772,0.7659574468085106,0.7212020033388982
101,0.6,0.6705620478575404,0.12048192771084337,0.7553191489361702,0.6994991652754591
101,0.625,0.6722314969393434,0.07228915662650602,0.7446808510638298,0.6755703951029494
101,0.65,0.6716750139120757,0.060240963855421686,0.723404255319149,0.6494156928213689
101,0.675,0.6705620478575404,0.060240963855421686,0.7021276595744681,0.6293823038397329
101,0.7,0.6705620478575404,0.04819277108433735,0.6914893617021277,0.5926544240400667
101,0.725,0.6700055648302726,0.024096385542168676,0.6595744680851063,0.55370061213133
101,0.75,0.6700055648302726,0.024096385542168676,0.6595744680851063,0.47189760712298273
101,0.775,0.667779632721202,0.024096385542168676,0.6170212765957447,0.3606010016694491
101,0.8,0.664440734557596,0.024096385542168676,0.5531914893617021,0.34223706176961605
101,0.825,0.6633277685030606,0.024096385542168676,0.5319148936170213,0.3021702838063439
101,0.8500000000000001,0.66110183639399,0.024096385542168676,0.48936170212765956,0.22259321090706732
101,0.875,0.6566499721758486,0.024096385542168676,0.40425531914893614,0.18530884808013356
101,0.9,0.654424040066778,0.024096385542168676,0.3617021276595745,0.15414579855314414
102,0.5,0.7342391304347826,0.10204081632653061,0.825,0.7956521739130434
102,0.525,0.7342391304347826,0.10204081632653061,0.825,0.7842391304347827
102,0.55,0.7342391304347826,0.10204081632653061,0.825,0.7728260869565218
102,0.575,0.7342391304347826,0.10204081632653061,0.825,0.7635869565217391
102,0.6,0.7342391304347826,0.10204081632653061,0.825,0.7527173913043478
102,0.625,0.7336956521739131,0.10204081632653061,0.8,0.7391304347826086
102,0.65,0.7336956521739131,0.10204081632653061,0.8,0.7260869565217392
102,0.675,0.7331521739130434,0.08163265306122448,0.75,0.7146739130434783
102,0.7,0.7331521739130434,0.08163265306122448,0.75,0.6994565217391304
102,0.725,0.7331521739130434,0.061224489795918366,0.725,0.6858695652173913
102,0.75,0.7326086956521739,0.02040816326530612,0.65,0.6684782608695652
102,0.775,0.7315217391304348,0.02040816326530612,0.6,0.6521739130434783
102,0.8,0.7309782608695652,0.02040816326530612,0.575,0.6353260869565217
102,0.825,0.7304347826086957,0.02040816326530612,0.55,0.621195652173913
102,0.8500000000000001,0.7293478260869565,0.02040816326530612,0.5,0.6081521739130434
102,0.875,0.7293478260869565,0.02040816326530612,0.5,0.5934782608695652
102,0.9,0.7282608695652174,0.02040816326530612,0.45,0.5771739130434783
103,0.5,0.6408602150537634,0.21951219512195122,0.8367346938775511,0.9086021505376344
103,0.525,0.6408602150537634,0.1951219512195122,0.8163265306122449,0.9032258064516129
103,0.55,0.6408602150537634,0.14634146341463414,0.7755102040816326,0.896774193548387
103,0.575,0.6403225806451613,0.14634146341463414,0.7551020408163265,0.8919354838709678
103,0.6,0.6403225806451613,0.0975609756097561,0.7142857142857143,0.882258064516129
103,0.625,0.6403225806451613,0.0975609756097561,0.7142857142857143,0.8774193548387097
103,0.65,0.6397849462365591,0.0975609756097561,0.6938775510204082,0.8709677419354839
103,0.675,0.6397849462365591,0.07317073170731707,0.673469387755102,0.8634408602150537
103,0.7,0.6403225806451613,0.04878048780487805,0.673469387755102,0.8591397849462366
103,0.725,0.6403225806451613,0.024390243902439025,0.6530612244897959,0.8521505376344086
103,0.75,0.6397849462365591,0.024390243902439025,0.6326530612244898,0.8451612903225807
103,0.775,0.6365591397849463,0.024390243902439025,0.5102040816326531,0.8306451612903226
103,0.8,0.636021505376344,0.024390243902439025,0.4897959183673469,0.821505376344086
103,0.825,0.6349462365591397,0.024390243902439025,0.4489795918367347,0.8134408602150538
103,0.8500000000000001,0.6344086021505376,0.024390243902439025,0.42857142857142855,0.8005376344086022
103,0.875,0.6327956989247312,0.0,0.3469387755102041,0.7838709677419354
103,0.9,0.632258064516129,0.0,0.32653061224489793,0.7629032258064516
104,0.5,0.8062098501070664,0.045454545454545456,0.8955223880597015,0.9405781584582441
104,0.525,0.8062098501070664,0.045454545454545456,0.8955223880597015,0.9357601713062098
104,0.55,0.8062098501070664,0.045454545454545456,0.8955223880597015,0.9325481798715204
104,0.575,0.8062098501070664,0.045454545454545456,0.8955223880597015,0.9309421841541756
104,0.6,0.8056745182012848,0.045454545454545456,0.8805970149253731,0.9250535331905781
104,0.625,0.8062098501070664,0.0,0.8805970149253731,0.921306209850107
104,0.65,0.8062098501070664,0.0,0.8805970149253731,0.9180942184154176
104,0.675,0.8051391862955032,0.0,0.8507462686567164,0.9132762312633833
104,0.7,0.8046038543897216,0.0,0.835820895522388,0.9063169164882227
104,0.725,0.8035331905781584,0.0,0.8059701492537313,0.9009635974304069
104,0.75,0.8035331905781584,0.0,0.8059701492537313,0.8940042826552462
104,0.775,0.8035331905781584,0.0,0.8059701492537313,0.8854389721627409
104,0.8,0.8019271948608137,0.0,0.7611940298507462,0.8768736616702355
104,0.825,0.8008565310492506,0.0,0.7313432835820896,0.8634903640256959
104,0.8500000000000001,0.7987152034261242,0.0,0.6716417910447762,0.8533190578158458
104,0.875,0.7965738758029979,0.0,0.6119402985074627,0.8394004282655246
104,0.9,0.7955032119914347,0.0,0.582089552238806,0.8254817987152034
105,0.5,0.6270096463022508,0.09722222222222222,0.8032786885245902,0.8520900321543409
105,0.525,0.6270096463022508,0.09722222222222222,0.8032786885245902,0.8403001071811361
105,0.55,0.6270096463022508,0.09722222222222222,0.8032786885245902,0.8290460878885316
105,0.575,0.627545551982851,0.06944444444444445,0.7950819672131147,0.8161843515541265
105,0.6,0.627545551982851,0.06944444444444445,0.7950819672131147,0.8027867095391211
105,0.625,0.627545551982851,0.041666666666666664,0.7786885245901639,0.7888531618435155
105,0.65,0.6270096463022508,0.027777777777777776,0.7622950819672131,0.7770632368703109
105,0.675,0.6237942122186495,0.027777777777777776,0.7131147540983607,0.7583065380493034
105,0.7,0.6232583065380493,0.027777777777777776,0.7049180327868853,0.7502679528403001
105,0.725,0.6205787781350482,0.027777777777777776,0.6639344262295082,0.7352625937834941
105,0.75,0.6152197213290461,0.013888888888888888,0.5737704918032787,0.7052518756698821
105,0.775,0.6120042872454448,0.013888888888888888,0.5245901639344263,0.6141479099678456
105,0.8,0.6077170418006431,0.013888888888888888,0.45901639344262296,0.5803858520900321
105,0.825,0.605037513397642,0.013888888888888888,0.4180327868852459,0.5509110396570204
105,0.8500000000000001,0.6039657020364416,0.013888888888888888,0.4016393442622951,0.5155412647374062
105,0.875,0.6028938906752411,0.013888888888888888,0.38524590163934425,0.4780278670953912
105,0.9,0.602357984994641,0.0,0.36885245901639346,0.43354769560557344
106,0.5,0.7100053504547886,0.16666666666666666,0.9354838709677419,0.7640449438202247
106,0.525,0.7100053504547886,0.16666666666666666,0.9354838709677419,0.7388978063135366
106,0.55,0.7105403959336544,0.13333333333333333,0.9354838709677419,0.7132156233279828
106,0.575,0.7105403959336544,0.13333333333333333,0.9354838709677419,0.5420010700909578
106,0.6,0.7105403959336544,0.13333333333333333,0.9354838709677419,0.46923488496522203
