method,seed,fault_type,fault_realization,subset,metric,value,n,inference_ms_per_observation
RO-CAGF,101,gaussian,70003,unaffected,macro_f1,0.5409745747951248,2597,0.0014820119163736797
RO-CAGF,101,gaussian,70003,unaffected,macro_auroc,0.8545000548296597,2597,0.0014820119163736797
RO-CAGF,101,gaussian,70003,unaffected,macro_auprc,0.6157585041107051,2597,0.0014820119163736797
RO-CAGF,101,gaussian,70003,unaffected,nll,1.4330152615105074,2597,0.0014820119163736797
RO-CAGF,101,gaussian,70003,unaffected,brier,0.6017790428452844,2597,0.0014820119163736797
RO-CAGF,101,gaussian,70003,unaffected,ece15,0.16101992060277937,2597,0.0014820119163736797
RO-CAGF,101,gaussian,70004,all,accuracy,0.5600366636113657,4364,0.0013732813929543104
RO-CAGF,101,gaussian,70004,all,macro_f1,0.5289582622330612,4364,0.0013732813929543104
RO-CAGF,101,gaussian,70004,all,macro_auroc,0.850959748712357,4364,0.0013732813929543104
RO-CAGF,101,gaussian,70004,all,macro_auprc,0.6124159931937608,4364,0.0013732813929543104
RO-CAGF,101,gaussian,70004,all,nll,1.4929105391879138,4364,0.0013732813929543104
RO-CAGF,101,gaussian,70004,all,brier,0.6155178653575444,4364,0.0013732813929543104
RO-CAGF,101,gaussian,70004,all,ece15,0.1729770746870832,4364,0.0013732813929543104
RO-CAGF,101,gaussian,70004,affected,accuracy,0.5586166471277842,1706,0.0013732813929543104
RO-CAGF,101,gaussian,70004,affected,macro_f1,0.5269431751043231,1706,0.0013732813929543104
RO-CAGF,101,gaussian,70004,affected,macro_auroc,0.8432728608633413,1706,0.0013732813929543104
RO-CAGF,101,gaussian,70004,affected,macro_auprc,0.5905346821464642,1706,0.0013732813929543104
RO-CAGF,101,gaussian,70004,affected,nll,1.6109798386118177,1706,0.0013732813929543104
RO-CAGF,101,gaussian,70004,affected,brier,0.6296126786550071,1706,0.0013732813929543104
RO-CAGF,101,gaussian,70004,affected,ece15,0.16081433134439543,1706,0.0013732813929543104
RO-CAGF,101,gaussian,70004,unaffected,accuracy,0.5609480812641083,2658,0.0013732813929543104
RO-CAGF,101,gaussian,70004,unaffected,macro_f1,0.5292865798878977,2658,0.0013732813929543104
RO-CAGF,101,gaussian,70004,unaffected,macro_auroc,0.8574754678856013,2658,0.0013732813929543104
RO-CAGF,101,gaussian,70004,unaffected,macro_auprc,0.629361530140616,2658,0.0013732813929543104
RO-CAGF,101,gaussian,70004,unaffected,nll,1.4171294162318642,2658,0.0013732813929543104
RO-CAGF,101,gaussian,70004,unaffected,brier,0.6064713072365996,2658,0.0013732813929543104
RO-CAGF,101,gaussian,70004,unaffected,ece15,0.18078358170903652,2658,0.0013732813929543104
RO-CAGF,101,gaussian,70005,all,accuracy,0.5666819431714024,4364,0.0014346700278430919
RO-CAGF,101,gaussian,70005,all,macro_f1,0.5381114018198125,4364,0.0014346700278430919
RO-CAGF,101,gaussian,70005,all,macro_auroc,0.8488240489840099,4364,0.0014346700278430919
RO-CAGF,101,gaussian,70005,all,macro_auprc,0.6113524723409874,4364,0.0014346700278430919
RO-CAGF,101,gaussian,70005,all,nll,1.513320463925126,4364,0.0014346700278430919
RO-CAGF,101,gaussian,70005,all,brier,0.617736380436894,4364,0.0014346700278430919
RO-CAGF,101,gaussian,70005,all,ece15,0.1643110388645767,4364,0.0014346700278430919
RO-CAGF,101,gaussian,70005,affected,accuracy,0.5509964830011723,1706,0.0014346700278430919
RO-CAGF,101,gaussian,70005,affected,macro_f1,0.5231778912909101,1706,0.0014346700278430919
RO-CAGF,101,gaussian,70005,affected,macro_auroc,0.8391961104253743,1706,0.0014346700278430919
RO-CAGF,101,gaussian,70005,affected,macro_auprc,0.588781236471839,1706,0.0014346700278430919
RO-CAGF,101,gaussian,70005,affected,nll,1.6112650832518547,1706,0.0014346700278430919
RO-CAGF,101,gaussian,70005,affected,brier,0.6365906192686905,1706,0.0014346700278430919
RO-CAGF,101,gaussian,70005,affected,ece15,0.16746079484994358,1706,0.0014346700278430919
RO-CAGF,101,gaussian,70005,unaffected,accuracy,0.5767494356659142,2658,0.0014346700278430919
RO-CAGF,101,gaussian,70005,unaffected,macro_f1,0.5466891195850533,2658,0.0014346700278430919
RO-CAGF,101,gaussian,70005,unaffected,macro_auroc,0.854449409606544,2658,0.0014346700278430919
RO-CAGF,101,gaussian,70005,unaffected,macro_auprc,0.6251676487932838,2658,0.0014346700278430919
RO-CAGF,101,gaussian,70005,unaffected,nll,1.4504560844776473,2658,0.0014346700278430919
RO-CAGF,101,gaussian,70005,unaffected,brier,0.6056350518262675,2658,0.0014346700278430919
RO-CAGF,101,gaussian,70005,unaffected,ece15,0.16228937573501093,2658,0.0014346700278430919
RO-CAGF,101,gaussian,70006,all,accuracy,0.5563703024747938,4364,0.001514023835715299
RO-CAGF,101,gaussian,70006,all,macro_f1,0.5259602938397784,4364,0.001514023835715299
RO-CAGF,101,gaussian,70006,all,macro_auroc,0.8435195505777839,4364,0.001514023835715299
RO-CAGF,101,gaussian,70006,all,macro_auprc,0.6014219257896215,4364,0.001514023835715299
RO-CAGF,101,gaussian,70006,all,nll,1.5604592793726495,4364,0.001514023835715299
RO-CAGF,101,gaussian,70006,all,brier,0.6315812134073474,4364,0.001514023835715299
RO-CAGF,101,gaussian,70006,all,ece15,0.1813741724060611,4364,0.001514023835715299
RO-CAGF,101,gaussian,70006,affected,accuracy,0.5449704142011834,1690,0.001514023835715299
RO-CAGF,101,gaussian,70006,affected,macro_f1,0.5138848964211453,1690,0.001514023835715299
RO-CAGF,101,gaussian,70006,affected,macro_auroc,0.8407974577492,1690,0.001514023835715299
RO-CAGF,101,gaussian,70006,affected,macro_auprc,0.5983222316050557,1690,0.001514023835715299
RO-CAGF,101,gaussian,70006,affected,nll,1.6578086122184896,1690,0.001514023835715299
RO-CAGF,101,gaussian,70006,affected,brier,0.6397573192459333,1690,0.001514023835715299
RO-CAGF,101,gaussian,70006,affected,ece15,0.18346339707543866,1690,0.001514023835715299
RO-CAGF,101,gaussian,70006,unaffected,accuracy,0.5635751682872102,2674,0.001514023835715299
RO-CAGF,101,gaussian,70006,unaffected,macro_f1,0.5330446327816812,2674,0.001514023835715299
RO-CAGF,101,gaussian,70006,unaffected,macro_auroc,0.8479636296609213,2674,0.001514023835715299
RO-CAGF,101,gaussian,70006,unaffected,macro_auprc,0.6070539112343155,2674,0.001514023835715299
RO-CAGF,101,gaussian,70006,unaffected,nll,1.4989333360258021,2674,0.001514023835715299
RO-CAGF,101,gaussian,70006,unaffected,brier,0.6264138166731626,2674,0.001514023835715299
RO-CAGF,101,gaussian,70006,unaffected,ece15,0.18005379097133586,2674,0.001514023835715299
RO-CAGF,101,gaussian,70007,all,accuracy,0.5634738771769019,4364,0.0013708295086125556
RO-CAGF,101,gaussian,70007,all,macro_f1,0.5324438041679725,4364,0.0013708295086125556
RO-CAGF,101,gaussian,70007,all,macro_auroc,0.8489972699313678,4364,0.0013708295086125556
RO-CAGF,101,gaussian,70007,all,macro_auprc,0.6101612273312045,4364,0.0013708295086125556
RO-CAGF,101,gaussian,70007,all,nll,1.5155350947535404,4364,0.0013708295086125556
RO-CAGF,101,gaussian,70007,all,brier,0.6209432355877883,4364,0.0013708295086125556
RO-CAGF,101,gaussian,70007,all,ece15,0.17063916506677676,4364,0.0013708295086125556
RO-CAGF,101,gaussian,70007,affected,accuracy,0.5398843930635838,1730,0.0013708295086125556
RO-CAGF,101,gaussian,70007,affected,macro_f1,0.511945895035068,1730,0.0013708295086125556
RO-CAGF,101,gaussian,70007,affected,macro_auroc,0.8319067383137609,1730,0.0013708295086125556
RO-CAGF,101,gaussian,70007,affected,macro_auprc,0.5806600761390425,1730,0.0013708295086125556
RO-CAGF,101,gaussian,70007,affected,nll,1.6541726166988955,1730,0.0013708295086125556
RO-CAGF,101,gaussian,70007,affected,brier,0.6543283526621733,1730,0.0013708295086125556
RO-CAGF,101,gaussian,70007,affected,ece15,0.17879401205936613,1730,0.0013708295086125556
RO-CAGF,101,gaussian,70007,unaffected,accuracy,0.5789673500379651,2634,0.0013708295086125556
RO-CAGF,101,gaussian,70007,unaffected,macro_f1,0.5455660538086756,2634,0.0013708295086125556
RO-CAGF,101,gaussian,70007,unaffected,macro_auroc,0.860314498230375,2634,0.0013708295086125556
RO-CAGF,101,gaussian,70007,unaffected,macro_auprc,0.631977431770273,2634,0.0013708295086125556
RO-CAGF,101,gaussian,70007,unaffected,nll,1.4244785598387857,2634,0.0013708295086125556
RO-CAGF,101,gaussian,70007,unaffected,brier,0.5990160326497905,2634,0.0013708295086125556
RO-CAGF,101,gaussian,70007,unaffected,ece15,0.16528313939057251,2634,0.0013708295086125556
RO-CAGF,101,gaussian,70008,all,accuracy,0.562557286892759,4364,0.0013445004589593603
RO-CAGF,101,gaussian,70008,all,macro_f1,0.5326987696096223,4364,0.0013445004589593603
RO-CAGF,101,gaussian,70008,all,macro_auroc,0.8465174684374621,4364,0.0013445004589593603
RO-CAGF,101,gaussian,70008,all,macro_auprc,0.6054196401505694,4364,0.0013445004589593603
RO-CAGF,101,gaussian,70008,all,nll,1.5375059059524219,4364,0.0013445004589593603
RO-CAGF,101,gaussian,70008,all,brier,0.620376575024705,4364,0.0013445004589593603
RO-CAGF,101,gaussian,70008,all,ece15,0.1695863393320609,4364,0.0013445004589593603
RO-CAGF,101,gaussian,70008,affected,accuracy,0.5291005291005291,1701,0.0013445004589593603
RO-CAGF,101,gaussian,70008,affected,macro_f1,0.5078178769405598,1701,0.0013445004589593603
RO-CAGF,101,gaussian,70008,affected,macro_auroc,0.8302830467165103,1701,0.0013445004589593603
RO-CAGF,101,gaussian,70008,affected,macro_auprc,0.5735741851292305,1701,0.0013445004589593603
RO-CAGF,101,gaussian,70008,affected,nll,1.716250269787212,1701,0.0013445004589593603
RO-CAGF,101,gaussian,70008,affected,brier,0.6693391359988371,1701,0.0013445004589593603
RO-CAGF,101,gaussian,70008,affected,ece15,0.18636474330449088,1701,0.0013445004589593603
RO-CAGF,101,gaussian,70008,unaffected,accuracy,0.5839279008636876,2663,0.0013445004589593603
RO-CAGF,101,gaussian,70008,unaffected,macro_f1,0.5478118232637993,2663,0.0013445004589593603
RO-CAGF,101,gaussian,70008,unaffected,macro_auroc,0.8591938479388449,2663,0.0013445004589593603
RO-CAGF,101,gaussian,70008,unaffected,macro_auprc,0.6279327651808134,2663,0.0013445004589593603
RO-CAGF,101,gaussian,70008,unaffected,nll,1.4233323562404514,2663,0.0013445004589593603
RO-CAGF,101,gaussian,70008,unaffected,brier,0.5891015783228654,2663,0.0013445004589593603
RO-CAGF,101,gaussian,70008,unaffected,ece15,0.16001028867758088,2663,0.0013445004589593603
RO-CAGF,101,offset,70001,all,accuracy,0.5682859761686526,4364,0.0013362282353468703
RO-CAGF,101,offset,70001,all,macro_f1,0.5394094160360484,4364,0.0013362282353468703
RO-CAGF,101,offset,70001,all,macro_auroc,0.8481294185843448,4364,0.0013362282353468703
RO-CAGF,101,offset,70001,all,macro_auprc,0.6186702242466863,4364,0.0013362282353468703
RO-CAGF,101,offset,70001,all,nll,1.528935799408404,4364,0.0013362282353468703
RO-CAGF,101,offset,70001,all,brier,0.6114504079918451,4364,0.0013362282353468703
RO-CAGF,101,offset,70001,all,ece15,0.16899223911800482,4364,0.0013362282353468703
RO-CAGF,101,offset,70001,affected,accuracy,0.5382436260623229,1765,0.0013362282353468703
RO-CAGF,101,offset,70001,affected,macro_f1,0.5098684879102625,1765,0.0013362282353468703
RO-CAGF,101,offset,70001,affected,macro_auroc,0.839785188647579,1765,0.0013362282353468703
RO-CAGF,101,offset,70001,affected,macro_auprc,0.6042152958372032,1765,0.0013362282353468703
RO-CAGF,101,offset,70001,affected,nll,1.62311472449337,1765,0.0013362282353468703
RO-CAGF,101,offset,70001,affected,brier,0.6391387516908521,1765,0.0013362282353468703
RO-CAGF,101,offset,70001,affected,ece15,0.1832607104319013,1765,0.0013362282353468703
RO-CAGF,101,offset,70001,unaffected,accuracy,0.5886879569065026,2599,0.0013362282353468703
RO-CAGF,101,offset,70001,unaffected,macro_f1,0.5573154585602011,2599,0.0013362282353468703
RO-CAGF,101,offset,70001,unaffected,macro_auroc,0.8552172808029216,2599,0.0013362282353468703
RO-CAGF,101,offset,70001,unaffected,macro_auprc,0.6289295206669775,2599,0.0013362282353468703
RO-CAGF,101,offset,70001,unaffected,nll,1.4649781992641315,2599,0.0013362282353468703
RO-CAGF,101,offset,70001,unaffected,brier,0.5926470503047551,2599,0.0013362282353468703
RO-CAGF,101,offset,70001,unaffected,ece15,0.15944928192275906,2599,0.0013362282353468703
RO-CAGF,101,offset,70002,all,accuracy,0.5673693858845096,4364,0.0012510769897973717
RO-CAGF,101,offset,70002,all,macro_f1,0.5382711899731772,4364,0.0012510769897973717
RO-CAGF,101,offset,70002,all,macro_auroc,0.8432724370555965,4364,0.0012510769897973717
RO-CAGF,101,offset,70002,all,macro_auprc,0.6041329233137369,4364,0.0012510769897973717
RO-CAGF,101,offset,70002,all,nll,1.569820097774623,4364,0.0012510769897973717
RO-CAGF,101,offset,70002,all,brier,0.6242739772187044,4364,0.0012510769897973717
RO-CAGF,101,offset,70002,all,ece15,0.17851133603606062,4364,0.0012510769897973717
RO-CAGF,101,offset,70002,affected,accuracy,0.5516074450084603,1773,0.0012510769897973717
RO-CAGF,101,offset,70002,affected,macro_f1,0.5150693068060725,1773,0.0012510769897973717
RO-CAGF,101,offset,70002,affected,macro_auroc,0.827049008751399,1773,0.0012510769897973717
RO-CAGF,101,offset,70002,affected,macro_auprc,0.5665736864974341,1773,0.0012510769897973717
RO-CAGF,101,offset,70002,affected,nll,1.754127745094963,1773,0.0012510769897973717
RO-CAGF,101,offset,70002,affected,brier,0.6590966864741122,1773,0.0012510769897973717
RO-CAGF,101,offset,70002,affected,ece15,0.19693377466102274,1773,0.0012510769897973717
RO-CAGF,101,offset,70002,unaffected,accuracy,0.5781551524507912,2591,0.0012510769897973717
RO-CAGF,101,offset,70002,unaffected,macro_f1,0.5534885899935194,2591,0.0012510769897973717
RO-CAGF,101,offset,70002,unaffected,macro_auroc,0.8562185363344824,2591,0.0012510769897973717
RO-CAGF,101,offset,70002,unaffected,macro_auprc,0.634650757417135,2591,0.0012510769897973717
RO-CAGF,101,offset,70002,unaffected,nll,1.4436998898630204,2591,0.0012510769897973717
RO-CAGF,101,offset,70002,unaffected,brier,0.6004450835445098,2591,0.0012510769897973717
RO-CAGF,101,offset,70002,unaffected,ece15,0.16590499246456317,2591,0.0012510769897973717
RO-CAGF,101,offset,70003,all,accuracy,0.5673693858845096,4364,0.0013451649919754077
RO-CAGF,101,offset,70003,all,macro_f1,0.5368337626650143,4364,0.0013451649919754077
RO-CAGF,101,offset,70003,all,macro_auroc,0.8509822058306993,4364,0.0013451649919754077
RO-CAGF,101,offset,70003,all,macro_auprc,0.6120958112628607,4364,0.0013451649919754077
RO-CAGF,101,offset,70003,all,nll,1.5039731785035175,4364,0.0013451649919754077
RO-CAGF,101,offset,70003,all,brier,0.6079344850096902,4364,0.0013451649919754077
RO-CAGF,101,offset,70003,all,ece15,0.16038623860568546,4364,0.0013451649919754077
RO-CAGF,101,offset,70003,affected,accuracy,0.5602716468590832,1767,0.0013451649919754077
RO-CAGF,101,offset,70003,affected,macro_f1,0.5300402495613017,1767,0.0013451649919754077
RO-CAGF,101,offset,70003,affected,macro_auroc,0.8477404561453254,1767,0.0013451649919754077
RO-CAGF,101,offset,70003,affected,macro_auprc,0.6118349938323254,1767,0.0013451649919754077
RO-CAGF,101,offset,70003,affected,nll,1.6082616394151457,1767,0.0013451649919754077
RO-CAGF,101,offset,70003,affected,brier,0.6169812780492838,1767,0.0013451649919754077
RO-CAGF,101,offset,70003,affected,ece15,0.1594549302300559,1767,0.0013451649919754077
RO-CAGF,101,offset,70003,unaffected,accuracy,0.5721986907970735,2597,0.0013451649919754077
RO-CAGF,101,offset,70003,unaffected,macro_f1,0.5409745747951248,2597,0.0013451649919754077
RO-CAGF,101,offset,70003,unaffected,macro_auroc,0.8545000548296597,2597,0.0013451649919754077
RO-CAGF,101,offset,70003,unaffected,macro_auprc,0.6157585041107051,2597,0.0013451649919754077
RO-CAGF,101,offset,70003,unaffected,nll,1.4330152615105074,2597,0.0013451649919754077
RO-CAGF,101,offset,70003,unaffected,brier,0.6017790428452844,2597,0.0013451649919754077
RO-CAGF,101,offset,70003,unaffected,ece15,0.16101992060277937,2597,0.0013451649919754077
RO-CAGF,101,offset,70004,all,accuracy,0.5520164986251146,4364,0.0012662465611342972
