seed,method,fault,true_class,pred_class,count
101,UF,linear_drift,5,5,523
101,UF,linear_drift,5,6,196
101,UF,linear_drift,6,1,180
101,UF,linear_drift,6,2,8
101,UF,linear_drift,6,3,6
101,UF,linear_drift,6,4,47
101,UF,linear_drift,6,5,21
101,UF,linear_drift,6,6,457
101,UF,stuck_at,1,1,446
101,UF,stuck_at,1,2,2
101,UF,stuck_at,1,3,2
101,UF,stuck_at,1,4,92
101,UF,stuck_at,1,5,75
101,UF,stuck_at,1,6,74
101,UF,stuck_at,2,1,78
101,UF,stuck_at,2,2,471
101,UF,stuck_at,2,3,34
101,UF,stuck_at,2,4,28
101,UF,stuck_at,2,5,48
101,UF,stuck_at,2,6,26
101,UF,stuck_at,3,1,44
101,UF,stuck_at,3,2,30
101,UF,stuck_at,3,3,566
101,UF,stuck_at,3,4,20
101,UF,stuck_at,3,5,30
101,UF,stuck_at,3,6,50
101,UF,stuck_at,4,1,312
101,UF,stuck_at,4,2,9
101,UF,stuck_at,4,3,33
101,UF,stuck_at,4,4,57
101,UF,stuck_at,4,5,85
101,UF,stuck_at,4,6,212
101,UF,stuck_at,5,1,69
101,UF,stuck_at,5,2,5
101,UF,stuck_at,5,3,21
101,UF,stuck_at,5,4,18
101,UF,stuck_at,5,5,554
101,UF,stuck_at,5,6,154
101,UF,stuck_at,6,1,282
101,UF,stuck_at,6,2,10
101,UF,stuck_at,6,3,11
101,UF,stuck_at,6,4,32
101,UF,stuck_at,6,5,26
101,UF,stuck_at,6,6,358
101,UF,clipping,1,1,446
101,UF,clipping,1,2,6
101,UF,clipping,1,3,7
101,UF,clipping,1,4,67
101,UF,clipping,1,5,109
101,UF,clipping,1,6,56
101,UF,clipping,2,1,53
101,UF,clipping,2,2,524
101,UF,clipping,2,3,39
101,UF,clipping,2,4,11
101,UF,clipping,2,5,53
101,UF,clipping,2,6,5
101,UF,clipping,3,1,30
101,UF,clipping,3,2,53
101,UF,clipping,3,3,586
101,UF,clipping,3,4,14
101,UF,clipping,3,5,31
101,UF,clipping,3,6,26
101,UF,clipping,4,1,321
101,UF,clipping,4,2,28
101,UF,clipping,4,3,84
101,UF,clipping,4,4,31
101,UF,clipping,4,5,96
101,UF,clipping,4,6,148
101,UF,clipping,5,1,65
101,UF,clipping,5,2,8
101,UF,clipping,5,3,28
101,UF,clipping,5,4,12
101,UF,clipping,5,5,597
101,UF,clipping,5,6,111
101,UF,clipping,6,1,306
101,UF,clipping,6,2,44
101,UF,clipping,6,3,18
101,UF,clipping,6,4,31
101,UF,clipping,6,5,28
101,UF,clipping,6,6,292
101,UF,correlated_dual,1,1,385
101,UF,correlated_dual,1,2,25
101,UF,correlated_dual,1,3,23
101,UF,correlated_dual,1,4,82
101,UF,correlated_dual,1,5,115
101,UF,correlated_dual,1,6,61
101,UF,correlated_dual,2,1,75
101,UF,correlated_dual,2,2,426
101,UF,correlated_dual,2,3,60
101,UF,correlated_dual,2,4,42
101,UF,correlated_dual,2,5,72
101,UF,correlated_dual,2,6,10
101,UF,correlated_dual,3,1,78
101,UF,correlated_dual,3,2,54
101,UF,correlated_dual,3,3,492
101,UF,correlated_dual,3,4,32
101,UF,correlated_dual,3,5,55
101,UF,correlated_dual,3,6,29
101,UF,correlated_dual,4,1,271
101,UF,correlated_dual,4,2,34
101,UF,correlated_dual,4,3,64
101,UF,correlated_dual,4,4,71
101,UF,correlated_dual,4,5,122
101,UF,correlated_dual,4,6,146
101,UF,correlated_dual,5,1,85
101,UF,correlated_dual,5,2,14
101,UF,correlated_dual,5,3,45
101,UF,correlated_dual,5,4,48
101,UF,correlated_dual,5,5,518
101,UF,correlated_dual,5,6,111
101,UF,correlated_dual,6,1,223
101,UF,correlated_dual,6,2,23
101,UF,correlated_dual,6,3,34
