method,seed,subset,metric,value
ENT-PD,106,all,macro_f1,0.5127030828410908
ENT-PD,106,all,macro_auroc,0.8149838184932198
ENT-PD,106,all,macro_auprc,0.555037107724605
ENT-PD,106,all,nll,2.0095279345991157
ENT-PD,106,all,brier,0.6751212262053388
ENT-PD,106,all,ece15,0.22470321201682636
ENT-PD,106,affected,accuracy,0.4470254957507082
ENT-PD,106,affected,macro_f1,0.43851355756248905
ENT-PD,106,affected,macro_auroc,0.7591863005452106
ENT-PD,106,affected,macro_auprc,0.4807179151396889
ENT-PD,106,affected,nll,2.8406400438067427
ENT-PD,106,affected,brier,0.832703098920771
ENT-PD,106,affected,ece15,0.33206028369263285
ENT-PD,106,unaffected,accuracy,0.58099268949596
ENT-PD,106,unaffected,macro_f1,0.5616841124539876
ENT-PD,106,unaffected,macro_auroc,0.8584651117130435
ENT-PD,106,unaffected,macro_auprc,0.619748962175085
ENT-PD,106,unaffected,nll,1.4451135934096342
ENT-PD,106,unaffected,brier,0.5681062183781982
ENT-PD,106,unaffected,ece15,0.15217055027738996
ENT-PD,107,all,accuracy,0.5041246562786434
ENT-PD,107,all,macro_f1,0.4980827053935129
ENT-PD,107,all,macro_auroc,0.8074435775448382
ENT-PD,107,all,macro_auprc,0.536643606802957
ENT-PD,107,all,nll,1.973170120518708
ENT-PD,107,all,brier,0.7184291282137404
ENT-PD,107,all,ece15,0.2601759272203273
ENT-PD,107,affected,accuracy,0.43909348441926344
ENT-PD,107,affected,macro_f1,0.4357656521990368
ENT-PD,107,affected,macro_auroc,0.7646149512547886
ENT-PD,107,affected,macro_auprc,0.4802546833728582
ENT-PD,107,affected,nll,2.528981674924385
ENT-PD,107,affected,brier,0.8365559626572543
ENT-PD,107,affected,ece15,0.34059423856627163
ENT-PD,107,unaffected,accuracy,0.5482878030011543
ENT-PD,107,unaffected,macro_f1,0.5376786607330821
ENT-PD,107,unaffected,macro_auroc,0.8398959146462454
ENT-PD,107,unaffected,macro_auprc,0.5847782553319484
ENT-PD,107,unaffected,nll,1.595714409273606
ENT-PD,107,unaffected,brier,0.638208326831362
ENT-PD,107,unaffected,ece15,0.20576782733855592
ENT-PD,108,all,accuracy,0.5339138405132906
ENT-PD,108,all,macro_f1,0.5268678951700035
ENT-PD,108,all,macro_auroc,0.8105116907325488
ENT-PD,108,all,macro_auprc,0.5495348289803851
ENT-PD,108,all,nll,1.9678129125088268
ENT-PD,108,all,brier,0.6963653859447019
ENT-PD,108,all,ece15,0.23722808708724463
ENT-PD,108,affected,accuracy,0.45892351274787535
ENT-PD,108,affected,macro_f1,0.45024243313866325
ENT-PD,108,affected,macro_auroc,0.7657694159305177
ENT-PD,108,affected,macro_auprc,0.47215187886057053
ENT-PD,108,affected,nll,2.533252780840506
ENT-PD,108,affected,brier,0.8310219631740182
ENT-PD,108,affected,ece15,0.3237906242311845
ENT-PD,108,unaffected,accuracy,0.5848403232012312
ENT-PD,108,unaffected,macro_f1,0.5793455025064634
ENT-PD,108,unaffected,macro_auroc,0.8441826514609988
ENT-PD,108,unaffected,macro_auprc,0.6199787127060731
ENT-PD,108,unaffected,nll,1.583818542518287
ENT-PD,108,unaffected,brier,0.6049191147597293
ENT-PD,108,unaffected,ece15,0.17844279714160902
ENT-PD,109,all,accuracy,0.5123739688359303
ENT-PD,109,all,macro_f1,0.5136556510970521
ENT-PD,109,all,macro_auroc,0.8047749001523515
ENT-PD,109,all,macro_auprc,0.5476940157112057
ENT-PD,109,all,nll,1.9932151735456791
ENT-PD,109,all,brier,0.6972710578379328
ENT-PD,109,all,ece15,0.23548993589843117
ENT-PD,109,affected,accuracy,0.4526912181303116
ENT-PD,109,affected,macro_f1,0.4519486462439226
ENT-PD,109,affected,macro_auroc,0.7571929545362739
ENT-PD,109,affected,macro_auprc,0.4834781616370412
ENT-PD,109,affected,nll,2.7033807945809754
ENT-PD,109,affected,brier,0.825474327517717
ENT-PD,109,affected,ece15,0.32262232803420376
ENT-PD,109,unaffected,accuracy,0.5529049634474797
ENT-PD,109,unaffected,macro_f1,0.5551057153910098
ENT-PD,109,unaffected,macro_auroc,0.842438326378157
ENT-PD,109,unaffected,macro_auprc,0.6057670852397792
ENT-PD,109,unaffected,nll,1.5109364813073962
ENT-PD,109,unaffected,brier,0.6102072752350783
ENT-PD,109,unaffected,ece15,0.17631767196534184
ENT-PD,110,all,accuracy,0.5116865261228231
ENT-PD,110,all,macro_f1,0.4916904617574011
ENT-PD,110,all,macro_auroc,0.7995631533521453
ENT-PD,110,all,macro_auprc,0.5308845389513114
ENT-PD,110,all,nll,2.2599889789599485
ENT-PD,110,all,brier,0.7344388225193753
ENT-PD,110,all,ece15,0.28189121808184053
ENT-PD,110,affected,accuracy,0.44645892351274785
ENT-PD,110,affected,macro_f1,0.4406404164016325
ENT-PD,110,affected,macro_auroc,0.7485112119780023
ENT-PD,110,affected,macro_auprc,0.4560731880677696
ENT-PD,110,affected,nll,3.027760776836228
ENT-PD,110,affected,brier,0.8681758563728998
ENT-PD,110,affected,ece15,0.36085036788716196
ENT-PD,110,unaffected,accuracy,0.5559830704116968
ENT-PD,110,unaffected,macro_f1,0.5208630842540823
ENT-PD,110,unaffected,macro_auroc,0.8394381031526338
ENT-PD,110,unaffected,macro_auprc,0.5917769136556096
ENT-PD,110,unaffected,nll,1.7385895086822905
ENT-PD,110,unaffected,brier,0.6436170199986093
ENT-PD,110,unaffected,ece15,0.22826949529071733
