contrast,mean,ci_low,ci_high,positive_realizations,n_realizations
RO-PDRF - RO-CAGF,0.012280775622010826,0.0053797905149655986,0.0188557963187032,8,8
RO-PDRF - PDRF,0.011752685082816124,0.010448248176695658,0.012985881448397924,8,8
RO-CAGF - CAGF,0.011200955497285314,0.006356856088324952,0.01601359339583293,8,8
