method,seed,temperature,inference_ms_per_observation,parameters,train_seconds,epochs
RO-PDRF-CEG,101,1.1879981149932295,0.001669981666338245,19740,22.465159900020808,29
RO-PDRF-CEG,102,0.859824655919886,0.0014033684713806954,19740,15.839756800007308,20
RO-PDRF-CEG,103,0.5350262538609567,0.0020116177804432606,19740,14.258319999993546,18
RO-PDRF-CEG,104,0.8061971270526641,0.0017240375831405659,19740,20.304361899994547,26
RO-PDRF-CEG,105,0.9194929195175521,0.0016710815763853893,19740,23.995552000007592,29
RO-PDRF-CEG,106,0.5915439591869264,0.001949679187196371,19740,15.664184499997646,19
RO-PDRF-CEG,107,0.9066502279553218,0.0015647571007755272,19740,19.527866899996297,25
RO-PDRF-CEG,108,0.9198899177700809,0.0018199129233061652,19740,32.140835099999094,41
RO-PDRF-CEG,109,0.7390945932146716,0.0019339596708394813,19740,24.721908500010613,28
RO-PDRF-CEG,110,1.0201086216186563,0.0018274977056400921,19740,30.866253999993205,35
